At frame 0, truck 1 is located at coordinates [209.89, 640.13] with a bounding box of width 343.59 and height 241.54.
 At frame 7, car 3 is located at coordinates [131.80, 614.44] with a bounding box of width 340.08 and height 284.39.
 At frame 7, car 6 is located at coordinates [131.80, 614.44] with a bounding box of width 340.08 and height 284.39.
 At frame 7, car 7 is located at coordinates [131.80, 614.44] with a bounding box of width 340.08 and height 284.39.
 At frame 7, car 12 is located at coordinates [131.80, 614.44] with a bounding box of width 340.08 and height 284.39.
 At frame 7, car 9 is located at coordinates [131.80, 614.44] with a bounding box of width 340.08 and height 284.39.
 

=====================================================

At frame 7, car 8 is located at coordinates [131.80, 614.44] with a bounding box of width 340.08 and height 284.39.
 At frame 7, car 11 is located at coordinates [131.80, 614.44] with a bounding box of width 340.08 and height 284.39.
 At frame 7, car 18 is located at coordinates [131.80, 614.44] with a bounding box of width 340.08 and height 284.39.
 At frame 7, car 19 is located at coordinates [131.80, 614.44] with a bounding box of width 340.08 and height 284.39.
 At frame 8, truck 1 is located at coordinates [117.46, 612.16] with a bounding box of width 336.55 and height 291.27.
 At frame 8, car 5 is located at coordinates [117.46, 612.16] with a bounding box of width 336.55 and height 291.27.
 At frame 8, car 2 is located at coordinates [117.46, 612.16] with a bounding box of width 336.55 and height 291.27.
 At frame 8, car 3 is located at coordinates [117.46, 612.16] with a bounding box of width 336.55 and height 291.27.
 At frame 8, car 6 is located at coordinates [117.46, 612.16] with a bounding box of width 336.55 and height 291.27.
 At frame 8, car 7 is located at coordinates [117.46, 612.16] with a bounding box of width 336.55 and height 291.27.
 At frame 8, car 9 is located at coordinates [117.46, 612.16] with a bounding box of width 336.55 and height 291.27.
 At frame 8, car 12 is located at coordinates [117.46, 612.16] with a bounding box of width 336.55 and height 291.27.
 At frame 8, car 18 is located at coordinates [117.46, 612.16] with a bounding box of width 336.55 and height 291.27.
 At frame 8, car 11 is located at coordinates [117.46, 612.16] with a bounding box of width 336.55 and height 291.27.
 At frame 8, car 8 is located at coordinates [117.46, 612.16] with a bounding box of width 336.55 and height 291.27.
 At frame 8, car 19 is located at coordinates [117.46, 612.16] with a bounding box of width 336.55 and height 291.27.
 At frame 9, truck 1 is located at coordinates [98.14, 609.05] with a bounding box of width 339.38 and height 298.74.
 At frame 9, car 5 is located at coordinates [98.14, 609.05] with a bounding box of width 339.38 and height 298.74.
 At frame 9, car 3 is located at coordinates [98.14, 609.05] with a bounding box of width 339.38 and height 298.74.
 At frame 9, car 6 is located at coordinates [98.14, 609.05] with a bounding box of width 339.38 and height 298.74.
 At frame 9, car 2 is located at coordinates [98.14, 609.05] with a bounding box of width 339.38 and height 298.74.
 At frame 9, car 7 is located at coordinates [98.14, 609.05] with a bounding box of width 339.38 and height 298.74.
 At frame 9, car 18 is located at coordinates [98.14, 609.05] with a bounding box of width 339.38 and height 298.74.
 At frame 9, car 9 is located at coordinates [98.14, 609.05] with a bounding box of width 339.38 and height 298.74.
 At frame 9, car 11 is located at coordinates [98.14, 609.05] with a bounding box of width 339.38 and height 298.74.
 At frame 9, car 8 is located at coordinates [98.14, 609.05] with a bounding box of width 339.38 and height 298.74.
 At frame 9, car 12 is located at coordinates [98.14, 609.05] with a bounding box of width 339.38 and height 298.74.
 At frame 9, car 19 is located at coordinates [98.14, 609.05] with a bounding box of width 339.38 and height 298.74.
 At frame 10, truck 1 is located at coordinates [73.17, 605.02] with a bounding box of width 345.08 and height 307.57.
 At frame 10, car 5 is located at coordinates [73.17, 605.02] with a bounding box of width 345.08 and height 307.57.
 At frame 10, car 2 is located at coordinates [73.17, 605.02] with a bounding box of width 345.08 and height 307.57.
 At frame 10, car 3 is located at coordinates [73.17, 605.02] with a bounding box of width 345.08 and height 307.57.
 At frame 10, car 6 is located at coordinates [73.17, 605.02] with a bounding box of width 345.08 and height 307.57.
 At frame 10, car 18 is located at coordinates [73.17, 605.02] with a bounding box of width 345.08 and height 307.57.
 At frame 10, car 7 is located at coordinates [73.17, 605.02] with a bounding box of width 345.08 and height 307.57.
 At frame 10, car 9 is located at coordinates [73.17, 605.02] with a bounding box of width 345.08 and height 307.57.
 At frame 10, car 11 is located at coordinates [73.17, 605.02] with a bounding box of width 345.08 and height 307.57.
 At frame 10, car 8 is located at coordinates [73.17, 605.02] with a bounding box of width 345.08 and height 307.57.
 At frame 10, car 21 is located at coordinates [73.17, 605.02] with a bounding box of width 345.08 and height 307.57.
 At frame 10, car 12 is located at coordinates [73.17, 605.02] with a bounding box of width 345.08 and height 307.57.
 At frame 10, car 19 is located at coordinates [73.17, 605.02] with a bounding box of width 345.08 and height 307.57.
 At frame 11, truck 1 is located at coordinates [44.75, 600.61] with a bounding box of width 353.42 and height 315.54.
 At frame 11, car 5 is located at coordinates [44.75, 600.61] with a bounding box of width 353.42 and height 315.54.
 At frame 11, car 3 is located at coordinates [44.75, 600.61] with a bounding box of width 353.42 and height 315.54.
 At frame 11, car 2 is located at coordinates [44.75, 600.61] with a bounding box of width 353.42 and height 315.54.
 At frame 11, car 6 is located at coordinates [44.75, 600.61] with a bounding box of width 353.42 and height 315.54.
 At frame 11, car 12 is located at coordinates [44.75, 600.61] with a bounding box of width 353.42 and height 315.54.
 At frame 11, car 7 is located at coordinates [44.75, 600.61] with a bounding box of width 353.42 and height 315.54.
 At frame 11, car 18 is located at coordinates [44.75, 600.61] with a bounding box of width 353.42 and height 315.54.
 At frame 11, car 9 is located at coordinates [44.75, 600.61] with a bounding box of width 353.42 and height 315.54.
 

=====================================================

At frame 11, car 11 is located at coordinates [44.75, 600.61] with a bounding box of width 353.42 and height 315.54.
 At frame 11, car 23 is located at coordinates [44.75, 600.61] with a bounding box of width 353.42 and height 315.54.
 At frame 11, car 8 is located at coordinates [44.75, 600.61] with a bounding box of width 353.42 and height 315.54.
 At frame 11, car 21 is located at coordinates [44.75, 600.61] with a bounding box of width 353.42 and height 315.54.
 At frame 11, car 19 is located at coordinates [44.75, 600.61] with a bounding box of width 353.42 and height 315.54.
 At frame 12, truck 1 is located at coordinates [15.51, 595.37] with a bounding box of width 362.44 and height 310.90.
 At frame 12, car 5 is located at coordinates [15.51, 595.37] with a bounding box of width 362.44 and height 310.90.
 At frame 12, car 3 is located at coordinates [15.51, 595.37] with a bounding box of width 362.44 and height 310.90.
 At frame 12, car 18 is located at coordinates [15.51, 595.37] with a bounding box of width 362.44 and height 310.90.
 At frame 12, car 6 is located at coordinates [15.51, 595.37] with a bounding box of width 362.44 and height 310.90.
 At frame 12, car 2 is located at coordinates [15.51, 595.37] with a bounding box of width 362.44 and height 310.90.
 At frame 12, car 12 is located at coordinates [15.51, 595.37] with a bounding box of width 362.44 and height 310.90.
 At frame 12, car 7 is located at coordinates [15.51, 595.37] with a bounding box of width 362.44 and height 310.90.
 At frame 12, car 9 is located at coordinates [15.51, 595.37] with a bounding box of width 362.44 and height 310.90.
 At frame 12, car 11 is located at coordinates [15.51, 595.37] with a bounding box of width 362.44 and height 310.90.
 At frame 12, car 8 is located at coordinates [15.51, 595.37] with a bounding box of width 362.44 and height 310.90.
 At frame 12, car 23 is located at coordinates [15.51, 595.37] with a bounding box of width 362.44 and height 310.90.
 At frame 12, car 24 is located at coordinates [15.51, 595.37] with a bounding box of width 362.44 and height 310.90.
 At frame 12, car 19 is located at coordinates [15.51, 595.37] with a bounding box of width 362.44 and height 310.90.
 At frame 13, truck 1 is located at coordinates [0.39, 590.34] with a bounding box of width 356.90 and height 315.21.
 At frame 13, car 3 is located at coordinates [0.39, 590.34] with a bounding box of width 356.90 and height 315.21.
 At frame 13, car 5 is located at coordinates [0.39, 590.34] with a bounding box of width 356.90 and height 315.21.
 At frame 13, car 6 is located at coordinates [0.39, 590.34] with a bounding box of width 356.90 and height 315.21.
 At frame 13, car 12 is located at coordinates [0.39, 590.34] with a bounding box of width 356.90 and height 315.21.
 At frame 13, car 18 is located at coordinates [0.39, 590.34] with a bounding box of width 356.90 and height 315.21.
 At frame 13, car 7 is located at coordinates [0.39, 590.34] with a bounding box of width 356.90 and height 315.21.
 At frame 13, car 2 is located at coordinates [0.39, 590.34] with a bounding box of width 356.90 and height 315.21.
 At frame 13, car 9 is located at coordinates [0.39, 590.34] with a bounding box of width 356.90 and height 315.21.
 At frame 13, car 23 is located at coordinates [0.39, 590.34] with a bounding box of width 356.90 and height 315.21.
 At frame 13, car 8 is located at coordinates [0.39, 590.34] with a bounding box of width 356.90 and height 315.21.
 At frame 13, car 11 is located at coordinates [0.39, 590.34] with a bounding box of width 356.90 and height 315.21.
 At frame 13, person 25 is located at coordinates [0.39, 590.34] with a bounding box of width 356.90 and height 315.21.
 At frame 13, car 19 is located at coordinates [0.39, 590.34] with a bounding box of width 356.90 and height 315.21.
 At frame 13, car 14 is located at coordinates [0.39, 590.34] with a bounding box of width 356.90 and height 315.21.
 At frame 13, car 21 is located at coordinates [0.39, 590.34] with a bounding box of width 356.90 and height 315.21.
 At frame 13, car 24 is located at coordinates [0.39, 590.34] with a bounding box of width 356.90 and height 315.21.
 At frame 14, car 3 is located at coordinates [1457.85, 657.11] with a bounding box of width 341.21 and height 224.34.
 At frame 14, car 5 is located at coordinates [1457.85, 657.11] with a bounding box of width 341.21 and height 224.34.
 At frame 14, truck 1 is located at coordinates [1457.85, 657.11] with a bounding box of width 341.21 and height 224.34.
 At frame 14, car 6 is located at coordinates [1457.85, 657.11] with a bounding box of width 341.21 and height 224.34.
 At frame 14, car 18 is located at coordinates [1457.85, 657.11] with a bounding box of width 341.21 and height 224.34.
 At frame 14, car 7 is located at coordinates [1457.85, 657.11] with a bounding box of width 341.21 and height 224.34.
 At frame 14, car 9 is located at coordinates [1457.85, 657.11] with a bounding box of width 341.21 and height 224.34.
 At frame 14, car 12 is located at coordinates [1457.85, 657.11] with a bounding box of width 341.21 and height 224.34.
 At frame 14, car 8 is located at coordinates [1457.85, 657.11] with a bounding box of width 341.21 and height 224.34.
 At frame 14, car 11 is located at coordinates [1457.85, 657.11] with a bounding box of width 341.21 and height 224.34.
 At frame 14, car 23 is located at coordinates [1457.85, 657.11] with a bounding box of width 341.21 and height 224.34.
 At frame 14, person 25 is located at coordinates [1457.85, 657.11] with a bounding box of width 341.21 and height 224.34.
 At frame 14, car 14 is located at coordinates [1457.85, 657.11] with a bounding box of width 341.21 and height 224.34.
 At frame 14, car 24 is located at coordinates [1457.85, 657.11] with a bounding box of width 341.21 and height 224.34.
 

=====================================================

At frame 14, car 19 is located at coordinates [1457.85, 657.11] with a bounding box of width 341.21 and height 224.34.
 At frame 14, car 21 is located at coordinates [1457.85, 657.11] with a bounding box of width 341.21 and height 224.34.
 At frame 15, truck 1 is located at coordinates [0.22, 579.96] with a bounding box of width 309.01 and height 345.00.
 At frame 15, car 5 is located at coordinates [0.22, 579.96] with a bounding box of width 309.01 and height 345.00.
 At frame 15, car 3 is located at coordinates [0.22, 579.96] with a bounding box of width 309.01 and height 345.00.
 At frame 15, car 6 is located at coordinates [0.22, 579.96] with a bounding box of width 309.01 and height 345.00.
 At frame 15, car 18 is located at coordinates [0.22, 579.96] with a bounding box of width 309.01 and height 345.00.
 At frame 15, car 7 is located at coordinates [0.22, 579.96] with a bounding box of width 309.01 and height 345.00.
 At frame 15, car 12 is located at coordinates [0.22, 579.96] with a bounding box of width 309.01 and height 345.00.
 At frame 15, car 8 is located at coordinates [0.22, 579.96] with a bounding box of width 309.01 and height 345.00.
 At frame 15, car 9 is located at coordinates [0.22, 579.96] with a bounding box of width 309.01 and height 345.00.
 At frame 15, car 11 is located at coordinates [0.22, 579.96] with a bounding box of width 309.01 and height 345.00.
 At frame 15, car 23 is located at coordinates [0.22, 579.96] with a bounding box of width 309.01 and height 345.00.
 At frame 15, car 24 is located at coordinates [0.22, 579.96] with a bounding box of width 309.01 and height 345.00.
 At frame 15, car 19 is located at coordinates [0.22, 579.96] with a bounding box of width 309.01 and height 345.00.
 At frame 15, person 25 is located at coordinates [0.22, 579.96] with a bounding box of width 309.01 and height 345.00.
 At frame 16, car 5 is located at coordinates [1280.01, 668.44] with a bounding box of width 275.18 and height 179.75.
 At frame 16, truck 1 is located at coordinates [1280.01, 668.44] with a bounding box of width 275.18 and height 179.75.
 At frame 16, car 3 is located at coordinates [1280.01, 668.44] with a bounding box of width 275.18 and height 179.75.
 At frame 16, car 6 is located at coordinates [1280.01, 668.44] with a bounding box of width 275.18 and height 179.75.
 At frame 16, car 18 is located at coordinates [1280.01, 668.44] with a bounding box of width 275.18 and height 179.75.
 At frame 16, car 12 is located at coordinates [1280.01, 668.44] with a bounding box of width 275.18 and height 179.75.
 At frame 16, car 7 is located at coordinates [1280.01, 668.44] with a bounding box of width 275.18 and height 179.75.
 At frame 16, car 23 is located at coordinates [1280.01, 668.44] with a bounding box of width 275.18 and height 179.75.
 At frame 16, car 9 is located at coordinates [1280.01, 668.44] with a bounding box of width 275.18 and height 179.75.
 At frame 16, car 8 is located at coordinates [1280.01, 668.44] with a bounding box of width 275.18 and height 179.75.
 At frame 16, car 11 is located at coordinates [1280.01, 668.44] with a bounding box of width 275.18 and height 179.75.
 At frame 16, person 25 is located at coordinates [1280.01, 668.44] with a bounding box of width 275.18 and height 179.75.
 At frame 16, car 24 is located at coordinates [1280.01, 668.44] with a bounding box of width 275.18 and height 179.75.
 At frame 16, car 19 is located at coordinates [1280.01, 668.44] with a bounding box of width 275.18 and height 179.75.
 At frame 16, car 14 is located at coordinates [1280.01, 668.44] with a bounding box of width 275.18 and height 179.75.
 At frame 17, car 5 is located at coordinates [1287.31, 666.19] with a bounding box of width 283.54 and height 183.52.
 At frame 17, car 18 is located at coordinates [1287.31, 666.19] with a bounding box of width 283.54 and height 183.52.
 At frame 17, car 3 is located at coordinates [1287.31, 666.19] with a bounding box of width 283.54 and height 183.52.
 At frame 17, truck 1 is located at coordinates [1287.31, 666.19] with a bounding box of width 283.54 and height 183.52.
 At frame 17, car 6 is located at coordinates [1287.31, 666.19] with a bounding box of width 283.54 and height 183.52.
 At frame 17, car 12 is located at coordinates [1287.31, 666.19] with a bounding box of width 283.54 and height 183.52.
 At frame 17, car 7 is located at coordinates [1287.31, 666.19] with a bounding box of width 283.54 and height 183.52.
 At frame 17, car 23 is located at coordinates [1287.31, 666.19] with a bounding box of width 283.54 and height 183.52.
 At frame 17, car 8 is located at coordinates [1287.31, 666.19] with a bounding box of width 283.54 and height 183.52.
 At frame 17, car 9 is located at coordinates [1287.31, 666.19] with a bounding box of width 283.54 and height 183.52.
 At frame 17, car 11 is located at coordinates [1287.31, 666.19] with a bounding box of width 283.54 and height 183.52.
 At frame 17, person 25 is located at coordinates [1287.31, 666.19] with a bounding box of width 283.54 and height 183.52.
 At frame 17, car 14 is located at coordinates [1287.31, 666.19] with a bounding box of width 283.54 and height 183.52.
 At frame 17, car 24 is located at coordinates [1287.31, 666.19] with a bounding box of width 283.54 and height 183.52.
 At frame 17, car 19 is located at coordinates [1287.31, 666.19] with a bounding box of width 283.54 and height 183.52.
 At frame 18, car 5 is located at coordinates [1295.45, 663.62] with a bounding box of width 283.92 and height 187.29.
 At frame 18, car 18 is located at coordinates [1295.45, 663.62] with a bounding box of width 283.92 and height 187.29.
 At frame 18, car 3 is located at coordinates [1295.45, 663.62] with a bounding box of width 283.92 and height 187.29.
 At frame 18, car 12 is located at coordinates [1295.45, 663.62] with a bounding box of width 283.92 and height 187.29.
 

=====================================================

At frame 18, truck 1 is located at coordinates [1295.45, 663.62] with a bounding box of width 283.92 and height 187.29.
 At frame 18, car 6 is located at coordinates [1295.45, 663.62] with a bounding box of width 283.92 and height 187.29.
 At frame 18, car 7 is located at coordinates [1295.45, 663.62] with a bounding box of width 283.92 and height 187.29.
 At frame 18, car 23 is located at coordinates [1295.45, 663.62] with a bounding box of width 283.92 and height 187.29.
 At frame 18, car 9 is located at coordinates [1295.45, 663.62] with a bounding box of width 283.92 and height 187.29.
 At frame 18, car 8 is located at coordinates [1295.45, 663.62] with a bounding box of width 283.92 and height 187.29.
 At frame 18, person 25 is located at coordinates [1295.45, 663.62] with a bounding box of width 283.92 and height 187.29.
 At frame 18, car 11 is located at coordinates [1295.45, 663.62] with a bounding box of width 283.92 and height 187.29.
 At frame 18, car 14 is located at coordinates [1295.45, 663.62] with a bounding box of width 283.92 and height 187.29.
 At frame 18, car 24 is located at coordinates [1295.45, 663.62] with a bounding box of width 283.92 and height 187.29.
 At frame 18, car 21 is located at coordinates [1295.45, 663.62] with a bounding box of width 283.92 and height 187.29.
 At frame 19, car 5 is located at coordinates [1301.29, 661.71] with a bounding box of width 292.60 and height 194.28.
 At frame 19, car 18 is located at coordinates [1301.29, 661.71] with a bounding box of width 292.60 and height 194.28.
 At frame 19, car 3 is located at coordinates [1301.29, 661.71] with a bounding box of width 292.60 and height 194.28.
 At frame 19, car 6 is located at coordinates [1301.29, 661.71] with a bounding box of width 292.60 and height 194.28.
 At frame 19, car 12 is located at coordinates [1301.29, 661.71] with a bounding box of width 292.60 and height 194.28.
 At frame 19, truck 1 is located at coordinates [1301.29, 661.71] with a bounding box of width 292.60 and height 194.28.
 At frame 19, car 7 is located at coordinates [1301.29, 661.71] with a bounding box of width 292.60 and height 194.28.
 At frame 19, car 23 is located at coordinates [1301.29, 661.71] with a bounding box of width 292.60 and height 194.28.
 At frame 19, car 9 is located at coordinates [1301.29, 661.71] with a bounding box of width 292.60 and height 194.28.
 At frame 19, car 8 is located at coordinates [1301.29, 661.71] with a bounding box of width 292.60 and height 194.28.
 At frame 19, car 11 is located at coordinates [1301.29, 661.71] with a bounding box of width 292.60 and height 194.28.
 At frame 19, car 21 is located at coordinates [1301.29, 661.71] with a bounding box of width 292.60 and height 194.28.
 At frame 19, car 14 is located at coordinates [1301.29, 661.71] with a bounding box of width 292.60 and height 194.28.
 At frame 19, car 27 is located at coordinates [1301.29, 661.71] with a bounding box of width 292.60 and height 194.28.
 At frame 19, person 25 is located at coordinates [1301.29, 661.71] with a bounding box of width 292.60 and height 194.28.
 At frame 19, car 24 is located at coordinates [1301.29, 661.71] with a bounding box of width 292.60 and height 194.28.
 At frame 20, car 5 is located at coordinates [1309.47, 659.31] with a bounding box of width 303.89 and height 198.88.
 At frame 20, car 18 is located at coordinates [1309.47, 659.31] with a bounding box of width 303.89 and height 198.88.
 At frame 20, car 6 is located at coordinates [1309.47, 659.31] with a bounding box of width 303.89 and height 198.88.
 At frame 20, car 3 is located at coordinates [1309.47, 659.31] with a bounding box of width 303.89 and height 198.88.
