At frame 0, person 1 is located at coordinates [1470.79, 532.89] with a bounding box of width 124.34 and height 348.16.
 At frame 7, person 11 is located at coordinates [27.28, 648.01] with a bounding box of width 23.87 and height 65.71.
 At frame 8, person 1 is located at coordinates [1446.67, 534.31] with a bounding box of width 125.16 and height 348.89.
 At frame 8, person 2 is located at coordinates [1312.41, 527.09] with a bounding box of width 109.61 and height 348.17.
 At frame 8, person 3 is located at coordinates [1229.05, 589.38] with a bounding box of width 55.45 and height 133.99.
 At frame 8, person 4 is located at coordinates [122.52, 645.73] with a bounding box of width 41.84 and height 81.88.
 At frame 8, person 6 is located at coordinates [1313.33, 597.90] with a bounding box of width 26.33 and height 63.83.
 At frame 8, person 8 is located at coordinates [133.40, 645.44] with a bounding box of width 34.85 and height 76.80.
 At frame 8, person 9 is located at coordinates [154.14, 645.00] with a bounding box of width 24.69 and height 66.88.
 At frame 8, person 7 is located at coordinates [358.19, 639.37] with a bounding box of width 32.24 and height 80.99.
 At frame 8, person 11 is located at coordinates [27.66, 647.92] with a bounding box of width 24.15 and height 66.35.
 At frame 9, person 1 is located at coordinates [1443.46, 534.91] with a bounding box of width 125.78 and height 350.21.
 At frame 9, person 2 is located at coordinates [1310.54, 527.18] with a bounding box of width 109.19 and height 347.00.
 At frame 9, person 3 is located at coordinates [1232.44, 589.25] with a bounding box of width 54.94 and height 133.02.
 At frame 9, person 4 is located at coordinates [124.08, 645.34] with a bounding box of width 41.92 and height 82.99.
 At frame 9, person 6 is located at coordinates [1314.14, 597.50] with a bounding box of width 26.90 and height 65.67.
 At frame 9, person 8 is located at coordinates [134.41, 646.24] with a bounding box of width 34.21 and height 76.33.
 At frame 9, person 9 is located at coordinates [154.26, 644.56] with a bounding box of width 25.02 and height 67.72.
 At frame 9, person 7 is located at coordinates [357.10, 639.47] with a bounding box of width 31.90 and height 80.35.
 At frame 9, person 11 is located at coordinates [27.89, 647.57] with a bounding box of width 24.56 and height 67.20.
 At frame 10, person 1 is located at coordinates [1441.63, 533.63] with a bounding box of width 126.34 and height 351.89.
 At frame 10, person 2 is located at coordinates [1308.51, 526.01] with a bounding box of width 109.51 and height 348.35.
 At frame 10, person 3 is located at coordinates [1233.23, 589.81] with a bounding box of width 54.46 and height 132.04.
 At frame 10, person 4 is located at coordinates [125.19, 645.50] with a bounding box of width 41.80 and height 83.99.
 At frame 10, person 6 is located at coordinates [1314.94, 596.17] with a bounding box of width 28.42 and height 69.90.
 At frame 10, person 8 is located at coordinates [141.94, 644.41] with a bounding box of width 33.58 and height 75.59.
 At frame 10, person 9 is located at coordinates [154.12, 643.81] with a bounding box of width 25.42 and height 68.64.
 At frame 10, person 7 is located at coordinates [356.68, 639.79] with a bounding box of width 31.57 and height 79.51.
 At frame 10, person 11 is located at coordinates [28.40, 647.14] with a bounding box of width 25.23 and height 68.74.
 At frame 11, person 1 is located at coordinates [1438.96, 534.34] with a bounding box of width 126.01 and height 351.32.
 At frame 11, person 2 is located at coordinates [1307.26, 524.38] with a bounding box of width 109.58 and height 349.45.
 At frame 11, person 3 is located at coordinates [1233.96, 590.02] with a bounding box of width 54.52 and height 132.85.
 At frame 11, person 4 is located at coordinates [127.89, 646.75] with a bounding box of width 40.47 and height 82.58.
 

=====================================================

At frame 11, person 6 is located at coordinates [1315.34, 594.81] with a bounding box of width 31.07 and height 77.24.
 At frame 11, person 8 is located at coordinates [144.87, 644.63] with a bounding box of width 31.53 and height 71.73.
 At frame 11, person 9 is located at coordinates [156.06, 643.23] with a bounding box of width 25.39 and height 68.40.
 At frame 11, person 7 is located at coordinates [356.72, 639.91] with a bounding box of width 31.42 and height 79.19.
 At frame 11, person 11 is located at coordinates [28.73, 646.69] with a bounding box of width 25.75 and height 69.88.
 At frame 12, person 1 is located at coordinates [1436.16, 534.60] with a bounding box of width 126.14 and height 351.68.
 At frame 12, person 2 is located at coordinates [1305.85, 523.77] with a bounding box of width 109.28 and height 349.27.
 At frame 12, person 3 is located at coordinates [1235.65, 591.29] with a bounding box of width 54.02 and height 132.56.
 At frame 12, person 4 is located at coordinates [126.78, 644.86] with a bounding box of width 38.59 and height 80.25.
 At frame 12, person 6 is located at coordinates [1315.98, 593.73] with a bounding box of width 32.21 and height 80.61.
 At frame 12, person 8 is located at coordinates [139.13, 643.81] with a bounding box of width 34.86 and height 80.10.
 At frame 12, person 9 is located at coordinates [157.92, 642.13] with a bounding box of width 25.41 and height 68.32.
 At frame 12, person 7 is located at coordinates [356.61, 639.95] with a bounding box of width 31.39 and height 79.07.
 At frame 12, person 11 is located at coordinates [29.00, 646.23] with a bounding box of width 26.21 and height 70.88.
 At frame 13, person 1 is located at coordinates [1434.14, 535.87] with a bounding box of width 125.99 and height 351.21.
 At frame 13, person 2 is located at coordinates [1304.71, 522.67] with a bounding box of width 109.37 and height 350.96.
 At frame 13, person 3 is located at coordinates [1236.66, 590.59] with a bounding box of width 54.19 and height 133.63.
 At frame 13, person 4 is located at coordinates [131.32, 645.05] with a bounding box of width 38.47 and height 81.17.
 At frame 13, person 8 is located at coordinates [140.61, 644.10] with a bounding box of width 33.90 and height 78.94.
 At frame 13, person 9 is located at coordinates [159.27, 642.33] with a bounding box of width 25.81 and height 69.49.
 At frame 13, person 7 is located at coordinates [355.69, 639.96] with a bounding box of width 31.41 and height 78.44.
 At frame 13, person 11 is located at coordinates [29.44, 645.78] with a bounding box of width 26.48 and height 71.23.
 At frame 14, person 1 is located at coordinates [1432.27, 535.76] with a bounding box of width 126.01 and height 352.21.
 At frame 14, person 2 is located at coordinates [1303.29, 521.67] with a bounding box of width 109.15 and height 352.17.
 At frame 14, person 3 is located at coordinates [1237.93, 591.79] with a bounding box of width 53.58 and height 131.67.
 At frame 14, person 4 is located at coordinates [131.17, 647.19] with a bounding box of width 37.68 and height 80.33.
 At frame 14, person 8 is located at coordinates [141.71, 645.70] with a bounding box of width 33.36 and height 78.45.
 At frame 14, person 9 is located at coordinates [159.82, 642.11] with a bounding box of width 26.08 and height 69.92.
 At frame 14, person 7 is located at coordinates [356.88, 639.96] with a bounding box of width 31.37 and height 78.21.
 At frame 14, person 11 is located at coordinates [29.92, 645.91] with a bounding box of width 26.46 and height 70.73.
 At frame 15, person 1 is located at coordinates [1429.89, 536.00] with a bounding box of width 126.03 and height 353.75.
 At frame 15, person 2 is located at coordinates [1301.58, 521.90] with a bounding box of width 109.22 and height 354.38.
 At frame 15, person 3 is located at coordinates [1238.78, 591.65] with a bounding box of width 53.71 and height 132.10.
 At frame 15, person 4 is located at coordinates [132.70, 646.22] with a bounding box of width 38.83 and height 82.39.
 At frame 15, person 8 is located at coordinates [144.03, 645.72] with a bounding box of width 33.23 and height 78.27.
 At frame 15, person 9 is located at coordinates [161.48, 642.04] with a bounding box of width 25.09 and height 66.57.
 At frame 15, person 7 is located at coordinates [357.89, 639.37] with a bounding box of width 31.44 and height 78.72.
 At frame 15, person 11 is located at coordinates [30.16, 645.98] with a bounding box of width 26.48 and height 70.52.
 At frame 15, person 5 is located at coordinates [337.31, 643.82] with a bounding box of width 44.34 and height 75.52.
 At frame 16, person 1 is located at coordinates [1429.24, 535.78] with a bounding box of width 125.75 and height 354.32.
 At frame 16, person 2 is located at coordinates [1300.91, 522.59] with a bounding box of width 108.26 and height 353.43.
 At frame 16, person 3 is located at coordinates [1239.89, 591.60] with a bounding box of width 54.46 and height 133.44.
 At frame 16, person 4 is located at coordinates [134.15, 647.91] with a bounding box of width 38.57 and height 80.81.
 At frame 16, person 8 is located at coordinates [146.47, 646.61] with a bounding box of width 32.60 and height 76.43.
 At frame 16, person 9 is located at coordinates [164.58, 641.73] with a bounding box of width 24.76 and height 65.28.
 At frame 16, person 7 is located at coordinates [358.32, 639.14] with a bounding box of width 31.40 and height 78.91.
 At frame 16, person 11 is located at coordinates [30.16, 646.01] with a bounding box of width 26.78 and height 71.01.
 At frame 16, person 5 is located at coordinates [336.30, 645.85] with a bounding box of width 41.65 and height 73.51.
 At frame 17, person 1 is located at coordinates [1429.32, 536.87] with a bounding box of width 125.19 and height 353.92.
 At frame 17, person 2 is located at coordinates [1298.55, 522.86] with a bounding box of width 107.53 and height 353.05.
 

=====================================================

At frame 17, person 3 is located at coordinates [1240.46, 587.76] with a bounding box of width 56.72 and height 139.22.
 At frame 17, person 4 is located at coordinates [135.00, 647.38] with a bounding box of width 39.67 and height 81.97.
 At frame 17, person 8 is located at coordinates [146.62, 647.53] with a bounding box of width 33.04 and height 76.92.
 At frame 17, person 9 is located at coordinates [166.39, 641.93] with a bounding box of width 24.40 and height 64.23.
 At frame 17, person 7 is located at coordinates [359.13, 639.06] with a bounding box of width 30.99 and height 78.40.
 At frame 17, person 11 is located at coordinates [30.22, 646.33] with a bounding box of width 26.98 and height 71.18.
 At frame 17, person 5 is located at coordinates [334.80, 646.18] with a bounding box of width 39.52 and height 72.89.
 At frame 18, person 1 is located at coordinates [1428.55, 537.27] with a bounding box of width 124.40 and height 353.17.
 At frame 18, person 2 is located at coordinates [1296.80, 523.56] with a bounding box of width 106.77 and height 352.30.
 At frame 18, person 3 is located at coordinates [1240.78, 586.90] with a bounding box of width 57.30 and height 140.80.
 At frame 18, person 4 is located at coordinates [135.62, 646.88] with a bounding box of width 40.43 and height 82.41.
 At frame 18, person 8 is located at coordinates [148.79, 646.40] with a bounding box of width 32.13 and height 75.35.
 At frame 18, person 9 is located at coordinates [167.74, 642.01] with a bounding box of width 24.12 and height 63.27.
 At frame 18, person 7 is located at coordinates [359.60, 639.32] with a bounding box of width 30.53 and height 77.62.
 At frame 18, person 11 is located at coordinates [30.20, 646.45] with a bounding box of width 27.34 and height 71.81.
 At frame 18, person 5 is located at coordinates [333.50, 646.59] with a bounding box of width 38.02 and height 72.68.
 At frame 19, person 1 is located at coordinates [1427.21, 537.71] with a bounding box of width 124.01 and height 354.05.
 At frame 19, person 2 is located at coordinates [1295.33, 525.30] with a bounding box of width 105.88 and height 350.82.
 At frame 19, person 3 is located at coordinates [1241.46, 586.29] with a bounding box of width 57.48 and height 141.38.
 At frame 19, person 4 is located at coordinates [137.48, 646.40] with a bounding box of width 40.72 and height 82.57.
 At frame 19, person 9 is located at coordinates [168.04, 641.15] with a bounding box of width 25.51 and height 66.51.
 At frame 19, person 7 is located at coordinates [360.77, 639.72] with a bounding box of width 28.95 and height 73.78.
 At frame 19, person 11 is located at coordinates [30.57, 646.21] with a bounding box of width 27.54 and height 72.04.
 At frame 19, person 5 is located at coordinates [332.75, 646.72] with a bounding box of width 35.82 and height 70.84.
 At frame 20, person 1 is located at coordinates [1426.38, 537.86] with a bounding box of width 123.49 and height 354.37.
 At frame 20, person 2 is located at coordinates [1293.95, 526.84] with a bounding box of width 105.00 and height 349.08.
 At frame 20, person 3 is located at coordinates [1242.07, 585.49] with a bounding box of width 57.95 and height 143.32.
 At frame 20, person 4 is located at coordinates [137.92, 646.51] with a bounding box of width 40.82 and height 82.63.
 At frame 20, person 9 is located at coordinates [167.63, 639.97] with a bounding box of width 27.01 and height 70.02.
 At frame 20, person 7 is located at coordinates [361.08, 639.27] with a bounding box of width 28.93 and height 74.15.
 At frame 20, person 11 is located at coordinates [31.05, 646.71] with a bounding box of width 27.80 and height 72.11.
 At frame 20, person 5 is located at coordinates [330.76, 645.25] with a bounding box of width 35.92 and height 73.17.
 At frame 20, person 14 is located at coordinates [1517.87, 582.28] with a bounding box of width 33.73 and height 69.28.
 At frame 21, person 1 is located at coordinates [1424.81, 538.20] with a bounding box of width 122.43 and height 353.31.
 At frame 21, person 2 is located at coordinates [1292.48, 527.71] with a bounding box of width 104.34 and height 347.25.
 At frame 21, person 3 is located at coordinates [1242.54, 585.78] with a bounding box of width 57.58 and height 143.44.
 At frame 21, person 4 is located at coordinates [140.16, 645.38] with a bounding box of width 40.86 and height 83.23.
 At frame 21, person 9 is located at coordinates [169.87, 640.10] with a bounding box of width 26.16 and height 67.34.
 At frame 21, person 7 is located at coordinates [361.01, 639.10] with a bounding box of width 29.28 and height 75.48.
 At frame 21, person 11 is located at coordinates [31.49, 646.61] with a bounding box of width 27.82 and height 71.53.
 At frame 21, person 5 is located at coordinates [329.06, 645.00] with a bounding box of width 34.79 and height 72.86.
 At frame 21, person 14 is located at coordinates [1519.26, 581.52] with a bounding box of width 33.70 and height 69.28.
 At frame 22, person 1 is located at coordinates [1423.29, 538.02] with a bounding box of width 121.68 and height 354.07.
 At frame 22, person 2 is located at coordinates [1290.62, 528.62] with a bounding box of width 104.50 and height 347.74.
 At frame 22, person 3 is located at coordinates [1243.48, 586.79] with a bounding box of width 56.99 and height 142.87.
 At frame 22, person 4 is located at coordinates [142.63, 645.24] with a bounding box of width 40.46 and height 83.45.
 At frame 22, person 9 is located at coordinates [171.44, 640.47] with a bounding box of width 26.08 and height 66.85.
 At frame 22, person 7 is located at coordinates [360.98, 639.04] with a bounding box of width 29.13 and height 75.40.
 At frame 22, person 11 is located at coordinates [31.71, 646.87] with a bounding box of width 28.34 and height 72.48.
 At frame 22, person 5 is located at coordinates [327.83, 644.31] with a bounding box of width 33.94 and height 72.75.
 

=====================================================

At frame 22, person 14 is located at coordinates [1520.62, 581.96] with a bounding box of width 33.27 and height 68.59.
 At frame 23, person 1 is located at coordinates [1421.56, 538.83] with a bounding box of width 120.33 and height 352.59.
 At frame 23, person 2 is located at coordinates [1286.71, 528.65] with a bounding box of width 105.24 and height 347.94.
 At frame 23, person 3 is located at coordinates [1245.47, 587.48] with a bounding box of width 56.94 and height 143.20.
 At frame 23, person 4 is located at coordinates [144.72, 645.49] with a bounding box of width 39.93 and height 83.53.
 At frame 23, person 9 is located at coordinates [172.65, 640.62] with a bounding box of width 26.33 and height 67.26.
 At frame 23, person 7 is located at coordinates [360.63, 638.73] with a bounding box of width 29.45 and height 76.56.
 At frame 23, person 11 is located at coordinates [32.02, 646.67] with a bounding box of width 28.47 and height 72.24.
 At frame 23, person 5 is located at coordinates [327.15, 644.05] with a bounding box of width 33.65 and height 73.90.
 At frame 23, person 14 is located at coordinates [1521.01, 582.12] with a bounding box of width 33.12 and height 68.37.
 At frame 24, person 1 is located at coordinates [1419.94, 538.82] with a bounding box of width 119.54 and height 352.61.
 At frame 24, person 2 is located at coordinates [1281.63, 528.06] with a bounding box of width 107.01 and height 349.78.
 At frame 24, person 3 is located at coordinates [1247.72, 588.91] with a bounding box of width 56.22 and height 141.55.
 At frame 24, person 4 is located at coordinates [147.25, 645.88] with a bounding box of width 39.22 and height 82.97.
 At frame 24, person 9 is located at coordinates [173.51, 640.68] with a bounding box of width 26.10 and height 66.24.
 At frame 24, person 7 is located at coordinates [360.51, 638.61] with a bounding box of width 29.26 and height 76.42.
 At frame 24, person 11 is located at coordinates [32.61, 646.31] with a bounding box of width 28.36 and height 71.55.
 At frame 24, person 5 is located at coordinates [326.24, 645.12] with a bounding box of width 32.93 and height 73.75.
 At frame 24, person 14 is located at coordinates [1521.94, 582.82] with a bounding box of width 32.67 and height 67.67.
 At frame 25, person 1 is located at coordinates [1417.77, 538.52] with a bounding box of width 119.00 and height 353.20.
 At frame 25, person 2 is located at coordinates [1275.76, 528.70] with a bounding box of width 108.69 and height 349.31.
 At frame 25, person 3 is located at coordinates [1248.67, 588.58] with a bounding box of width 56.83 and height 142.65.
 At frame 25, person 4 is located at coordinates [149.47, 645.15] with a bounding box of width 38.94 and height 83.34.
 At frame 25, person 9 is located at coordinates [174.61, 640.71] with a bounding box of width 26.15 and height 65.85.
 At frame 25, person 7 is located at coordinates [360.64, 638.86] with a bounding box of width 29.12 and height 76.36.
 At frame 25, person 11 is located at coordinates [33.03, 647.05] with a bounding box of width 28.63 and height 71.86.
 At frame 25, person 5 is located at coordinates [325.03, 645.53] with a bounding box of width 32.50 and height 74.28.
 At frame 25, person 14 is located at coordinates [1522.76, 582.74] with a bounding box of width 32.72 and height 68.07.
 At frame 26, person 1 is located at coordinates [1415.55, 539.27] with a bounding box of width 118.22 and height 352.84.
 At frame 26, person 2 is located at coordinates [1269.97, 528.64] with a bounding box of width 110.77 and height 349.72.
 At frame 26, person 3 is located at coordinates [1249.94, 588.46] with a bounding box of width 57.51 and height 143.64.
 At frame 26, person 4 is located at coordinates [151.10, 644.88] with a bounding box of width 38.75 and height 84.06.
 At frame 26, person 9 is located at coordinates [175.41, 641.02] with a bounding box of width 26.75 and height 66.89.
 At frame 26, person 7 is located at coordinates [360.56, 638.96] with a bounding box of width 29.05 and height 76.35.
 At frame 26, person 11 is located at coordinates [33.85, 648.21] with a bounding box of width 28.43 and height 70.80.
 At frame 26, person 5 is located at coordinates [323.43, 646.27] with a bounding box of width 31.82 and height 73.90.
 At frame 26, person 14 is located at coordinates [1523.54, 582.09] with a bounding box of width 32.91 and height 68.85.
 At frame 27, person 1 is located at coordinates [1412.69, 539.55] with a bounding box of width 117.42 and height 352.70.
 At frame 27, person 2 is located at coordinates [1265.53, 528.31] with a bounding box of width 112.77 and height 349.87.
 At frame 27, person 3 is located at coordinates [1252.25, 589.58] with a bounding box of width 57.51 and height 142.82.
 At frame 27, person 4 is located at coordinates [152.74, 645.08] with a bounding box of width 38.41 and height 84.33.
 At frame 27, person 9 is located at coordinates [176.29, 640.27] with a bounding box of width 29.54 and height 73.72.
 At frame 27, person 7 is located at coordinates [360.54, 639.00] with a bounding box of width 28.99 and height 76.34.
 At frame 27, person 11 is located at coordinates [34.47, 648.65] with a bounding box of width 28.66 and height 70.98.
 At frame 27, person 5 is located at coordinates [321.28, 646.83] with a bounding box of width 31.56 and height 73.76.
 At frame 27, person 14 is located at coordinates [1524.64, 581.85] with a bounding box of width 32.48 and height 68.53.
 At frame 27, person 15 is located at coordinates [1499.51, 589.47] with a bounding box of width 26.05 and height 61.64.
 At frame 28, person 1 is located at coordinates [1410.22, 542.29] with a bounding box of width 116.55 and height 352.05.
 At frame 28, person 2 is located at coordinates [1262.85, 528.77] with a bounding box of width 114.55 and height 349.93.
 At frame 28, person 3 is located at coordinates [1254.38, 588.25] with a bounding box of width 58.45 and height 144.25.
 

=====================================================

At frame 28, person 4 is located at coordinates [154.00, 645.15] with a bounding box of width 37.90 and height 83.84.
 At frame 28, person 9 is located at coordinates [178.41, 640.27] with a bounding box of width 29.37 and height 73.42.
 At frame 28, person 7 is located at coordinates [360.48, 639.01] with a bounding box of width 28.78 and height 75.76.
 At frame 28, person 11 is located at coordinates [35.38, 648.81] with a bounding box of width 28.86 and height 71.05.
 At frame 28, person 5 is located at coordinates [319.23, 647.04] with a bounding box of width 31.46 and height 73.12.
 At frame 28, person 14 is located at coordinates [1525.58, 581.46] with a bounding box of width 32.41 and height 69.01.
 At frame 28, person 15 is located at coordinates [1500.39, 589.68] with a bounding box of width 25.67 and height 60.67.
 At frame 29, person 1 is located at coordinates [1406.78, 540.37] with a bounding box of width 116.71 and height 355.34.
 At frame 29, person 2 is located at coordinates [1260.98, 528.64] with a bounding box of width 115.99 and height 350.54.
 At frame 29, person 3 is located at coordinates [1255.51, 588.33] with a bounding box of width 58.05 and height 143.02.
 At frame 29, person 4 is located at coordinates [155.95, 645.48] with a bounding box of width 37.57 and height 83.06.
 At frame 29, person 9 is located at coordinates [179.84, 639.99] with a bounding box of width 29.04 and height 72.68.
 At frame 29, person 7 is located at coordinates [360.38, 638.43] with a bounding box of width 28.87 and height 76.13.
 At frame 29, person 11 is located at coordinates [35.76, 648.57] with a bounding box of width 29.24 and height 71.66.
 At frame 29, person 5 is located at coordinates [317.48, 648.58] with a bounding box of width 30.56 and height 70.52.
 At frame 29, person 14 is located at coordinates [1526.11, 581.62] with a bounding box of width 31.94 and height 68.60.
 At frame 29, person 15 is located at coordinates [1500.64, 589.40] with a bounding box of width 25.61 and height 60.36.
 At frame 30, person 1 is located at coordinates [1404.14, 540.22] with a bounding box of width 116.10 and height 355.40.
 At frame 30, person 2 is located at coordinates [1259.80, 530.93] with a bounding box of width 116.52 and height 348.42.
 At frame 30, person 3 is located at coordinates [1255.85, 589.25] with a bounding box of width 56.79 and height 140.18.
 At frame 30, person 4 is located at coordinates [158.06, 646.20] with a bounding box of width 37.66 and height 82.76.
 At frame 30, person 9 is located at coordinates [180.57, 639.31] with a bounding box of width 29.01 and height 72.37.
 At frame 30, person 7 is located at coordinates [360.02, 638.51] with a bounding box of width 28.95 and height 76.27.
 At frame 30, person 11 is located at coordinates [36.25, 648.47] with a bounding box of width 29.29 and height 71.30.
 At frame 30, person 5 is located at coordinates [315.54, 649.75] with a bounding box of width 30.89 and height 70.15.
 At frame 30, person 14 is located at coordinates [1527.14, 581.98] with a bounding box of width 31.22 and height 67.84.
 At frame 30, person 15 is located at coordinates [1501.46, 589.64] with a bounding box of width 25.42 and height 59.62.
 At frame 31, person 1 is located at coordinates [1401.80, 540.15] with a bounding box of width 115.22 and height 354.24.
 At frame 31, person 2 is located at coordinates [1258.12, 532.96] with a bounding box of width 117.03 and height 346.43.
 At frame 31, person 3 is located at coordinates [1256.35, 590.48] with a bounding box of width 56.62 and height 139.68.
 At frame 31, person 4 is located at coordinates [160.28, 648.23] with a bounding box of width 37.68 and height 81.47.
