At frame 0, person 1 is located at coordinates [-21.95, 662.12] with a bounding box of width 112.44 and height 309.52.
 At frame 9, person 3 is located at coordinates [865.54, 661.14] with a bounding box of width 32.78 and height 72.00.
 At frame 9, person 4 is located at coordinates [97.96, 632.36] with a bounding box of width 40.48 and height 106.04.
 At frame 9, person 5 is located at coordinates [1116.94, 633.45] with a bounding box of width 35.70 and height 83.29.
 At frame 9, person 7 is located at coordinates [646.59, 667.51] with a bounding box of width 19.18 and height 49.56.
 

=====================================================

At frame 10, person 2 is located at coordinates [1149.64, 623.07] with a bounding box of width 42.47 and height 98.66.
 At frame 10, person 3 is located at coordinates [866.94, 662.15] with a bounding box of width 34.37 and height 75.23.
 At frame 10, person 4 is located at coordinates [91.76, 635.99] with a bounding box of width 38.00 and height 98.98.
 At frame 10, person 5 is located at coordinates [1122.03, 636.41] with a bounding box of width 35.91 and height 83.75.
 At frame 10, person 7 is located at coordinates [647.11, 671.22] with a bounding box of width 19.67 and height 50.91.
 At frame 11, person 2 is located at coordinates [1154.85, 627.60] with a bounding box of width 43.36 and height 100.91.
 At frame 11, person 3 is located at coordinates [868.70, 669.30] with a bounding box of width 34.13 and height 74.68.
 At frame 11, person 4 is located at coordinates [81.24, 640.69] with a bounding box of width 39.53 and height 103.10.
 At frame 11, person 5 is located at coordinates [1126.45, 641.73] with a bounding box of width 36.58 and height 85.52.
 At frame 11, person 7 is located at coordinates [646.95, 679.23] with a bounding box of width 19.36 and height 50.22.
 At frame 12, person 2 is located at coordinates [1159.27, 635.30] with a bounding box of width 44.29 and height 103.45.
 At frame 12, person 3 is located at coordinates [870.91, 677.89] with a bounding box of width 33.70 and height 73.82.
 At frame 12, person 4 is located at coordinates [71.28, 647.89] with a bounding box of width 38.71 and height 100.53.
 At frame 12, person 5 is located at coordinates [1128.73, 649.11] with a bounding box of width 38.84 and height 91.30.
 At frame 12, person 7 is located at coordinates [646.59, 687.80] with a bounding box of width 19.22 and height 49.94.
 At frame 13, person 2 is located at coordinates [1163.66, 644.44] with a bounding box of width 45.84 and height 106.68.
 At frame 13, person 3 is located at coordinates [872.17, 687.75] with a bounding box of width 34.27 and height 75.21.
 At frame 13, person 4 is located at coordinates [61.50, 655.59] with a bounding box of width 37.28 and height 96.43.
 At frame 13, person 5 is located at coordinates [1132.61, 657.94] with a bounding box of width 39.15 and height 92.35.
 At frame 14, person 2 is located at coordinates [1167.85, 652.07] with a bounding box of width 48.00 and height 111.89.
 At frame 14, person 3 is located at coordinates [873.66, 696.13] with a bounding box of width 34.67 and height 76.28.
 At frame 14, person 4 is located at coordinates [49.37, 659.50] with a bounding box of width 38.42 and height 98.92.
 At frame 14, person 5 is located at coordinates [1137.57, 665.62] with a bounding box of width 38.94 and height 92.08.
 At frame 15, person 2 is located at coordinates [1171.35, 659.32] with a bounding box of width 51.62 and height 120.68.
 At frame 15, person 3 is located at coordinates [874.77, 702.26] with a bounding box of width 34.76 and height 76.66.
 At frame 15, person 4 is located at coordinates [39.86, 661.52] with a bounding box of width 37.69 and height 96.89.
 At frame 15, person 5 is located at coordinates [1140.91, 672.15] with a bounding box of width 42.61 and height 101.09.
 At frame 16, person 2 is located at coordinates [1177.54, 663.83] with a bounding box of width 49.88 and height 116.22.
 At frame 16, person 3 is located at coordinates [876.25, 705.18] with a bounding box of width 35.15 and height 77.94.
 At frame 16, person 4 is located at coordinates [28.33, 659.64] with a bounding box of width 37.88 and height 97.20.
 At frame 16, person 5 is located at coordinates [1145.27, 674.88] with a bounding box of width 43.33 and height 103.36.
 At frame 17, person 2 is located at coordinates [1181.45, 662.76] with a bounding box of width 53.91 and height 126.95.
 At frame 17, person 3 is located at coordinates [877.25, 705.09] with a bounding box of width 35.75 and height 79.55.
 At frame 17, person 4 is located at coordinates [15.76, 656.59] with a bounding box of width 37.89 and height 96.69.
 At frame 17, person 5 is located at coordinates [1149.40, 674.86] with a bounding box of width 45.30 and height 109.25.
 At frame 18, person 2 is located at coordinates [1185.94, 659.57] with a bounding box of width 53.77 and height 127.00.
 At frame 18, person 3 is located at coordinates [878.70, 700.68] with a bounding box of width 36.30 and height 81.30.
 At frame 18, person 4 is located at coordinates [5.95, 650.73] with a bounding box of width 38.65 and height 98.81.
 At frame 18, person 5 is located at coordinates [1154.18, 672.59] with a bounding box of width 45.15 and height 109.81.
 At frame 19, person 2 is located at coordinates [1190.96, 651.92] with a bounding box of width 54.81 and height 130.28.
 At frame 19, person 3 is located at coordinates [879.96, 696.35] with a bounding box of width 36.44 and height 81.36.
 At frame 19, person 4 is located at coordinates [-4.52, 644.76] with a bounding box of width 36.44 and height 93.76.
 At frame 19, person 5 is located at coordinates [1159.27, 667.10] with a bounding box of width 44.04 and height 107.62.
 At frame 20, person 2 is located at coordinates [1197.43, 646.68] with a bounding box of width 54.96 and height 130.90.
 At frame 20, person 3 is located at coordinates [880.79, 688.25] with a bounding box of width 37.69 and height 84.24.
 At frame 20, person 5 is located at coordinates [1165.10, 659.73] with a bounding box of width 43.65 and height 107.20.
 At frame 21, person 2 is located at coordinates [1203.91, 640.32] with a bounding box of width 55.94 and height 133.90.
 At frame 21, person 3 is located at coordinates [882.75, 684.32] with a bounding box of width 37.38 and height 83.01.
 At frame 21, person 5 is located at coordinates [1170.11, 654.89] with a bounding box of width 45.70 and height 112.74.
 At frame 21, person 7 is located at coordinates [652.20, 693.39] with a bounding box of width 18.64 and height 48.03.
 

=====================================================

At frame 22, person 2 is located at coordinates [1210.13, 635.89] with a bounding box of width 56.54 and height 136.13.
 At frame 22, person 3 is located at coordinates [883.13, 679.31] with a bounding box of width 38.15 and height 84.22.
 At frame 22, person 5 is located at coordinates [1176.91, 649.68] with a bounding box of width 45.59 and height 113.10.
 At frame 22, person 7 is located at coordinates [650.64, 689.31] with a bounding box of width 19.74 and height 50.44.
 At frame 23, person 2 is located at coordinates [1218.63, 634.49] with a bounding box of width 54.57 and height 131.75.
 At frame 23, person 3 is located at coordinates [885.38, 678.61] with a bounding box of width 38.19 and height 83.49.
 At frame 23, person 5 is located at coordinates [1182.38, 647.37] with a bounding box of width 45.33 and height 112.55.
 At frame 23, person 7 is located at coordinates [650.94, 687.47] with a bounding box of width 19.70 and height 50.02.
 At frame 24, person 2 is located at coordinates [1224.54, 634.02] with a bounding box of width 56.28 and height 136.31.
 At frame 24, person 3 is located at coordinates [887.32, 680.44] with a bounding box of width 37.96 and height 82.00.
 At frame 24, person 5 is located at coordinates [1188.48, 648.56] with a bounding box of width 44.98 and height 111.67.
 At frame 24, person 7 is located at coordinates [650.58, 687.06] with a bounding box of width 20.03 and height 50.44.
 At frame 24, person 16 is located at coordinates [637.12, 681.93] with a bounding box of width 19.81 and height 54.00.
 At frame 25, person 2 is located at coordinates [1230.59, 635.60] with a bounding box of width 58.18 and height 141.41.
 At frame 25, person 3 is located at coordinates [888.01, 684.13] with a bounding box of width 38.41 and height 81.99.
 At frame 25, person 5 is located at coordinates [1195.31, 651.12] with a bounding box of width 44.79 and height 110.68.
 At frame 25, person 7 is located at coordinates [649.72, 688.68] with a bounding box of width 20.42 and height 51.18.
 At frame 25, person 16 is located at coordinates [636.27, 683.77] with a bounding box of width 20.14 and height 54.82.
 At frame 26, person 2 is located at coordinates [1238.36, 639.96] with a bounding box of width 57.98 and height 141.04.
 At frame 26, person 3 is located at coordinates [889.28, 690.23] with a bounding box of width 39.36 and height 83.14.
 At frame 26, person 5 is located at coordinates [1201.70, 656.24] with a bounding box of width 43.76 and height 106.73.
 At frame 26, person 7 is located at coordinates [647.51, 694.54] with a bounding box of width 20.81 and height 51.45.
 At frame 26, person 16 is located at coordinates [635.36, 688.84] with a bounding box of width 20.81 and height 56.46.
 At frame 27, person 2 is located at coordinates [1242.91, 645.79] with a bounding box of width 62.48 and height 153.49.
 At frame 27, person 3 is located at coordinates [890.75, 699.82] with a bounding box of width 39.39 and height 82.39.
 At frame 27, person 5 is located at coordinates [1206.77, 663.27] with a bounding box of width 44.70 and height 108.70.
 At frame 27, person 7 is located at coordinates [645.33, 700.29] with a bounding box of width 21.87 and height 53.31.
 At frame 27, person 16 is located at coordinates [636.66, 696.95] with a bounding box of width 21.15 and height 56.97.
 At frame 28, person 2 is located at coordinates [1252.42, 654.14] with a bounding box of width 58.59 and height 143.57.
 At frame 28, person 3 is located at coordinates [893.12, 709.94] with a bounding box of width 39.17 and height 81.50.
 At frame 28, person 5 is located at coordinates [1213.94, 672.85] with a bounding box of width 44.67 and height 107.65.
 At frame 28, person 7 is located at coordinates [646.12, 709.65] with a bounding box of width 21.36 and height 51.69.
 At frame 28, person 16 is located at coordinates [635.49, 705.93] with a bounding box of width 21.36 and height 57.10.
 At frame 29, person 2 is located at coordinates [1259.79, 661.75] with a bounding box of width 60.93 and height 149.17.
 At frame 29, person 3 is located at coordinates [892.31, 717.54] with a bounding box of width 39.71 and height 82.32.
 At frame 29, person 5 is located at coordinates [1221.33, 680.92] with a bounding box of width 45.46 and height 108.96.
 At frame 29, person 7 is located at coordinates [644.65, 716.50] with a bounding box of width 21.82 and height 52.21.
 At frame 29, person 16 is located at coordinates [634.87, 711.35] with a bounding box of width 22.46 and height 59.59.
 At frame 30, person 2 is located at coordinates [1269.24, 668.81] with a bounding box of width 58.45 and height 142.01.
 At frame 30, person 3 is located at coordinates [895.02, 722.35] with a bounding box of width 41.09 and height 84.95.
 At frame 30, person 5 is located at coordinates [1228.32, 686.23] with a bounding box of width 47.46 and height 112.93.
 At frame 30, person 7 is located at coordinates [642.25, 722.20] with a bounding box of width 22.79 and height 53.57.
 At frame 30, person 16 is located at coordinates [635.10, 716.72] with a bounding box of width 23.17 and height 60.45.
 At frame 31, person 2 is located at coordinates [1276.11, 669.76] with a bounding box of width 63.41 and height 154.95.
 At frame 31, person 5 is located at coordinates [1233.33, 689.91] with a bounding box of width 50.10 and height 119.60.
 At frame 31, person 7 is located at coordinates [642.70, 726.59] with a bounding box of width 22.77 and height 52.92.
 At frame 31, person 16 is located at coordinates [633.70, 719.08] with a bounding box of width 24.02 and height 61.92.
 At frame 32, person 2 is located at coordinates [1284.70, 671.80] with a bounding box of width 63.18 and height 153.96.
 At frame 32, person 5 is located at coordinates [1240.90, 689.56] with a bounding box of width 49.76 and height 118.15.
 At frame 32, person 7 is located at coordinates [638.98, 725.22] with a bounding box of width 24.73 and height 56.75.
 

=====================================================

At frame 32, person 16 is located at coordinates [632.70, 719.47] with a bounding box of width 24.73 and height 63.03.
 At frame 33, person 2 is located at coordinates [1294.97, 670.50] with a bounding box of width 57.99 and height 140.68.
 At frame 33, person 5 is located at coordinates [1247.23, 686.95] with a bounding box of width 49.34 and height 116.89.
 At frame 33, person 7 is located at coordinates [639.74, 724.98] with a bounding box of width 24.62 and height 55.89.
 At frame 33, person 16 is located at coordinates [632.14, 717.08] with a bounding box of width 25.35 and height 63.99.
 At frame 34, person 2 is located at coordinates [1303.81, 666.55] with a bounding box of width 56.15 and height 135.28.
 At frame 34, person 5 is located at coordinates [1254.32, 682.65] with a bounding box of width 49.84 and height 118.10.
 At frame 34, person 7 is located at coordinates [638.75, 720.65] with a bounding box of width 24.90 and height 56.09.
 At frame 34, person 16 is located at coordinates [632.28, 715.42] with a bounding box of width 24.91 and height 61.99.
 At frame 35, person 2 is located at coordinates [1313.08, 659.70] with a bounding box of width 57.18 and height 137.51.
 At frame 35, person 5 is located at coordinates [1260.67, 673.73] with a bounding box of width 52.74 and height 126.07.
 At frame 35, person 7 is located at coordinates [637.87, 714.00] with a bounding box of width 26.07 and height 58.47.
 At frame 35, person 16 is located at coordinates [630.83, 709.84] with a bounding box of width 25.39 and height 62.93.
 At frame 36, person 2 is located at coordinates [1322.26, 654.57] with a bounding box of width 59.67 and height 143.60.
 At frame 36, person 5 is located at coordinates [1267.11, 669.50] with a bounding box of width 53.49 and height 127.91.
 At frame 36, person 7 is located at coordinates [638.99, 709.74] with a bounding box of width 25.91 and height 57.64.
 At frame 36, person 16 is located at coordinates [630.73, 704.50] with a bounding box of width 25.29 and height 62.09.
 At frame 37, person 2 is located at coordinates [1332.29, 647.15] with a bounding box of width 59.74 and height 143.56.
 At frame 37, person 5 is located at coordinates [1274.93, 662.34] with a bounding box of width 54.19 and height 130.29.
 At frame 37, person 7 is located at coordinates [638.98, 703.06] with a bounding box of width 26.22 and height 58.45.
 At frame 37, person 16 is located at coordinates [629.33, 698.82] with a bounding box of width 25.08 and height 61.14.
 At frame 38, person 2 is located at coordinates [1341.16, 641.35] with a bounding box of width 60.80 and height 145.83.
 At frame 38, person 5 is located at coordinates [1281.74, 657.00] with a bounding box of width 54.48 and height 131.72.
 At frame 38, person 7 is located at coordinates [640.43, 699.67] with a bounding box of width 25.77 and height 57.58.
 At frame 38, person 16 is located at coordinates [628.55, 693.69] with a bounding box of width 25.51 and height 61.95.
 At frame 39, person 2 is located at coordinates [1351.34, 638.62] with a bounding box of width 59.80 and height 142.59.
 At frame 39, person 5 is located at coordinates [1291.57, 652.65] with a bounding box of width 52.41 and height 127.02.
 At frame 39, person 7 is located at coordinates [636.63, 693.70] with a bounding box of width 27.32 and height 60.73.
 At frame 39, person 16 is located at coordinates [628.59, 689.73] with a bounding box of width 26.21 and height 63.41.
 At frame 40, person 2 is located at coordinates [1360.92, 636.48] with a bounding box of width 61.43 and height 146.00.
 At frame 40, person 5 is located at coordinates [1299.39, 647.50] with a bounding box of width 54.70 and height 132.72.
 At frame 40, person 7 is located at coordinates [635.61, 690.07] with a bounding box of width 28.27 and height 62.47.
 At frame 40, person 16 is located at coordinates [628.81, 687.37] with a bounding box of width 26.69 and height 63.94.
 At frame 41, person 2 is located at coordinates [1370.87, 634.28] with a bounding box of width 62.77 and height 148.99.
 At frame 41, person 5 is located at coordinates [1308.60, 645.05] with a bounding box of width 55.30 and height 134.22.
 At frame 41, person 7 is located at coordinates [636.19, 689.84] with a bounding box of width 28.42 and height 62.55.
 At frame 41, person 16 is located at coordinates [628.92, 686.79] with a bounding box of width 26.84 and height 64.13.
 At frame 42, person 2 is located at coordinates [1381.83, 634.09] with a bounding box of width 62.26 and height 147.21.
 At frame 42, person 5 is located at coordinates [1318.09, 643.89] with a bounding box of width 54.72 and height 133.00.
 At frame 42, person 7 is located at coordinates [634.64, 689.81] with a bounding box of width 29.20 and height 64.28.
 At frame 42, person 16 is located at coordinates [629.27, 686.02] with a bounding box of width 28.07 and height 67.10.
 At frame 42, person 18 is located at coordinates [643.90, 697.03] with a bounding box of width 24.54 and height 56.13.
 At frame 43, person 2 is located at coordinates [1393.12, 634.98] with a bounding box of width 62.38 and height 147.05.
 At frame 43, person 5 is located at coordinates [1326.22, 646.73] with a bounding box of width 56.60 and height 137.70.
 At frame 43, person 7 is located at coordinates [634.57, 691.28] with a bounding box of width 29.61 and height 65.50.
 At frame 43, person 16 is located at coordinates [629.18, 688.91] with a bounding box of width 27.81 and height 66.48.
 At frame 43, person 18 is located at coordinates [641.95, 697.51] with a bounding box of width 25.97 and height 59.43.
 At frame 44, person 2 is located at coordinates [1404.45, 635.09] with a bounding box of width 64.00 and height 151.06.
 At frame 44, person 5 is located at coordinates [1335.53, 649.28] with a bounding box of width 57.10 and height 139.44.
 At frame 44, person 16 is located at coordinates [629.18, 689.80] with a bounding box of width 28.83 and height 69.11.
 

=====================================================

At frame 44, person 18 is located at coordinates [643.80, 700.02] with a bounding box of width 26.13 and height 59.86.
 At frame 45, person 2 is located at coordinates [1415.98, 635.46] with a bounding box of width 65.77 and height 155.43.
 At frame 45, person 5 is located at coordinates [1342.23, 649.46] with a bounding box of width 60.93 and height 149.85.
 At frame 45, person 16 is located at coordinates [629.80, 693.02] with a bounding box of width 28.54 and height 68.36.
 At frame 46, person 2 is located at coordinates [1427.63, 635.36] with a bounding box of width 66.36 and height 156.50.
 At frame 46, person 5 is located at coordinates [1353.09, 650.67] with a bounding box of width 59.05 and height 145.88.
 At frame 46, person 16 is located at coordinates [630.34, 696.92] with a bounding box of width 27.84 and height 66.86.
 At frame 47, person 2 is located at coordinates [1439.20, 635.36] with a bounding box of width 65.58 and height 153.96.
 At frame 47, person 5 is located at coordinates [1363.82, 651.23] with a bounding box of width 57.49 and height 142.35.
 At frame 47, person 16 is located at coordinates [629.59, 698.41] with a bounding box of width 28.32 and height 68.02.
 At frame 48, person 2 is located at coordinates [1449.83, 633.95] with a bounding box of width 67.28 and height 157.60.
 At frame 48, person 5 is located at coordinates [1371.90, 650.88] with a bounding box of width 58.79 and height 146.20.
 At frame 48, person 16 is located at coordinates [629.02, 699.25] with a bounding box of width 28.49 and height 68.44.
 At frame 49, person 2 is located at coordinates [1461.24, 632.00] with a bounding box of width 67.56 and height 157.78.
 At frame 49, person 5 is located at coordinates [1380.17, 649.90] with a bounding box of width 61.07 and height 152.78.
 At frame 49, person 16 is located at coordinates [629.00, 699.84] with a bounding box of width 28.75 and height 69.17.
 At frame 50, person 2 is located at coordinates [1472.66, 629.54] with a bounding box of width 69.08 and height 161.87.
 At frame 50, person 5 is located at coordinates [1386.82, 647.26] with a bounding box of width 65.98 and height 166.69.
 At frame 50, person 16 is located at coordinates [628.47, 698.88] with a bounding box of width 29.32 and height 70.59.
 At frame 51, person 2 is located at coordinates [1484.25, 625.18] with a bounding box of width 69.51 and height 163.39.
 At frame 51, person 5 is located at coordinates [1395.41, 644.85] with a bounding box of width 66.74 and height 169.78.
 At frame 51, person 16 is located at coordinates [627.94, 698.50] with a bounding box of width 29.02 and height 69.95.
 At frame 52, person 2 is located at coordinates [1495.05, 621.51] with a bounding box of width 72.46 and height 171.45.
 At frame 52, person 5 is located at coordinates [1403.97, 643.05] with a bounding box of width 68.63 and height 176.00.
 At frame 52, person 16 is located at coordinates [627.51, 696.00] with a bounding box of width 28.79 and height 69.68.
 At frame 52, person 18 is located at coordinates [644.93, 701.42] with a bounding box of width 28.19 and height 64.76.
 At frame 53, person 2 is located at coordinates [1504.98, 618.44] with a bounding box of width 75.12 and height 179.04.
 At frame 53, person 5 is located at coordinates [1412.62, 641.24] with a bounding box of width 68.46 and height 176.64.
 At frame 53, person 16 is located at coordinates [627.49, 695.34] with a bounding box of width 28.43 and height 68.97.
 At frame 53, person 18 is located at coordinates [647.12, 702.95] with a bounding box of width 27.03 and height 62.50.
 At frame 54, person 2 is located at coordinates [1515.67, 614.74] with a bounding box of width 76.64 and height 184.21.
 At frame 54, person 5 is located at coordinates [1420.69, 638.85] with a bounding box of width 68.72 and height 179.03.
 At frame 54, person 16 is located at coordinates [626.38, 693.32] with a bounding box of width 28.75 and height 69.86.
 At frame 54, person 18 is located at coordinates [646.71, 701.68] with a bounding box of width 27.14 and height 62.91.
 At frame 54, person 7 is located at coordinates [629.54, 692.95] with a bounding box of width 31.41 and height 70.05.
 At frame 55, person 2 is located at coordinates [1528.36, 611.92] with a bounding box of width 75.47 and height 182.74.
 At frame 55, person 5 is located at coordinates [1430.52, 638.25] with a bounding box of width 67.46 and height 175.84.
 At frame 55, person 16 is located at coordinates [624.32, 690.82] with a bounding box of width 29.25 and height 71.35.
 At frame 55, person 18 is located at coordinates [647.11, 701.50] with a bounding box of width 27.24 and height 63.05.
 At frame 56, person 2 is located at coordinates [1539.83, 608.88] with a bounding box of width 76.11 and height 186.07.
 At frame 56, person 5 is located at coordinates [1440.66, 636.90] with a bounding box of width 66.37 and height 174.45.
 At frame 56, person 16 is located at coordinates [623.48, 689.88] with a bounding box of width 29.58 and height 72.48.
 At frame 56, person 18 is located at coordinates [646.52, 699.36] with a bounding box of width 28.16 and height 65.45.
 At frame 57, person 2 is located at coordinates [1552.13, 607.78] with a bounding box of width 77.11 and height 190.14.
 At frame 57, person 5 is located at coordinates [1448.03, 634.11] with a bounding box of width 69.95 and height 185.45.
 At frame 57, person 16 is located at coordinates [623.50, 688.96] with a bounding box of width 29.63 and height 72.90.
 At frame 57, person 18 is located at coordinates [646.47, 698.84] with a bounding box of width 28.14 and height 65.77.
 At frame 58, person 2 is located at coordinates [1564.17, 605.99] with a bounding box of width 78.27 and height 194.50.
 At frame 58, person 5 is located at coordinates [1457.31, 630.81] with a bounding box of width 71.64 and height 191.24.
 At frame 58, person 16 is located at coordinates [623.28, 688.34] with a bounding box of width 29.57 and height 73.04.
 

=====================================================

At frame 58, person 18 is located at coordinates [646.37, 697.76] with a bounding box of width 28.25 and height 66.45.
 At frame 58, person 19 is located at coordinates [227.64, 657.33] with a bounding box of width 43.87 and height 88.82.
 At frame 59, person 2 is located at coordinates [1575.78, 604.22] with a bounding box of width 80.14 and height 201.25.
 At frame 59, person 5 is located at coordinates [1468.43, 630.98] with a bounding box of width 69.28 and height 185.43.
 At frame 59, person 16 is located at coordinates [622.60, 688.12] with a bounding box of width 29.60 and height 73.65.
 At frame 59, person 18 is located at coordinates [645.94, 697.06] with a bounding box of width 28.49 and height 67.28.
 At frame 59, person 19 is located at coordinates [223.55, 655.59] with a bounding box of width 45.72 and height 92.81.
 At frame 60, person 2 is located at coordinates [1588.18, 601.03] with a bounding box of width 79.20 and height 200.36.
 At frame 60, person 5 is located at coordinates [1476.03, 626.17] with a bounding box of width 71.54 and height 192.84.
 At frame 60, person 16 is located at coordinates [621.92, 687.77] with a bounding box of width 29.89 and height 75.03.
 At frame 60, person 18 is located at coordinates [645.47, 698.54] with a bounding box of width 28.01 and height 66.42.
 At frame 60, person 19 is located at coordinates [219.32, 655.30] with a bounding box of width 45.24 and height 92.25.
 At frame 61, person 2 is located at coordinates [1600.90, 598.13] with a bounding box of width 78.31 and height 199.86.
 At frame 61, person 5 is located at coordinates [1486.82, 624.12] with a bounding box of width 69.89 and height 188.12.
 At frame 61, person 16 is located at coordinates [621.17, 689.10] with a bounding box of width 29.85 and height 75.54.
 At frame 61, person 18 is located at coordinates [644.39, 700.00] with a bounding box of width 27.85 and height 66.07.
 At frame 61, person 19 is located at coordinates [213.67, 655.92] with a bounding box of width 47.47 and height 97.18.
 At frame 62, person 2 is located at coordinates [1613.39, 595.94] with a bounding box of width 78.15 and height 201.31.
 At frame 62, person 5 is located at coordinates [1496.75, 624.27] with a bounding box of width 69.80 and height 188.42.
 At frame 62, person 16 is located at coordinates [621.07, 690.51] with a bounding box of width 29.50 and height 75.13.
 At frame 62, person 18 is located at coordinates [643.42, 699.38] with a bounding box of width 28.91 and height 68.86.
 At frame 62, person 19 is located at coordinates [209.23, 657.08] with a bounding box of width 48.93 and height 100.64.
 At frame 63, person 2 is located at coordinates [1625.31, 594.88] with a bounding box of width 80.35 and height 209.30.
 At frame 63, person 5 is located at coordinates [1507.32, 624.68] with a bounding box of width 68.34 and height 184.39.
 At frame 63, person 16 is located at coordinates [620.71, 691.06] with a bounding box of width 29.46 and height 75.54.
 At frame 63, person 18 is located at coordinates [642.41, 699.43] with a bounding box of width 29.46 and height 70.47.
 At frame 63, person 19 is located at coordinates [205.57, 656.30] with a bounding box of width 49.72 and height 103.02.
 At frame 64, person 2 is located at coordinates [1638.14, 594.82] with a bounding box of width 81.20 and height 212.85.
 At frame 64, person 5 is located at coordinates [1516.32, 624.02] with a bounding box of width 69.99 and height 189.21.
 At frame 64, person 16 is located at coordinates [620.99, 694.18] with a bounding box of width 28.64 and height 73.34.
 At frame 64, person 19 is located at coordinates [201.71, 656.60] with a bounding box of width 49.49 and height 103.21.
