At frame 0.0, person 1.0 is located at coordinates [605.72, 635.48] with a bounding box of width 36.41 and height 95.03.
 At frame 15.0, person 8.0 is located at coordinates [1096.22, 642.26] with a bounding box of width 15.24 and height 34.83.
 At frame 16.0, person 1.0 is located at coordinates [574.93, 640.50] with a bounding box of width 42.23 and height 114.72.
 At frame 16.0, person 5.0 is located at coordinates [1116.63, 644.18] with a bounding box of width 32.75 and height 80.42.
 At frame 16.0, person 6.0 is located at coordinates [1077.37, 645.27] with a bounding box of width 18.08 and height 41.60.
 At frame 16.0, person 7.0 is located at coordinates [614.61, 648.62] with a bounding box of width 24.45 and height 63.85.
 At frame 16.0, person 8.0 is located at coordinates [1098.54, 643.22] with a bounding box of width 13.91 and height 31.90.
 At frame 17.0, person 1.0 is located at coordinates [571.73, 638.20] with a bounding box of width 43.16 and height 117.96.
 At frame 17.0, person 5.0 is located at coordinates [1123.42, 644.42] with a bounding box of width 31.16 and height 76.34.
 At frame 17.0, person 6.0 is located at coordinates [1079.62, 645.76] with a bounding box of width 18.08 and height 41.66.
 At frame 17.0, person 7.0 is located at coordinates [615.03, 649.09] with a bounding box of width 24.21 and height 62.84.
 At frame 17.0, person 8.0 is located at coordinates [1100.26, 642.50] with a bounding box of width 14.11 and height 32.36.
 At frame 18.0, person 1.0 is located at coordinates [568.35, 638.18] with a bounding box of width 43.35 and height 119.15.
 At frame 18.0, person 5.0 is located at coordinates [1127.75, 644.20] with a bounding box of width 31.63 and height 77.31.
 At frame 18.0, person 6.0 is located at coordinates [1080.87, 644.43] with a bounding box of width 18.29 and height 42.29.
 At frame 18.0, person 7.0 is located at coordinates [614.33, 648.02] with a bounding box of width 24.67 and height 63.63.
 At frame 18.0, person 8.0 is located at coordinates [1103.55, 641.32] with a bounding box of width 14.95 and height 34.43.
 At frame 19.0, person 1.0 is located at coordinates [565.47, 637.30] with a bounding box of width 43.80 and height 120.72.
 At frame 19.0, person 5.0 is located at coordinates [1130.89, 642.68] with a bounding box of width 34.36 and height 83.92.
 At frame 19.0, person 6.0 is located at coordinates [1082.64, 641.56] with a bounding box of width 19.15 and height 44.29.
 At frame 19.0, person 7.0 is located at coordinates [613.71, 647.00] with a bounding box of width 25.00 and height 63.92.
 At frame 19.0, person 8.0 is located at coordinates [1105.75, 639.70] with a bounding box of width 15.43 and height 35.76.
 At frame 20.0, person 1.0 is located at coordinates [562.61, 634.65] with a bounding box of width 44.17 and height 122.43.
 At frame 20.0, person 5.0 is located at coordinates [1134.24, 638.75] with a bounding box of width 36.58 and height 89.77.
 At frame 20.0, person 6.0 is located at coordinates [1083.84, 639.61] with a bounding box of width 19.47 and height 45.04.
 At frame 20.0, person 7.0 is located at coordinates [612.81, 645.71] with a bounding box of width 24.14 and height 61.66.
 At frame 20.0, person 8.0 is located at coordinates [1107.66, 637.91] with a bounding box of width 15.66 and height 36.25.
 At frame 21.0, person 1.0 is located at coordinates [558.77, 630.17] with a bounding box of width 45.31 and height 126.50.
 At frame 21.0, person 5.0 is located at coordinates [1138.99, 638.55] with a bounding box of width 37.12 and height 90.93.
 At frame 21.0, person 6.0 is located at coordinates [1085.03, 638.27] with a bounding box of width 19.15 and height 44.15.
 At frame 21.0, person 7.0 is located at coordinates [611.97, 643.40] with a bounding box of width 24.24 and height 61.98.
 At frame 21.0, person 8.0 is located at coordinates [1108.88, 635.47] with a bounding box of width 15.76 and height 36.44.
 At frame 22.0, person 1.0 is located at coordinates [555.85, 629.61] with a bounding box of width 44.77 and height 125.72.
 At frame 22.0, person 5.0 is located at coordinates [1142.43, 636.78] with a bounding box of width 39.66 and height 97.48.
 At frame 22.0, person 6.0 is located at coordinates [1087.60, 637.17] with a bounding box of width 19.34 and height 44.97.
 At frame 22.0, person 7.0 is located at coordinates [610.78, 642.84] with a bounding box of width 23.70 and height 60.92.
 At frame 22.0, person 8.0 is located at coordinates [1109.02, 633.40] with a bounding box of width 16.26 and height 37.68.
 At frame 23.0, person 1.0 is located at coordinates [552.13, 625.94] with a bounding box of width 45.28 and height 128.24.
 At frame 23.0, person 5.0 is located at coordinates [1144.55, 631.64] with a bounding box of width 43.40 and height 107.21.
 At frame 23.0, person 6.0 is located at coordinates [1090.07, 635.32] with a bounding box of width 18.61 and height 42.94.
 At frame 23.0, person 7.0 is located at coordinates [609.36, 640.26] with a bounding box of width 23.71 and height 61.12.
 At frame 23.0, person 8.0 is located at coordinates [1110.02, 632.07] with a bounding box of width 15.61 and height 36.39.
 At frame 24.0, person 1.0 is located at coordinates [549.77, 622.84] with a bounding box of width 45.77 and height 130.30.
 At frame 24.0, person 5.0 is located at coordinates [1150.36, 630.14] with a bounding box of width 43.60 and height 107.75.
 At frame 24.0, person 6.0 is located at coordinates [1091.75, 632.25] with a bounding box of width 19.07 and height 43.93.
 At frame 24.0, person 7.0 is located at coordinates [608.25, 637.83] with a bounding box of width 23.76 and height 61.19.
 At frame 24.0, person 8.0 is located at coordinates [1113.84, 628.93] with a bounding box of width 15.45 and height 35.86.
 At frame 24.0, person 9.0 is located at coordinates [624.30, 637.43] with a bounding box of width 21.83 and height 55.07.
 At frame 25.0, person 1.0 is located at coordinates [546.69, 621.97] with a bounding box of width 45.29 and height 129.31.
 At frame 25.0, person 5.0 is located at coordinates [1152.86, 627.30] with a bounding box of width 47.64 and height 118.47.
 At frame 25.0, person 6.0 is located at coordinates [1092.79, 629.10] with a bounding box of width 19.46 and height 44.87.
 At frame 25.0, person 7.0 is located at coordinates [606.73, 635.47] with a bounding box of width 24.26 and height 62.40.
 At frame 25.0, person 8.0 is located at coordinates [1115.06, 626.93] with a bounding box of width 15.64 and height 36.25.
 At frame 25.0, person 9.0 is located at coordinates [624.18, 635.29] with a bounding box of width 21.80 and height 55.07.
 At frame 26.0, person 1.0 is located at coordinates [543.58, 621.39] with a bounding box of width 44.49 and height 127.70.
 At frame 26.0, person 5.0 is located at coordinates [1156.83, 625.39] with a bounding box of width 48.63 and height 121.50.
 At frame 26.0, person 6.0 is located at coordinates [1093.60, 625.91] with a bounding box of width 19.82 and height 45.80.
 At frame 26.0, person 7.0 is located at coordinates [606.12, 634.02] with a bounding box of width 24.00 and height 61.69.
 At frame 26.0, person 8.0 is located at coordinates [1115.96, 625.35] with a bounding box of width 15.88 and height 36.40.
 At frame 26.0, person 9.0 is located at coordinates [623.81, 633.16] with a bounding box of width 21.76 and height 55.07.
 At frame 26.0, person 10.0 is located at coordinates [1217.88, 617.54] with a bounding box of width 25.15 and height 59.33.
 At frame 27.0, person 1.0 is located at coordinates [539.64, 617.12] with a bounding box of width 46.38 and height 132.87.
 At frame 27.0, person 5.0 is located at coordinates [1159.96, 624.35] with a bounding box of width 50.17 and height 125.92.
 At frame 27.0, person 6.0 is located at coordinates [1095.62, 623.85] with a bounding box of width 19.88 and height 45.57.
 At frame 27.0, person 7.0 is located at coordinates [604.89, 631.44] with a bounding box of width 24.78 and height 63.77.
 At frame 27.0, person 8.0 is located at coordinates [1117.32, 623.34] with a bounding box of width 16.13 and height 37.04.
 At frame 27.0, person 9.0 is located at coordinates [623.57, 629.90] with a bounding box of width 21.99 and height 55.73.
 At frame 27.0, person 10.0 is located at coordinates [1217.88, 616.31] with a bounding box of width 30.06 and height 71.06.
 At frame 28.0, person 1.0 is located at coordinates [535.49, 614.41] with a bounding box of width 47.38 and height 135.93.
 At frame 28.0, person 5.0 is located at coordinates [1167.06, 622.57] with a bounding box of width 46.67 and height 116.38.
 At frame 28.0, person 6.0 is located at coordinates [1096.74, 623.12] with a bounding box of width 20.26 and height 46.64.
 At frame 28.0, person 7.0 is located at coordinates [603.89, 629.35] with a bounding box of width 25.05 and height 64.54.
 At frame 28.0, person 8.0 is located at coordinates [1119.54, 622.34] with a bounding box of width 16.21 and height 37.27.
 At frame 28.0, person 9.0 is located at coordinates [624.07, 629.21] with a bounding box of width 21.57 and height 54.67.
 At frame 28.0, person 10.0 is located at coordinates [1219.58, 614.63] with a bounding box of width 29.63 and height 70.17.
 At frame 29.0, person 1.0 is located at coordinates [532.11, 613.69] with a bounding box of width 47.46 and height 135.91.
 At frame 29.0, person 5.0 is located at coordinates [1170.73, 621.91] with a bounding box of width 46.63 and height 116.24.
 At frame 29.0, person 6.0 is located at coordinates [1097.52, 622.89] with a bounding box of width 20.73 and height 47.61.
 At frame 29.0, person 7.0 is located at coordinates [602.05, 626.55] with a bounding box of width 25.80 and height 66.58.
 At frame 29.0, person 8.0 is located at coordinates [1120.03, 621.43] with a bounding box of width 16.82 and height 38.52.
 At frame 29.0, person 9.0 is located at coordinates [623.92, 628.76] with a bounding box of width 21.47 and height 54.29.
 At frame 29.0, person 10.0 is located at coordinates [1221.67, 613.38] with a bounding box of width 30.21 and height 71.70.
 At frame 30.0, person 1.0 is located at coordinates [527.91, 611.45] with a bounding box of width 48.29 and height 138.15.
 At frame 30.0, person 5.0 is located at coordinates [1176.15, 621.11] with a bounding box of width 45.26 and height 112.67.
 At frame 30.0, person 6.0 is located at coordinates [1099.90, 623.13] with a bounding box of width 20.11 and height 46.24.
 At frame 30.0, person 7.0 is located at coordinates [601.10, 625.81] with a bounding box of width 26.05 and height 67.34.
 At frame 30.0, person 8.0 is located at coordinates [1121.13, 621.71] with a bounding box of width 16.28 and height 37.26.
 At frame 30.0, person 9.0 is located at coordinates [623.63, 628.37] with a bounding box of width 21.91 and height 55.40.
 At frame 30.0, person 10.0 is located at coordinates [1223.88, 613.31] with a bounding box of width 29.81 and height 70.83.
 At frame 31.0, person 1.0 is located at coordinates [523.12, 609.20] with a bounding box of width 49.39 and height 141.85.
 At frame 31.0, person 5.0 is located at coordinates [1181.47, 620.27] with a bounding box of width 47.25 and height 117.59.
 At frame 31.0, person 6.0 is located at coordinates [1101.86, 623.00] with a bounding box of width 18.81 and height 43.33.
 At frame 31.0, person 7.0 is located at coordinates [600.30, 625.87] with a bounding box of width 25.94 and height 67.04.
 At frame 31.0, person 8.0 is located at coordinates [1121.84, 620.42] with a bounding box of width 16.50 and height 37.92.
 At frame 31.0, person 9.0 is located at coordinates [623.63, 628.28] with a bounding box of width 21.86 and height 55.20.
 At frame 31.0, person 10.0 is located at coordinates [1223.00, 610.88] with a bounding box of width 34.09 and height 81.45.
 At frame 31.0, person 11.0 is located at coordinates [360.91, 619.22] with a bounding box of width 27.07 and height 64.30.
 At frame 31.0, person 12.0 is located at coordinates [409.28, 629.08] with a bounding box of width 28.74 and height 67.86.
 At frame 32.0, person 1.0 is located at coordinates [519.16, 607.52] with a bounding box of width 50.21 and height 144.37.
 At frame 32.0, person 5.0 is located at coordinates [1185.67, 618.83] with a bounding box of width 49.13 and height 122.24.
 At frame 32.0, person 6.0 is located at coordinates [1103.61, 622.41] with a bounding box of width 18.51 and height 42.82.
 At frame 32.0, person 7.0 is located at coordinates [598.86, 625.65] with a bounding box of width 25.88 and height 66.90.
 At frame 32.0, person 8.0 is located at coordinates [1122.37, 619.10] with a bounding box of width 17.15 and height 39.33.
 At frame 32.0, person 9.0 is located at coordinates [624.04, 628.61] with a bounding box of width 21.64 and height 54.51.
 At frame 32.0, person 10.0 is located at coordinates [1224.03, 609.45] with a bounding box of width 37.49 and height 90.31.
 At frame 32.0, person 11.0 is located at coordinates [358.37, 619.43] with a bounding box of width 26.94 and height 64.03.
 At frame 32.0, person 12.0 is located at coordinates [406.51, 630.94] with a bounding box of width 28.08 and height 66.20.
 At frame 33.0, person 1.0 is located at coordinates [514.85, 607.79] with a bounding box of width 49.95 and height 144.13.
 At frame 33.0, person 5.0 is located at coordinates [1189.81, 617.44] with a bounding box of width 50.26 and height 125.69.
 At frame 33.0, person 6.0 is located at coordinates [1104.61, 622.22] with a bounding box of width 18.76 and height 43.23.
 At frame 33.0, person 7.0 is located at coordinates [597.92, 625.32] with a bounding box of width 26.13 and height 67.42.
 At frame 33.0, person 8.0 is located at coordinates [1122.99, 618.63] with a bounding box of width 17.63 and height 40.43.
 At frame 33.0, person 9.0 is located at coordinates [624.37, 628.48] with a bounding box of width 21.80 and height 54.86.
 At frame 33.0, person 10.0 is located at coordinates [1226.66, 610.87] with a bounding box of width 34.34 and height 82.59.
 At frame 33.0, person 11.0 is located at coordinates [354.78, 618.12] with a bounding box of width 27.16 and height 64.63.
 At frame 33.0, person 12.0 is located at coordinates [404.35, 631.20] with a bounding box of width 27.92 and height 65.66.
 At frame 34.0, person 1.0 is located at coordinates [511.28, 607.97] with a bounding box of width 50.43 and height 145.70.
 At frame 34.0, person 5.0 is located at coordinates [1194.60, 617.51] with a bounding box of width 49.77 and height 125.24.
 At frame 34.0, person 6.0 is located at coordinates [1105.79, 622.18] with a bounding box of width 19.50 and height 44.57.
 At frame 34.0, person 7.0 is located at coordinates [597.48, 625.23] with a bounding box of width 25.89 and height 67.02.
 At frame 34.0, person 8.0 is located at coordinates [1124.12, 617.63] with a bounding box of width 18.23 and height 42.00.
 At frame 34.0, person 9.0 is located at coordinates [624.22, 628.76] with a bounding box of width 21.81 and height 54.99.
 At frame 34.0, person 10.0 is located at coordinates [1229.47, 612.79] with a bounding box of width 31.66 and height 76.41.
 At frame 34.0, person 11.0 is located at coordinates [352.63, 617.70] with a bounding box of width 27.77 and height 66.14.
 At frame 34.0, person 12.0 is located at coordinates [401.73, 633.58] with a bounding box of width 27.95 and height 65.54.
 At frame 35.0, person 1.0 is located at coordinates [506.91, 608.66] with a bounding box of width 51.06 and height 147.98.
 At frame 35.0, person 5.0 is located at coordinates [1198.99, 618.16] with a bounding box of width 52.24 and height 131.86.
 At frame 35.0, person 6.0 is located at coordinates [1107.19, 622.49] with a bounding box of width 20.07 and height 45.65.
 At frame 35.0, person 7.0 is located at coordinates [596.84, 625.24] with a bounding box of width 26.21 and height 68.02.
 At frame 35.0, person 8.0 is located at coordinates [1126.17, 617.00] with a bounding box of width 18.59 and height 42.59.
 At frame 35.0, person 9.0 is located at coordinates [623.79, 629.19] with a bounding box of width 22.55 and height 56.82.
 At frame 35.0, person 10.0 is located at coordinates [1231.49, 616.27] with a bounding box of width 29.74 and height 72.16.
 At frame 35.0, person 11.0 is located at coordinates [350.45, 619.17] with a bounding box of width 27.91 and height 66.64.
 At frame 35.0, person 12.0 is located at coordinates [398.29, 633.02] with a bounding box of width 29.44 and height 68.78.
 At frame 36.0, person 1.0 is located at coordinates [503.20, 609.25] with a bounding box of width 51.55 and height 149.38.
 At frame 36.0, person 5.0 is located at coordinates [1203.75, 619.27] with a bounding box of width 51.36 and height 129.79.
 At frame 36.0, person 6.0 is located at coordinates [1108.23, 622.92] with a bounding box of width 20.35 and height 46.06.
 At frame 36.0, person 7.0 is located at coordinates [595.59, 624.69] with a bounding box of width 26.68 and height 69.55.
 At frame 36.0, person 8.0 is located at coordinates [1128.07, 618.52] with a bounding box of width 17.57 and height 40.50.
 At frame 36.0, person 9.0 is located at coordinates [623.73, 629.36] with a bounding box of width 22.63 and height 56.91.
 At frame 36.0, person 10.0 is located at coordinates [1232.54, 615.73] with a bounding box of width 33.10 and height 80.82.
 At frame 36.0, person 11.0 is located at coordinates [347.95, 619.71] with a bounding box of width 28.22 and height 67.40.
 At frame 36.0, person 12.0 is located at coordinates [394.56, 629.41] with a bounding box of width 31.83 and height 74.18.
 At frame 37.0, person 1.0 is located at coordinates [497.97, 609.52] with a bounding box of width 52.06 and height 151.59.
 At frame 37.0, person 5.0 is located at coordinates [1208.84, 618.03] with a bounding box of width 53.42 and height 135.18.
 At frame 37.0, person 6.0 is located at coordinates [1108.79, 622.53] with a bounding box of width 21.16 and height 47.96.
 At frame 37.0, person 7.0 is located at coordinates [595.11, 625.95] with a bounding box of width 26.33 and height 68.96.
 At frame 37.0, person 8.0 is located at coordinates [1129.06, 618.88] with a bounding box of width 17.72 and height 40.83.
 At frame 37.0, person 9.0 is located at coordinates [623.60, 629.75] with a bounding box of width 22.89 and height 57.53.
 At frame 37.0, person 10.0 is located at coordinates [1236.09, 615.27] with a bounding box of width 31.36 and height 76.48.
 At frame 37.0, person 11.0 is located at coordinates [346.41, 624.46] with a bounding box of width 27.07 and height 64.62.
 At frame 37.0, person 12.0 is located at coordinates [392.90, 633.99] with a bounding box of width 30.49 and height 70.82.
 At frame 38.0, person 1.0 is located at coordinates [492.64, 610.53] with a bounding box of width 52.78 and height 154.11.
 At frame 38.0, person 5.0 is located at coordinates [1213.92, 620.42] with a bounding box of width 49.96 and height 125.20.
 At frame 38.0, person 6.0 is located at coordinates [1109.55, 622.97] with a bounding box of width 21.46 and height 48.67.
 At frame 38.0, person 7.0 is located at coordinates [593.33, 626.77] with a bounding box of width 27.13 and height 71.05.
 At frame 38.0, person 8.0 is located at coordinates [1129.97, 619.91] with a bounding box of width 17.77 and height 40.94.
 At frame 38.0, person 9.0 is located at coordinates [623.01, 630.20] with a bounding box of width 23.47 and height 58.92.
 At frame 38.0, person 10.0 is located at coordinates [1238.87, 616.27] with a bounding box of width 28.93 and height 70.32.
 At frame 38.0, person 11.0 is located at coordinates [342.62, 627.14] with a bounding box of width 26.57 and height 63.54.
 At frame 38.0, person 12.0 is located at coordinates [390.41, 637.64] with a bounding box of width 30.03 and height 69.36.
 At frame 38.0, person 13.0 is located at coordinates [1187.53, 620.91] with a bounding box of width 22.25 and height 50.98.
 At frame 39.0, person 1.0 is located at coordinates [487.95, 612.38] with a bounding box of width 53.38 and height 155.60.
 At frame 39.0, person 5.0 is located at coordinates [1218.79, 620.55] with a bounding box of width 50.55 and height 126.89.
 At frame 39.0, person 6.0 is located at coordinates [1109.47, 622.58] with a bounding box of width 22.20 and height 50.67.
 At frame 39.0, person 7.0 is located at coordinates [592.68, 627.66] with a bounding box of width 27.43 and height 71.83.
 At frame 39.0, person 8.0 is located at coordinates [1130.27, 621.20] with a bounding box of width 17.79 and height 40.98.
 At frame 39.0, person 9.0 is located at coordinates [623.88, 632.99] with a bounding box of width 22.66 and height 57.12.
 At frame 39.0, person 10.0 is located at coordinates [1243.65, 618.48] with a bounding box of width 26.40 and height 64.26.
 At frame 39.0, person 11.0 is located at coordinates [338.93, 626.54] with a bounding box of width 27.90 and height 66.81.
 At frame 39.0, person 12.0 is located at coordinates [387.31, 640.44] with a bounding box of width 30.52 and height 70.02.
 At frame 39.0, person 13.0 is located at coordinates [1188.63, 621.18] with a bounding box of width 23.30 and height 53.41.
 At frame 40.0, person 1.0 is located at coordinates [484.04, 614.28] with a bounding box of width 53.46 and height 156.11.
 At frame 40.0, person 5.0 is located at coordinates [1220.79, 619.44] with a bounding box of width 54.78 and height 137.96.
 At frame 40.0, person 6.0 is located at coordinates [1110.12, 623.02] with a bounding box of width 22.20 and height 50.85.
 At frame 40.0, person 7.0 is located at coordinates [591.97, 629.18] with a bounding box of width 27.37 and height 72.10.
 At frame 40.0, person 8.0 is located at coordinates [1131.00, 622.01] with a bounding box of width 17.62 and height 40.98.
 At frame 40.0, person 9.0 is located at coordinates [623.97, 634.98] with a bounding box of width 22.25 and height 55.80.
 At frame 40.0, person 10.0 is located at coordinates [1244.18, 615.56] with a bounding box of width 28.90 and height 70.71.
 At frame 40.0, person 11.0 is located at coordinates [335.71, 626.30] with a bounding box of width 28.75 and height 69.15.
 At frame 40.0, person 12.0 is located at coordinates [384.04, 641.42] with a bounding box of width 30.98 and height 70.84.
 At frame 40.0, person 13.0 is located at coordinates [1190.21, 621.61] with a bounding box of width 23.94 and height 54.93.
 At frame 41.0, person 1.0 is located at coordinates [479.18, 615.60] with a bounding box of width 53.51 and height 156.24.
 At frame 41.0, person 5.0 is located at coordinates [1222.91, 617.90] with a bounding box of width 60.30 and height 153.93.
 At frame 41.0, person 6.0 is located at coordinates [1110.84, 624.08] with a bounding box of width 22.31 and height 50.89.
 At frame 41.0, person 7.0 is located at coordinates [591.45, 630.65] with a bounding box of width 27.34 and height 72.19.
 At frame 41.0, person 8.0 is located at coordinates [1131.78, 623.49] with a bounding box of width 17.64 and height 40.97.
 At frame 41.0, person 9.0 is located at coordinates [623.18, 636.30] with a bounding box of width 22.57 and height 56.49.
 At frame 41.0, person 11.0 is located at coordinates [331.82, 624.71] with a bounding box of width 29.64 and height 71.78.
 At frame 41.0, person 12.0 is located at coordinates [381.15, 641.15] with a bounding box of width 31.73 and height 72.31.
 At frame 41.0, person 13.0 is located at coordinates [1191.35, 622.07] with a bounding box of width 24.16 and height 55.37.
 At frame 42.0, person 1.0 is located at coordinates [473.90, 616.98] with a bounding box of width 53.68 and height 157.39.
 At frame 42.0, person 5.0 is located at coordinates [1226.34, 617.03] with a bounding box of width 61.57 and height 157.97.
 At frame 42.0, person 6.0 is located at coordinates [1111.63, 625.36] with a bounding box of width 22.40 and height 50.89.
 At frame 42.0, person 7.0 is located at coordinates [590.91, 632.67] with a bounding box of width 27.48 and height 72.78.
 At frame 42.0, person 8.0 is located at coordinates [1132.69, 624.36] with a bounding box of width 17.48 and height 40.96.
 At frame 42.0, person 9.0 is located at coordinates [622.88, 637.08] with a bounding box of width 22.70 and height 56.75.
 At frame 42.0, person 11.0 is located at coordinates [329.40, 626.39] with a bounding box of width 29.10 and height 71.03.
