At frame 0.0, person 1.0 is located at coordinates [1238.68, 371.25] with a bounding box of width 21.32 and height 53.88.
 At frame 20.0, person 5.0 is located at coordinates [1248.06, 364.01] with a bounding box of width 20.22 and height 49.31.
 At frame 20.0, person 6.0 is located at coordinates [1185.35, 367.13] with a bounding box of width 16.76 and height 41.42.
 At frame 21.0, person 3.0 is located at coordinates [1081.55, 368.96] with a bounding box of width 14.12 and height 33.43.
 At frame 21.0, person 4.0 is located at coordinates [1199.52, 367.21] with a bounding box of width 17.23 and height 40.61.
 At frame 21.0, person 5.0 is located at coordinates [1254.36, 364.12] with a bounding box of width 20.18 and height 49.38.
 At frame 21.0, person 6.0 is located at coordinates [1192.25, 367.31] with a bounding box of width 16.74 and height 41.37.
 At frame 22.0, person 3.0 is located at coordinates [1084.10, 369.46] with a bounding box of width 14.05 and height 33.22.
 At frame 22.0, person 4.0 is located at coordinates [1205.21, 368.25] with a bounding box of width 16.50 and height 38.75.
 At frame 22.0, person 5.0 is located at coordinates [1258.98, 364.19] with a bounding box of width 20.11 and height 49.37.
 At frame 22.0, person 6.0 is located at coordinates [1195.92, 367.63] with a bounding box of width 15.96 and height 39.64.
 At frame 23.0, person 3.0 is located at coordinates [1086.14, 369.45] with a bounding box of width 14.04 and height 33.15.
 At frame 23.0, person 4.0 is located at coordinates [1210.08, 367.85] with a bounding box of width 16.69 and height 39.27.
 At frame 23.0, person 5.0 is located at coordinates [1262.21, 364.64] with a bounding box of width 19.88 and height 48.94.
 At frame 24.0, person 3.0 is located at coordinates [1088.04, 368.27] with a bounding box of width 14.73 and height 34.70.
 At frame 24.0, person 4.0 is located at coordinates [1214.15, 368.50] with a bounding box of width 16.60 and height 39.07.
 At frame 24.0, person 5.0 is located at coordinates [1265.59, 364.03] with a bounding box of width 19.89 and height 49.57.
 At frame 25.0, person 3.0 is located at coordinates [1090.23, 368.22] with a bounding box of width 15.00 and height 35.27.
 At frame 25.0, person 4.0 is located at coordinates [1220.00, 368.15] with a bounding box of width 17.00 and height 40.19.
 At frame 25.0, person 5.0 is located at coordinates [1269.01, 371.92] with a bounding box of width 16.86 and height 42.27.
 At frame 26.0, person 3.0 is located at coordinates [1091.81, 363.18] with a bounding box of width 17.32 and height 40.91.
 At frame 26.0, person 4.0 is located at coordinates [1224.99, 368.22] with a bounding box of width 17.48 and height 41.00.
 At frame 27.0, person 3.0 is located at coordinates [1092.33, 362.05] with a bounding box of width 17.62 and height 41.89.
 At frame 27.0, person 4.0 is located at coordinates [1227.95, 367.08] with a bounding box of width 18.30 and height 42.86.
 At frame 28.0, person 3.0 is located at coordinates [1097.09, 365.39] with a bounding box of width 15.94 and height 37.73.
 At frame 28.0, person 4.0 is located at coordinates [1233.25, 366.46] with a bounding box of width 19.18 and height 45.10.
 At frame 29.0, person 3.0 is located at coordinates [1099.45, 365.63] with a bounding box of width 15.66 and height 36.75.
 At frame 29.0, person 4.0 is located at coordinates [1239.52, 365.85] with a bounding box of width 18.43 and height 43.68.
 At frame 30.0, person 3.0 is located at coordinates [1100.37, 362.96] with a bounding box of width 16.88 and height 39.55.
 At frame 30.0, person 4.0 is located at coordinates [1243.95, 365.03] with a bounding box of width 18.41 and height 43.47.
 At frame 31.0, person 3.0 is located at coordinates [1104.13, 363.52] with a bounding box of width 16.54 and height 38.66.
 At frame 31.0, person 4.0 is located at coordinates [1250.53, 363.95] with a bounding box of width 19.14 and height 45.33.
 At frame 31.0, person 6.0 is located at coordinates [1236.07, 364.09] with a bounding box of width 19.48 and height 47.77.
 At frame 32.0, person 3.0 is located at coordinates [1105.81, 361.63] with a bounding box of width 17.35 and height 40.22.
 At frame 32.0, person 4.0 is located at coordinates [1255.06, 362.41] with a bounding box of width 19.65 and height 46.79.
 At frame 32.0, person 6.0 is located at coordinates [1242.19, 363.19] with a bounding box of width 19.70 and height 48.55.
 At frame 33.0, person 3.0 is located at coordinates [1108.53, 360.56] with a bounding box of width 17.21 and height 40.03.
 At frame 33.0, person 4.0 is located at coordinates [1260.98, 362.97] with a bounding box of width 18.84 and height 44.66.
 At frame 33.0, person 6.0 is located at coordinates [1246.22, 362.67] with a bounding box of width 19.21 and height 47.30.
 At frame 34.0, person 3.0 is located at coordinates [1109.79, 358.23] with a bounding box of width 18.09 and height 42.26.
 At frame 34.0, person 4.0 is located at coordinates [1264.27, 361.65] with a bounding box of width 19.17 and height 46.15.
 At frame 34.0, person 6.0 is located at coordinates [1251.52, 361.71] with a bounding box of width 18.89 and height 46.38.
 At frame 35.0, person 6.0 is located at coordinates [1259.58, 361.95] with a bounding box of width 18.78 and height 46.02.
 At frame 64.0, person 7.0 is located at coordinates [905.33, 373.68] with a bounding box of width 15.39 and height 36.71.
 At frame 65.0, person 7.0 is located at coordinates [906.70, 373.86] with a bounding box of width 15.39 and height 36.71.
 At frame 66.0, person 7.0 is located at coordinates [907.62, 374.61] with a bounding box of width 15.39 and height 36.71.
 At frame 67.0, person 7.0 is located at coordinates [908.40, 375.29] with a bounding box of width 15.22 and height 36.27.
 At frame 68.0, person 7.0 is located at coordinates [908.41, 375.05] with a bounding box of width 15.56 and height 36.98.
 At frame 68.0, person 8.0 is located at coordinates [1129.58, 365.92] with a bounding box of width 23.29 and height 44.64.
 At frame 69.0, person 7.0 is located at coordinates [909.42, 375.58] with a bounding box of width 15.26 and height 36.40.
 At frame 69.0, person 8.0 is located at coordinates [1134.10, 367.69] with a bounding box of width 22.76 and height 43.58.
 At frame 69.0, person 9.0 is located at coordinates [1195.77, 363.97] with a bounding box of width 21.28 and height 48.91.
 At frame 70.0, person 7.0 is located at coordinates [908.56, 374.52] with a bounding box of width 15.89 and height 37.84.
 At frame 70.0, person 8.0 is located at coordinates [1137.23, 364.42] with a bounding box of width 24.15 and height 46.42.
 At frame 70.0, person 9.0 is located at coordinates [1195.87, 363.18] with a bounding box of width 21.55 and height 49.55.
 At frame 71.0, person 8.0 is located at coordinates [1140.32, 358.67] with a bounding box of width 27.07 and height 52.45.
 At frame 71.0, person 9.0 is located at coordinates [1199.58, 363.16] with a bounding box of width 21.64 and height 49.76.
 At frame 72.0, person 8.0 is located at coordinates [1146.27, 360.23] with a bounding box of width 26.18 and height 50.99.
 At frame 72.0, person 9.0 is located at coordinates [1202.81, 362.06] with a bounding box of width 22.40 and height 51.58.
 At frame 73.0, person 8.0 is located at coordinates [1148.38, 359.64] with a bounding box of width 26.66 and height 52.22.
 At frame 73.0, person 9.0 is located at coordinates [1204.13, 361.72] with a bounding box of width 22.85 and height 52.59.
 At frame 74.0, person 8.0 is located at coordinates [1155.75, 354.30] with a bounding box of width 29.26 and height 57.39.
 At frame 74.0, person 9.0 is located at coordinates [1209.43, 361.62] with a bounding box of width 22.57 and height 52.09.
 At frame 75.0, person 8.0 is located at coordinates [1158.79, 361.10] with a bounding box of width 25.71 and height 50.15.
 At frame 75.0, person 9.0 is located at coordinates [1209.44, 361.61] with a bounding box of width 22.45 and height 51.86.
 At frame 76.0, person 8.0 is located at coordinates [1164.59, 365.03] with a bounding box of width 24.05 and height 46.83.
 At frame 76.0, person 9.0 is located at coordinates [1214.40, 362.02] with a bounding box of width 22.34 and height 51.76.
 At frame 77.0, person 8.0 is located at coordinates [1166.79, 365.20] with a bounding box of width 24.42 and height 47.69.
 At frame 77.0, person 9.0 is located at coordinates [1216.07, 361.99] with a bounding box of width 22.41 and height 52.10.
 At frame 78.0, person 8.0 is located at coordinates [1172.68, 367.64] with a bounding box of width 23.70 and height 46.00.
 At frame 78.0, person 9.0 is located at coordinates [1221.30, 362.18] with a bounding box of width 22.53 and height 52.61.
 At frame 79.0, person 8.0 is located at coordinates [1174.91, 367.16] with a bounding box of width 24.59 and height 48.16.
 At frame 79.0, person 9.0 is located at coordinates [1223.90, 362.07] with a bounding box of width 22.66 and height 53.18.
 At frame 80.0, person 8.0 is located at coordinates [1179.49, 367.57] with a bounding box of width 24.25 and height 47.76.
 At frame 80.0, person 9.0 is located at coordinates [1227.94, 362.03] with a bounding box of width 22.63 and height 53.38.
 At frame 81.0, person 8.0 is located at coordinates [1184.57, 369.69] with a bounding box of width 22.60 and height 44.82.
 At frame 81.0, person 9.0 is located at coordinates [1230.67, 361.62] with a bounding box of width 23.14 and height 55.01.
 At frame 82.0, person 8.0 is located at coordinates [1188.27, 369.68] with a bounding box of width 22.80 and height 45.30.
 At frame 82.0, person 9.0 is located at coordinates [1233.50, 362.45] with a bounding box of width 22.64 and height 54.06.
 At frame 83.0, person 8.0 is located at coordinates [1192.00, 370.26] with a bounding box of width 23.40 and height 46.27.
 At frame 83.0, person 9.0 is located at coordinates [1235.97, 363.16] with a bounding box of width 22.53 and height 54.06.
 At frame 84.0, person 8.0 is located at coordinates [1197.19, 369.88] with a bounding box of width 23.98 and height 47.41.
 At frame 84.0, person 9.0 is located at coordinates [1240.41, 364.22] with a bounding box of width 21.51 and height 52.09.
 At frame 85.0, person 8.0 is located at coordinates [1202.32, 370.11] with a bounding box of width 23.81 and height 47.45.
 At frame 85.0, person 9.0 is located at coordinates [1244.26, 365.01] with a bounding box of width 21.29 and height 52.12.
 At frame 86.0, person 8.0 is located at coordinates [1208.81, 369.40] with a bounding box of width 24.10 and height 48.63.
 At frame 86.0, person 9.0 is located at coordinates [1250.07, 364.71] with a bounding box of width 21.64 and height 53.70.
 At frame 87.0, person 8.0 is located at coordinates [1212.73, 368.74] with a bounding box of width 24.09 and height 48.68.
 At frame 87.0, person 9.0 is located at coordinates [1253.01, 364.01] with a bounding box of width 21.60 and height 54.29.
 At frame 88.0, person 8.0 is located at coordinates [1219.60, 368.87] with a bounding box of width 23.90 and height 48.30.
 At frame 88.0, person 9.0 is located at coordinates [1257.01, 363.15] with a bounding box of width 21.79 and height 54.89.
 At frame 89.0, person 8.0 is located at coordinates [1223.68, 369.30] with a bounding box of width 23.65 and height 47.75.
 At frame 89.0, person 9.0 is located at coordinates [1259.27, 363.02] with a bounding box of width 21.70 and height 54.72.
 At frame 90.0, person 8.0 is located at coordinates [1229.54, 369.46] with a bounding box of width 23.95 and height 47.93.
 At frame 90.0, person 9.0 is located at coordinates [1264.02, 363.55] with a bounding box of width 21.42 and height 54.65.
 At frame 91.0, person 8.0 is located at coordinates [1236.21, 370.10] with a bounding box of width 24.18 and height 47.99.
 At frame 92.0, person 8.0 is located at coordinates [1241.57, 371.51] with a bounding box of width 22.91 and height 45.67.
 At frame 93.0, person 8.0 is located at coordinates [1244.08, 371.24] with a bounding box of width 22.54 and height 45.17.
 At frame 94.0, person 8.0 is located at coordinates [1250.50, 371.33] with a bounding box of width 22.17 and height 44.60.
 At frame 95.0, person 8.0 is located at coordinates [1253.76, 369.57] with a bounding box of width 23.07 and height 46.37.
 At frame 96.0, person 8.0 is located at coordinates [1258.92, 369.51] with a bounding box of width 23.02 and height 46.64.
 At frame 161.0, person 10.0 is located at coordinates [833.12, 363.85] with a bounding box of width 19.12 and height 50.80.
 At frame 162.0, person 10.0 is located at coordinates [833.55, 363.17] with a bounding box of width 18.99 and height 50.44.
 At frame 163.0, person 10.0 is located at coordinates [836.01, 362.24] with a bounding box of width 18.94 and height 50.32.
 At frame 164.0, person 10.0 is located at coordinates [837.49, 362.87] with a bounding box of width 19.25 and height 51.18.
 At frame 165.0, person 10.0 is located at coordinates [839.03, 363.09] with a bounding box of width 19.69 and height 52.32.
 At frame 166.0, person 10.0 is located at coordinates [840.06, 363.80] with a bounding box of width 19.56 and height 51.88.
 At frame 167.0, person 10.0 is located at coordinates [840.79, 364.06] with a bounding box of width 19.47 and height 51.70.
 At frame 168.0, person 10.0 is located at coordinates [841.95, 363.95] with a bounding box of width 19.96 and height 53.24.
 At frame 169.0, person 10.0 is located at coordinates [843.77, 364.89] with a bounding box of width 20.43 and height 54.59.
 At frame 170.0, person 10.0 is located at coordinates [847.17, 365.05] with a bounding box of width 20.58 and height 55.08.
 At frame 171.0, person 10.0 is located at coordinates [848.60, 364.71] with a bounding box of width 20.26 and height 54.46.
 At frame 178.0, person 11.0 is located at coordinates [970.84, 372.37] with a bounding box of width 15.58 and height 38.96.
 At frame 179.0, person 11.0 is located at coordinates [973.47, 372.19] with a bounding box of width 15.97 and height 39.96.
 At frame 180.0, person 11.0 is located at coordinates [977.70, 373.49] with a bounding box of width 15.77 and height 39.39.
 At frame 181.0, person 11.0 is located at coordinates [981.72, 374.59] with a bounding box of width 16.44 and height 40.95.
 At frame 182.0, person 11.0 is located at coordinates [985.55, 374.93] with a bounding box of width 16.48 and height 41.03.
 At frame 183.0, person 11.0 is located at coordinates [988.93, 375.01] with a bounding box of width 17.10 and height 42.69.
 At frame 184.0, person 11.0 is located at coordinates [993.54, 375.82] with a bounding box of width 16.70 and height 41.66.
 At frame 185.0, person 11.0 is located at coordinates [998.14, 376.10] with a bounding box of width 16.91 and height 42.04.
 At frame 186.0, person 11.0 is located at coordinates [1001.95, 375.79] with a bounding box of width 17.25 and height 42.56.
 At frame 187.0, person 11.0 is located at coordinates [1007.83, 378.61] with a bounding box of width 16.04 and height 39.59.
 At frame 188.0, person 11.0 is located at coordinates [1009.86, 370.93] with a bounding box of width 17.98 and height 44.10.
 At frame 189.0, person 11.0 is located at coordinates [1012.13, 367.56] with a bounding box of width 19.39 and height 47.55.
 At frame 189.0, person 12.0 is located at coordinates [1086.73, 367.76] with a bounding box of width 18.03 and height 46.18.
 At frame 190.0, person 11.0 is located at coordinates [1018.33, 371.51] with a bounding box of width 18.91 and height 46.25.
 At frame 190.0, person 12.0 is located at coordinates [1091.58, 368.87] with a bounding box of width 19.84 and height 50.82.
 At frame 191.0, person 11.0 is located at coordinates [1023.22, 373.97] with a bounding box of width 18.20 and height 44.49.
 At frame 191.0, person 12.0 is located at coordinates [1097.59, 369.23] with a bounding box of width 21.29 and height 54.55.
 At frame 192.0, person 11.0 is located at coordinates [1027.46, 376.10] with a bounding box of width 17.54 and height 43.00.
 At frame 192.0, person 12.0 is located at coordinates [1103.12, 369.96] with a bounding box of width 21.38 and height 54.88.
 At frame 193.0, person 11.0 is located at coordinates [1030.68, 376.70] with a bounding box of width 17.64 and height 43.22.
 At frame 193.0, person 12.0 is located at coordinates [1107.38, 370.40] with a bounding box of width 21.37 and height 54.80.
 At frame 193.0, person 13.0 is located at coordinates [1052.71, 384.16] with a bounding box of width 14.79 and height 35.29.
 At frame 194.0, person 11.0 is located at coordinates [1034.81, 377.30] with a bounding box of width 17.82 and height 43.69.
 At frame 194.0, person 12.0 is located at coordinates [1112.33, 371.15] with a bounding box of width 21.42 and height 55.07.
 At frame 194.0, person 13.0 is located at coordinates [1056.18, 385.41] with a bounding box of width 14.88 and height 35.47.
 At frame 195.0, person 11.0 is located at coordinates [1038.63, 376.93] with a bounding box of width 18.53 and height 45.42.
 At frame 195.0, person 12.0 is located at coordinates [1117.48, 372.40] with a bounding box of width 21.58 and height 55.50.
 At frame 195.0, person 13.0 is located at coordinates [1060.99, 386.97] with a bounding box of width 14.92 and height 35.53.
 At frame 196.0, person 11.0 is located at coordinates [1041.31, 377.75] with a bounding box of width 18.43 and height 45.29.
 At frame 196.0, person 12.0 is located at coordinates [1121.66, 373.04] with a bounding box of width 21.47 and height 55.21.
 At frame 196.0, person 13.0 is located at coordinates [1065.34, 391.20] with a bounding box of width 13.48 and height 31.99.
 At frame 197.0, person 11.0 is located at coordinates [1044.77, 377.86] with a bounding box of width 18.62 and height 46.00.
 At frame 197.0, person 12.0 is located at coordinates [1126.32, 372.06] with a bounding box of width 21.97 and height 56.63.
 At frame 197.0, person 13.0 is located at coordinates [1069.05, 391.13] with a bounding box of width 14.23 and height 33.54.
 At frame 198.0, person 11.0 is located at coordinates [1050.44, 378.86] with a bounding box of width 19.02 and height 47.03.
 At frame 198.0, person 12.0 is located at coordinates [1132.41, 373.04] with a bounding box of width 22.51 and height 58.30.
 At frame 198.0, person 13.0 is located at coordinates [1074.00, 392.77] with a bounding box of width 14.24 and height 33.58.
 At frame 199.0, person 11.0 is located at coordinates [1053.01, 378.46] with a bounding box of width 19.66 and height 48.57.
 At frame 199.0, person 12.0 is located at coordinates [1137.25, 375.15] with a bounding box of width 22.02 and height 57.34.
 At frame 199.0, person 13.0 is located at coordinates [1077.38, 392.25] with a bounding box of width 14.80 and height 34.86.
 At frame 200.0, person 11.0 is located at coordinates [1055.78, 378.11] with a bounding box of width 19.92 and height 49.14.
 At frame 200.0, person 12.0 is located at coordinates [1142.42, 375.15] with a bounding box of width 22.59 and height 58.88.
 At frame 200.0, person 13.0 is located at coordinates [1081.54, 392.82] with a bounding box of width 15.25 and height 35.72.
 At frame 201.0, person 11.0 is located at coordinates [1060.49, 378.73] with a bounding box of width 19.37 and height 47.81.
 At frame 201.0, person 12.0 is located at coordinates [1149.00, 376.49] with a bounding box of width 22.52 and height 58.65.
 At frame 201.0, person 13.0 is located at coordinates [1086.99, 393.38] with a bounding box of width 15.23 and height 35.64.
 At frame 202.0, person 11.0 is located at coordinates [1063.91, 379.15] with a bounding box of width 19.53 and height 48.04.
 At frame 202.0, person 12.0 is located at coordinates [1153.73, 377.96] with a bounding box of width 22.36 and height 58.13.
 At frame 203.0, person 11.0 is located at coordinates [1067.96, 379.50] with a bounding box of width 20.03 and height 49.28.
 At frame 203.0, person 12.0 is located at coordinates [1160.39, 379.07] with a bounding box of width 22.34 and height 58.29.
 At frame 204.0, person 11.0 is located at coordinates [1073.76, 381.16] with a bounding box of width 19.94 and height 48.97.
 At frame 204.0, person 12.0 is located at coordinates [1166.27, 377.32] with a bounding box of width 23.02 and height 60.27.
 At frame 205.0, person 11.0 is located at coordinates [1078.15, 380.44] with a bounding box of width 19.94 and height 49.21.
 At frame 205.0, person 12.0 is located at coordinates [1171.96, 376.26] with a bounding box of width 22.98 and height 60.23.
 At frame 206.0, person 11.0 is located at coordinates [1082.30, 381.70] with a bounding box of width 20.13 and height 49.68.
 At frame 206.0, person 12.0 is located at coordinates [1177.83, 376.21] with a bounding box of width 22.16 and height 57.86.
 At frame 207.0, person 11.0 is located at coordinates [1085.35, 381.39] with a bounding box of width 20.84 and height 51.40.
 At frame 207.0, person 12.0 is located at coordinates [1184.15, 375.18] with a bounding box of width 23.43 and height 61.25.
 At frame 208.0, person 11.0 is located at coordinates [1089.84, 380.12] with a bounding box of width 21.12 and height 52.04.
 At frame 208.0, person 12.0 is located at coordinates [1190.42, 374.23] with a bounding box of width 24.25 and height 63.62.
 At frame 209.0, person 11.0 is located at coordinates [1093.42, 380.38] with a bounding box of width 21.10 and height 51.88.
 At frame 209.0, person 12.0 is located at coordinates [1195.84, 373.66] with a bounding box of width 23.21 and height 60.70.
 At frame 210.0, person 11.0 is located at coordinates [1097.59, 377.56] with a bounding box of width 22.15 and height 54.51.
 At frame 210.0, person 12.0 is located at coordinates [1201.87, 374.02] with a bounding box of width 23.38 and height 61.05.
 At frame 210.0, person 13.0 is located at coordinates [1126.99, 395.47] with a bounding box of width 15.89 and height 37.82.
 At frame 211.0, person 11.0 is located at coordinates [1102.58, 374.22] with a bounding box of width 23.18 and height 57.02.
 At frame 211.0, person 12.0 is located at coordinates [1208.83, 374.54] with a bounding box of width 23.40 and height 61.17.
 At frame 212.0, person 11.0 is located at coordinates [1107.04, 373.67] with a bounding box of width 24.37 and height 60.25.
 At frame 212.0, person 12.0 is located at coordinates [1215.01, 375.91] with a bounding box of width 23.31 and height 60.81.
 At frame 213.0, person 11.0 is located at coordinates [1111.29, 375.17] with a bounding box of width 24.11 and height 59.61.
 At frame 213.0, person 12.0 is located at coordinates [1220.72, 376.62] with a bounding box of width 23.91 and height 61.83.
 At frame 214.0, person 11.0 is located at coordinates [1115.68, 377.52] with a bounding box of width 23.58 and height 58.14.
 At frame 214.0, person 12.0 is located at coordinates [1227.65, 376.88] with a bounding box of width 23.51 and height 60.65.
 At frame 215.0, person 11.0 is located at coordinates [1119.90, 377.67] with a bounding box of width 24.18 and height 59.47.
 At frame 215.0, person 12.0 is located at coordinates [1233.89, 375.99] with a bounding box of width 23.50 and height 60.56.
 At frame 215.0, person 13.0 is located at coordinates [1150.30, 399.27] with a bounding box of width 15.47 and height 37.36.
 At frame 216.0, person 11.0 is located at coordinates [1125.86, 380.79] with a bounding box of width 23.12 and height 56.50.
 At frame 216.0, person 12.0 is located at coordinates [1240.53, 376.23] with a bounding box of width 25.43 and height 65.61.
 At frame 216.0, person 13.0 is located at coordinates [1155.67, 398.52] with a bounding box of width 15.84 and height 38.54.
 At frame 217.0, person 11.0 is located at coordinates [1130.81, 381.44] with a bounding box of width 23.29 and height 56.47.
 At frame 217.0, person 12.0 is located at coordinates [1246.54, 375.94] with a bounding box of width 26.49 and height 68.60.
 At frame 217.0, person 13.0 is located at coordinates [1160.89, 398.48] with a bounding box of width 16.19 and height 39.30.
 At frame 218.0, person 11.0 is located at coordinates [1134.87, 380.30] with a bounding box of width 24.10 and height 58.01.
 At frame 218.0, person 12.0 is located at coordinates [1254.14, 376.39] with a bounding box of width 25.13 and height 65.21.
 At frame 218.0, person 13.0 is located at coordinates [1165.35, 397.87] with a bounding box of width 16.47 and height 39.98.
 At frame 219.0, person 11.0 is located at coordinates [1138.93, 380.25] with a bounding box of width 24.49 and height 58.57.
 At frame 219.0, person 12.0 is located at coordinates [1262.03, 375.78] with a bounding box of width 23.52 and height 61.42.
 At frame 219.0, person 13.0 is located at coordinates [1169.79, 397.81] with a bounding box of width 16.97 and height 41.01.
 At frame 220.0, person 11.0 is located at coordinates [1147.51, 381.77] with a bounding box of width 24.20 and height 57.61.
 At frame 220.0, person 13.0 is located at coordinates [1175.68, 398.93] with a bounding box of width 16.94 and height 40.62.
 At frame 221.0, person 11.0 is located at coordinates [1154.28, 380.39] with a bounding box of width 25.37 and height 60.35.
