At frame 0.0, person 1.0 is located at coordinates [775.07, 343.72] with a bounding box of width 14.21 and height 33.75.
 At frame 14.0, person 2.0 is located at coordinates [913.78, 339.13] with a bounding box of width 20.90 and height 51.07.
 At frame 14.0, person 5.0 is located at coordinates [934.24, 335.86] with a bounding box of width 19.51 and height 50.52.
 At frame 14.0, person 3.0 is located at coordinates [1083.20, 331.06] with a bounding box of width 30.05 and height 76.79.
 At frame 14.0, person 36.0 is located at coordinates [882.24, 342.71] with a bounding box of width 15.38 and height 36.71.
 At frame 15.0, person 2.0 is located at coordinates [922.03, 338.03] with a bounding box of width 21.00 and height 51.52.
 At frame 15.0, person 5.0 is located at coordinates [940.60, 334.18] with a bounding box of width 19.93 and height 51.30.
 At frame 15.0, person 3.0 is located at coordinates [1092.27, 329.34] with a bounding box of width 31.07 and height 79.57.
 At frame 15.0, person 36.0 is located at coordinates [876.80, 340.98] with a bounding box of width 18.97 and height 45.38.
 At frame 16.0, person 2.0 is located at coordinates [929.50, 338.80] with a bounding box of width 21.09 and height 51.67.
 At frame 16.0, person 5.0 is located at coordinates [945.49, 334.35] with a bounding box of width 20.78 and height 53.13.
 At frame 16.0, person 3.0 is located at coordinates [1099.21, 328.70] with a bounding box of width 29.40 and height 75.61.
 At frame 16.0, person 36.0 is located at coordinates [877.55, 342.21] with a bounding box of width 19.81 and height 47.59.
 At frame 16.0, person 39.0 is located at coordinates [893.37, 341.35] with a bounding box of width 14.21 and height 36.12.
 At frame 17.0, person 2.0 is located at coordinates [936.65, 339.12] with a bounding box of width 21.24 and height 51.71.
 At frame 17.0, person 5.0 is located at coordinates [951.75, 335.01] with a bounding box of width 21.07 and height 53.82.
 At frame 17.0, person 3.0 is located at coordinates [1106.66, 328.08] with a bounding box of width 28.66 and height 73.96.
 At frame 17.0, person 36.0 is located at coordinates [882.82, 342.82] with a bounding box of width 19.77 and height 47.63.
 At frame 17.0, person 39.0 is located at coordinates [898.13, 341.58] with a bounding box of width 14.91 and height 37.94.
 At frame 17.0, person 40.0 is located at coordinates [1134.55, 335.37] with a bounding box of width 26.85 and height 64.18.
 At frame 18.0, person 2.0 is located at coordinates [944.07, 339.46] with a bounding box of width 21.39 and height 52.10.
 At frame 18.0, person 5.0 is located at coordinates [958.88, 334.71] with a bounding box of width 21.19 and height 54.06.
 At frame 18.0, person 3.0 is located at coordinates [1114.70, 326.89] with a bounding box of width 28.32 and height 73.33.
 At frame 18.0, person 36.0 is located at coordinates [889.70, 342.64] with a bounding box of width 19.93 and height 48.23.
 At frame 18.0, person 39.0 is located at coordinates [904.51, 341.21] with a bounding box of width 15.47 and height 39.46.
 At frame 18.0, person 40.0 is located at coordinates [1141.81, 336.56] with a bounding box of width 27.18 and height 64.92.
 At frame 19.0, person 2.0 is located at coordinates [950.69, 339.22] with a bounding box of width 21.82 and height 53.01.
 At frame 19.0, person 5.0 is located at coordinates [963.54, 334.42] with a bounding box of width 21.47 and height 54.52.
 At frame 19.0, person 3.0 is located at coordinates [1119.89, 328.03] with a bounding box of width 28.78 and height 74.66.
 At frame 19.0, person 36.0 is located at coordinates [895.64, 342.57] with a bounding box of width 19.51 and height 47.52.
 At frame 19.0, person 39.0 is located at coordinates [908.78, 341.29] with a bounding box of width 16.28 and height 41.64.
 At frame 19.0, person 40.0 is located at coordinates [1149.20, 338.56] with a bounding box of width 27.43 and height 65.62.
 At frame 19.0, person 42.0 is located at coordinates [936.69, 338.74] with a bounding box of width 18.76 and height 49.26.
 At frame 19.0, person 1.0 is located at coordinates [771.95, 344.01] with a bounding box of width 16.89 and height 40.25.
 At frame 20.0, person 2.0 is located at coordinates [956.57, 338.17] with a bounding box of width 22.45 and height 54.89.
 At frame 20.0, person 5.0 is located at coordinates [968.90, 334.72] with a bounding box of width 21.63 and height 54.68.
 At frame 20.0, person 3.0 is located at coordinates [1127.06, 328.67] with a bounding box of width 27.39 and height 70.86.
 At frame 20.0, person 36.0 is located at coordinates [901.27, 343.75] with a bounding box of width 18.75 and height 45.94.
 At frame 20.0, person 39.0 is located at coordinates [913.08, 341.53] with a bounding box of width 16.36 and height 41.94.
 At frame 20.0, person 40.0 is located at coordinates [1156.73, 338.94] with a bounding box of width 27.28 and height 65.38.
 At frame 20.0, person 42.0 is located at coordinates [941.20, 338.01] with a bounding box of width 19.07 and height 50.09.
 At frame 20.0, person 1.0 is located at coordinates [774.17, 346.14] with a bounding box of width 15.48 and height 36.52.
 At frame 21.0, person 2.0 is located at coordinates [961.96, 338.16] with a bounding box of width 22.09 and height 54.45.
 At frame 21.0, person 5.0 is located at coordinates [973.87, 334.85] with a bounding box of width 21.51 and height 54.72.
 At frame 21.0, person 3.0 is located at coordinates [1132.11, 335.13] with a bounding box of width 27.01 and height 69.77.
 At frame 21.0, person 36.0 is located at coordinates [906.50, 343.99] with a bounding box of width 18.37 and height 45.25.
 At frame 21.0, person 39.0 is located at coordinates [917.34, 340.80] with a bounding box of width 17.07 and height 44.00.
 At frame 21.0, person 40.0 is located at coordinates [1161.70, 340.50] with a bounding box of width 28.58 and height 68.70.
 At frame 21.0, person 42.0 is located at coordinates [946.45, 337.54] with a bounding box of width 19.00 and height 49.90.
 At frame 21.0, person 1.0 is located at coordinates [776.86, 342.36] with a bounding box of width 16.90 and height 40.26.
 At frame 22.0, person 2.0 is located at coordinates [967.76, 335.85] with a bounding box of width 22.36 and height 55.41.
 At frame 22.0, person 5.0 is located at coordinates [980.60, 333.94] with a bounding box of width 21.37 and height 54.32.
 At frame 22.0, person 3.0 is located at coordinates [1138.49, 337.48] with a bounding box of width 24.45 and height 63.03.
 At frame 22.0, person 36.0 is located at coordinates [910.66, 342.07] with a bounding box of width 17.48 and height 43.36.
 At frame 22.0, person 39.0 is located at coordinates [920.82, 339.36] with a bounding box of width 17.17 and height 44.72.
 At frame 22.0, person 40.0 is located at coordinates [1168.85, 335.51] with a bounding box of width 26.73 and height 64.52.
 At frame 22.0, person 42.0 is located at coordinates [950.98, 335.41] with a bounding box of width 19.17 and height 50.26.
 At frame 22.0, person 1.0 is located at coordinates [779.35, 340.12] with a bounding box of width 17.28 and height 41.92.
 At frame 23.0, person 2.0 is located at coordinates [973.19, 334.79] with a bounding box of width 22.51 and height 55.76.
 At frame 23.0, person 5.0 is located at coordinates [985.49, 332.44] with a bounding box of width 21.58 and height 54.94.
 At frame 23.0, person 3.0 is located at coordinates [1145.10, 331.55] with a bounding box of width 25.61 and height 65.42.
 At frame 23.0, person 36.0 is located at coordinates [915.88, 339.93] with a bounding box of width 18.32 and height 45.83.
 At frame 23.0, person 39.0 is located at coordinates [923.19, 338.02] with a bounding box of width 18.66 and height 48.86.
 At frame 23.0, person 40.0 is located at coordinates [1175.50, 333.95] with a bounding box of width 23.87 and height 57.85.
 At frame 23.0, person 42.0 is located at coordinates [955.28, 334.74] with a bounding box of width 19.25 and height 50.37.
 At frame 23.0, person 1.0 is located at coordinates [782.17, 339.23] with a bounding box of width 17.55 and height 42.95.
 At frame 23.0, person 43.0 is located at coordinates [1100.85, 334.66] with a bounding box of width 22.25 and height 55.66.
 At frame 24.0, person 2.0 is located at coordinates [978.99, 332.48] with a bounding box of width 23.09 and height 57.42.
 At frame 24.0, person 5.0 is located at coordinates [990.08, 332.67] with a bounding box of width 21.15 and height 54.38.
 At frame 24.0, person 3.0 is located at coordinates [1150.27, 327.58] with a bounding box of width 27.97 and height 71.35.
 At frame 24.0, person 36.0 is located at coordinates [919.63, 339.56] with a bounding box of width 17.86 and height 45.15.
 At frame 24.0, person 39.0 is located at coordinates [927.12, 336.57] with a bounding box of width 19.06 and height 50.39.
 At frame 24.0, person 40.0 is located at coordinates [1181.99, 331.70] with a bounding box of width 24.81 and height 60.20.
 At frame 24.0, person 42.0 is located at coordinates [959.51, 333.72] with a bounding box of width 19.25 and height 50.40.
 At frame 24.0, person 1.0 is located at coordinates [785.27, 338.51] with a bounding box of width 17.45 and height 42.95.
 At frame 24.0, person 43.0 is located at coordinates [1102.57, 332.77] with a bounding box of width 22.41 and height 56.11.
 At frame 24.0, person 44.0 is located at coordinates [1119.42, 335.31] with a bounding box of width 20.87 and height 54.00.
 At frame 25.0, person 2.0 is located at coordinates [983.71, 330.85] with a bounding box of width 23.26 and height 58.04.
 At frame 25.0, person 5.0 is located at coordinates [994.68, 331.80] with a bounding box of width 20.98 and height 54.15.
 At frame 25.0, person 3.0 is located at coordinates [1155.14, 324.97] with a bounding box of width 29.59 and height 75.08.
 At frame 25.0, person 39.0 is located at coordinates [931.09, 336.01] with a bounding box of width 19.43 and height 51.69.
 At frame 25.0, person 40.0 is located at coordinates [1186.91, 329.98] with a bounding box of width 24.26 and height 58.94.
 At frame 25.0, person 42.0 is located at coordinates [964.01, 332.37] with a bounding box of width 19.45 and height 50.81.
 At frame 25.0, person 1.0 is located at coordinates [788.60, 340.18] with a bounding box of width 16.19 and height 39.84.
 At frame 25.0, person 43.0 is located at coordinates [1108.56, 332.80] with a bounding box of width 21.70 and height 54.44.
 At frame 25.0, person 44.0 is located at coordinates [1125.39, 334.72] with a bounding box of width 20.48 and height 53.01.
 At frame 26.0, person 2.0 is located at coordinates [989.78, 330.63] with a bounding box of width 23.54 and height 59.02.
 At frame 26.0, person 5.0 is located at coordinates [1001.47, 331.49] with a bounding box of width 20.50 and height 53.27.
 At frame 26.0, person 3.0 is located at coordinates [1160.09, 322.06] with a bounding box of width 32.06 and height 80.73.
 At frame 26.0, person 39.0 is located at coordinates [935.10, 336.00] with a bounding box of width 19.69 and height 52.53.
 At frame 26.0, person 40.0 is located at coordinates [1193.29, 329.17] with a bounding box of width 28.07 and height 68.26.
 At frame 26.0, person 42.0 is located at coordinates [968.07, 331.32] with a bounding box of width 19.96 and height 52.16.
 At frame 26.0, person 1.0 is located at coordinates [791.64, 340.67] with a bounding box of width 16.09 and height 39.78.
 At frame 26.0, person 44.0 is located at coordinates [1132.72, 334.06] with a bounding box of width 20.89 and height 54.05.
 At frame 27.0, person 2.0 is located at coordinates [995.45, 329.81] with a bounding box of width 23.45 and height 58.99.
 At frame 27.0, person 5.0 is located at coordinates [1002.14, 331.78] with a bounding box of width 21.25 and height 55.29.
 At frame 27.0, person 3.0 is located at coordinates [1166.30, 319.44] with a bounding box of width 33.15 and height 82.92.
 At frame 27.0, person 39.0 is located at coordinates [940.44, 335.26] with a bounding box of width 19.62 and height 52.41.
 At frame 27.0, person 42.0 is located at coordinates [972.87, 330.97] with a bounding box of width 20.36 and height 53.04.
 At frame 27.0, person 1.0 is located at coordinates [795.20, 340.07] with a bounding box of width 16.53 and height 40.93.
 At frame 27.0, person 44.0 is located at coordinates [1141.13, 333.65] with a bounding box of width 20.76 and height 53.52.
 At frame 28.0, person 2.0 is located at coordinates [999.52, 328.55] with a bounding box of width 23.75 and height 60.12.
 At frame 28.0, person 5.0 is located at coordinates [1008.88, 331.71] with a bounding box of width 21.39 and height 56.03.
 At frame 28.0, person 3.0 is located at coordinates [1173.60, 319.77] with a bounding box of width 32.55 and height 80.70.
 At frame 28.0, person 39.0 is located at coordinates [945.99, 335.18] with a bounding box of width 20.02 and height 53.45.
 At frame 28.0, person 42.0 is located at coordinates [977.64, 331.07] with a bounding box of width 20.55 and height 53.36.
 At frame 28.0, person 1.0 is located at coordinates [799.14, 340.24] with a bounding box of width 16.04 and height 40.20.
 At frame 28.0, person 44.0 is located at coordinates [1148.91, 333.11] with a bounding box of width 21.39 and height 55.05.
 At frame 29.0, person 2.0 is located at coordinates [1004.57, 329.83] with a bounding box of width 21.87 and height 55.52.
 At frame 29.0, person 5.0 is located at coordinates [1013.84, 331.89] with a bounding box of width 22.48 and height 59.01.
 At frame 29.0, person 3.0 is located at coordinates [1179.54, 320.35] with a bounding box of width 33.67 and height 83.25.
 At frame 29.0, person 39.0 is located at coordinates [952.44, 335.74] with a bounding box of width 19.70 and height 52.67.
 At frame 29.0, person 42.0 is located at coordinates [982.52, 331.94] with a bounding box of width 20.38 and height 52.68.
 At frame 29.0, person 44.0 is located at coordinates [1156.83, 334.17] with a bounding box of width 20.54 and height 52.69.
 At frame 29.0, person 47.0 is located at coordinates [1136.13, 330.39] with a bounding box of width 22.26 and height 55.07.
 At frame 30.0, person 2.0 is located at coordinates [1008.47, 330.40] with a bounding box of width 22.00 and height 56.05.
 At frame 30.0, person 5.0 is located at coordinates [1018.59, 332.16] with a bounding box of width 22.98 and height 60.51.
 At frame 30.0, person 3.0 is located at coordinates [1186.12, 320.58] with a bounding box of width 33.16 and height 81.50.
 At frame 30.0, person 39.0 is located at coordinates [956.51, 335.21] with a bounding box of width 20.74 and height 55.39.
 At frame 30.0, person 42.0 is located at coordinates [986.92, 332.69] with a bounding box of width 20.36 and height 52.40.
 At frame 30.0, person 44.0 is located at coordinates [1164.35, 335.22] with a bounding box of width 20.93 and height 53.46.
 At frame 30.0, person 47.0 is located at coordinates [1142.96, 334.22] with a bounding box of width 21.56 and height 53.27.
 At frame 31.0, person 2.0 is located at coordinates [1013.69, 331.40] with a bounding box of width 21.23 and height 54.29.
 At frame 31.0, person 5.0 is located at coordinates [1024.01, 334.38] with a bounding box of width 22.52 and height 59.16.
 At frame 31.0, person 3.0 is located at coordinates [1192.53, 325.00] with a bounding box of width 30.48 and height 74.54.
 At frame 31.0, person 39.0 is located at coordinates [962.37, 336.15] with a bounding box of width 20.67 and height 55.26.
 At frame 31.0, person 42.0 is located at coordinates [991.86, 333.79] with a bounding box of width 20.51 and height 52.28.
 At frame 31.0, person 44.0 is located at coordinates [1171.41, 335.18] with a bounding box of width 21.49 and height 54.54.
 At frame 31.0, person 47.0 is located at coordinates [1150.08, 333.68] with a bounding box of width 22.03 and height 54.51.
 At frame 32.0, person 2.0 is located at coordinates [1017.84, 332.40] with a bounding box of width 20.76 and height 53.21.
 At frame 32.0, person 5.0 is located at coordinates [1029.32, 335.26] with a bounding box of width 23.18 and height 60.15.
 At frame 32.0, person 3.0 is located at coordinates [1198.67, 326.96] with a bounding box of width 31.72 and height 77.82.
 At frame 32.0, person 39.0 is located at coordinates [968.01, 335.78] with a bounding box of width 19.75 and height 52.84.
 At frame 32.0, person 42.0 is located at coordinates [995.70, 333.82] with a bounding box of width 20.96 and height 53.41.
 At frame 32.0, person 44.0 is located at coordinates [1179.65, 336.76] with a bounding box of width 21.00 and height 52.95.
 At frame 32.0, person 47.0 is located at coordinates [1157.11, 334.32] with a bounding box of width 22.71 and height 56.24.
 At frame 32.0, person 48.0 is located at coordinates [873.41, 343.95] with a bounding box of width 16.00 and height 39.43.
 At frame 33.0, person 2.0 is located at coordinates [1022.53, 332.78] with a bounding box of width 20.96 and height 54.00.
 At frame 33.0, person 5.0 is located at coordinates [1035.78, 336.75] with a bounding box of width 23.46 and height 60.13.
 At frame 33.0, person 3.0 is located at coordinates [1206.11, 329.38] with a bounding box of width 31.58 and height 77.80.
 At frame 33.0, person 39.0 is located at coordinates [973.99, 335.85] with a bounding box of width 19.98 and height 53.40.
 At frame 33.0, person 42.0 is located at coordinates [999.99, 334.03] with a bounding box of width 21.38 and height 54.21.
 At frame 33.0, person 44.0 is located at coordinates [1187.36, 337.35] with a bounding box of width 21.32 and height 53.55.
 At frame 33.0, person 47.0 is located at coordinates [1165.15, 337.01] with a bounding box of width 22.08 and height 54.71.
 At frame 33.0, person 48.0 is located at coordinates [876.05, 343.54] with a bounding box of width 16.63 and height 41.00.
 At frame 33.0, person 49.0 is located at coordinates [1081.09, 334.66] with a bounding box of width 19.13 and height 52.58.
 At frame 33.0, person 52.0 is located at coordinates [1057.82, 336.73] with a bounding box of width 16.42 and height 46.89.
 At frame 33.0, person 43.0 is located at coordinates [1127.66, 333.24] with a bounding box of width 20.81 and height 52.72.
 At frame 34.0, person 2.0 is located at coordinates [1027.29, 333.51] with a bounding box of width 21.71 and height 55.47.
 At frame 34.0, person 5.0 is located at coordinates [1042.11, 337.32] with a bounding box of width 23.96 and height 60.87.
 At frame 34.0, person 3.0 is located at coordinates [1214.19, 336.76] with a bounding box of width 29.52 and height 72.70.
 At frame 34.0, person 39.0 is located at coordinates [980.47, 336.65] with a bounding box of width 19.82 and height 52.81.
 At frame 34.0, person 42.0 is located at coordinates [1004.92, 334.90] with a bounding box of width 21.61 and height 54.89.
 At frame 34.0, person 44.0 is located at coordinates [1195.27, 338.55] with a bounding box of width 21.44 and height 53.77.
 At frame 34.0, person 47.0 is located at coordinates [1171.30, 337.72] with a bounding box of width 22.14 and height 54.97.
 At frame 34.0, person 48.0 is located at coordinates [880.64, 345.22] with a bounding box of width 15.74 and height 38.80.
 At frame 34.0, person 49.0 is located at coordinates [1086.26, 335.25] with a bounding box of width 18.81 and height 51.76.
 At frame 34.0, person 52.0 is located at coordinates [1063.95, 339.61] with a bounding box of width 14.78 and height 42.22.
 At frame 34.0, person 43.0 is located at coordinates [1132.93, 333.08] with a bounding box of width 23.36 and height 59.38.
 At frame 35.0, person 2.0 is located at coordinates [1031.50, 333.60] with a bounding box of width 22.23 and height 56.80.
 At frame 35.0, person 5.0 is located at coordinates [1049.22, 339.85] with a bounding box of width 23.65 and height 59.97.
 At frame 35.0, person 3.0 is located at coordinates [1221.91, 339.60] with a bounding box of width 29.92 and height 73.52.
 At frame 35.0, person 39.0 is located at coordinates [987.33, 338.14] with a bounding box of width 19.18 and height 51.38.
 At frame 35.0, person 42.0 is located at coordinates [1009.31, 335.62] with a bounding box of width 21.78 and height 55.14.
 At frame 35.0, person 44.0 is located at coordinates [1201.59, 339.97] with a bounding box of width 21.69 and height 54.25.
 At frame 35.0, person 47.0 is located at coordinates [1177.98, 338.73] with a bounding box of width 22.42 and height 55.88.
 At frame 35.0, person 48.0 is located at coordinates [884.19, 345.10] with a bounding box of width 14.71 and height 36.19.
 At frame 35.0, person 49.0 is located at coordinates [1093.29, 336.84] with a bounding box of width 17.39 and height 47.77.
 At frame 35.0, person 43.0 is located at coordinates [1139.66, 334.92] with a bounding box of width 20.21 and height 51.55.
 At frame 35.0, person 54.0 is located at coordinates [1106.85, 338.74] with a bounding box of width 18.53 and height 49.03.
 At frame 36.0, person 2.0 is located at coordinates [1035.68, 333.63] with a bounding box of width 22.30 and height 56.92.
 At frame 36.0, person 5.0 is located at coordinates [1056.19, 340.03] with a bounding box of width 23.12 and height 58.04.
 At frame 36.0, person 3.0 is located at coordinates [1232.89, 341.77] with a bounding box of width 29.05 and height 71.45.
 At frame 36.0, person 39.0 is located at coordinates [994.43, 340.69] with a bounding box of width 17.38 and height 46.87.
 At frame 36.0, person 42.0 is located at coordinates [1014.10, 337.07] with a bounding box of width 21.51 and height 54.44.
 At frame 36.0, person 44.0 is located at coordinates [1207.47, 342.84] with a bounding box of width 20.89 and height 52.46.
 At frame 36.0, person 47.0 is located at coordinates [1185.95, 339.86] with a bounding box of width 22.18 and height 55.40.
 At frame 36.0, person 48.0 is located at coordinates [887.45, 345.93] with a bounding box of width 14.22 and height 34.97.
 At frame 36.0, person 49.0 is located at coordinates [1098.33, 338.46] with a bounding box of width 18.16 and height 49.85.
 At frame 36.0, person 54.0 is located at coordinates [1112.39, 339.63] with a bounding box of width 19.63 and height 51.93.
 At frame 36.0, person 52.0 is located at coordinates [1074.60, 339.71] with a bounding box of width 15.59 and height 44.58.
 At frame 37.0, person 2.0 is located at coordinates [1040.45, 333.84] with a bounding box of width 22.58 and height 57.34.
 At frame 37.0, person 5.0 is located at coordinates [1061.66, 339.29] with a bounding box of width 24.63 and height 61.63.
 At frame 37.0, person 3.0 is located at coordinates [1238.81, 338.75] with a bounding box of width 30.89 and height 76.24.
 At frame 37.0, person 39.0 is located at coordinates [999.09, 340.84] with a bounding box of width 17.77 and height 47.97.
 At frame 37.0, person 42.0 is located at coordinates [1018.68, 337.22] with a bounding box of width 21.77 and height 54.94.
 At frame 37.0, person 44.0 is located at coordinates [1215.85, 344.30] with a bounding box of width 20.68 and height 51.77.
 At frame 37.0, person 47.0 is located at coordinates [1194.56, 341.03] with a bounding box of width 22.22 and height 55.21.
 At frame 37.0, person 48.0 is located at coordinates [890.94, 346.17] with a bounding box of width 14.09 and height 34.64.
 At frame 37.0, person 49.0 is located at coordinates [1104.75, 338.28] with a bounding box of width 17.76 and height 48.76.
 At frame 37.0, person 54.0 is located at coordinates [1118.40, 340.37] with a bounding box of width 20.51 and height 54.21.
 At frame 37.0, person 52.0 is located at coordinates [1076.96, 339.34] with a bounding box of width 17.58 and height 50.33.
 At frame 37.0, person 43.0 is located at coordinates [1152.88, 335.34] with a bounding box of width 22.04 and height 56.21.
 At frame 38.0, person 2.0 is located at coordinates [1044.30, 333.72] with a bounding box of width 22.89 and height 58.27.
 At frame 38.0, person 5.0 is located at coordinates [1069.18, 339.01] with a bounding box of width 24.71 and height 61.78.
 At frame 38.0, person 3.0 is located at coordinates [1247.79, 340.92] with a bounding box of width 30.02 and height 73.74.
 At frame 38.0, person 39.0 is located at coordinates [1002.57, 342.07] with a bounding box of width 18.00 and height 48.35.
 At frame 38.0, person 42.0 is located at coordinates [1022.76, 336.89] with a bounding box of width 22.30 and height 56.29.
 At frame 38.0, person 44.0 is located at coordinates [1222.71, 345.80] with a bounding box of width 20.45 and height 51.53.
 At frame 38.0, person 47.0 is located at coordinates [1200.71, 343.40] with a bounding box of width 21.32 and height 53.14.
 At frame 38.0, person 48.0 is located at coordinates [893.80, 346.02] with a bounding box of width 13.75 and height 33.73.
 At frame 38.0, person 49.0 is located at coordinates [1109.60, 338.14] with a bounding box of width 18.62 and height 50.96.
