At frame 0, person 1 is located at coordinates [887.57, 345.79] with a bounding box of width 37.89 and height 95.33.
 At frame 8, person 3 is located at coordinates [1238.39, 330.32] with a bounding box of width 56.82 and height 159.75.
 At frame 9, person 1 is located at coordinates [893.47, 345.99] with a bounding box of width 38.05 and height 94.97.
 At frame 9, person 2 is located at coordinates [699.05, 324.68] with a bounding box of width 48.57 and height 120.43.
 At frame 9, person 3 is located at coordinates [1238.42, 329.81] with a bounding box of width 56.52 and height 159.81.
 At frame 10, person 1 is located at coordinates [893.91, 345.65] with a bounding box of width 38.27 and height 95.61.
 At frame 10, person 2 is located at coordinates [698.37, 324.52] with a bounding box of width 48.61 and height 121.05.
 At frame 10, person 3 is located at coordinates [1239.44, 327.56] with a bounding box of width 55.81 and height 159.72.
 At frame 11, person 1 is located at coordinates [894.03, 344.73] with a bounding box of width 39.16 and height 98.22.
 At frame 11, person 2 is located at coordinates [697.67, 323.88] with a bounding box of width 48.83 and height 122.47.
 At frame 11, person 3 is located at coordinates [1238.51, 325.42] with a bounding box of width 56.52 and height 163.53.
 At frame 12, person 1 is located at coordinates [894.11, 344.39] with a bounding box of width 39.40 and height 99.18.
 At frame 12, person 2 is located at coordinates [697.55, 323.83] with a bounding box of width 48.70 and height 123.00.
 At frame 12, person 3 is located at coordinates [1236.29, 325.07] with a bounding box of width 55.82 and height 162.96.
 At frame 13, person 1 is located at coordinates [894.16, 344.08] with a bounding box of width 39.40 and height 99.54.
 At frame 13, person 2 is located at coordinates [696.68, 323.04] with a bounding box of width 48.83 and height 123.98.
 At frame 13, person 3 is located at coordinates [1236.95, 328.73] with a bounding box of width 53.98 and height 159.14.
 At frame 14, person 1 is located at coordinates [894.20, 343.96] with a bounding box of width 39.32 and height 99.65.
 At frame 14, person 2 is located at coordinates [696.07, 322.74] with a bounding box of width 48.73 and height 124.34.
 At frame 14, person 3 is located at coordinates [1234.77, 325.29] with a bounding box of width 54.95 and height 164.31.
 At frame 15, person 1 is located at coordinates [894.63, 344.13] with a bounding box of width 39.21 and height 99.68.
 At frame 15, person 2 is located at coordinates [695.95, 322.83] with a bounding box of width 48.55 and height 124.46.
 At frame 15, person 3 is located at coordinates [1232.10, 324.05] with a bounding box of width 54.39 and height 163.87.
 At frame 16, person 1 is located at coordinates [894.81, 344.00] with a bounding box of width 39.10 and height 99.67.
 At frame 16, person 2 is located at coordinates [695.80, 322.88] with a bounding box of width 47.99 and height 123.71.
 

=====================================================

At frame 16, person 3 is located at coordinates [1227.29, 323.25] with a bounding box of width 52.35 and height 157.39.
 At frame 17, person 1 is located at coordinates [895.16, 343.56] with a bounding box of width 39.23 and height 100.04.
 At frame 17, person 2 is located at coordinates [695.39, 322.31] with a bounding box of width 47.75 and height 123.80.
 At frame 17, person 3 is located at coordinates [1224.36, 323.22] with a bounding box of width 49.00 and height 145.72.
 At frame 17, person 4 is located at coordinates [1239.75, 341.88] with a bounding box of width 54.71 and height 145.89.
 At frame 18, person 1 is located at coordinates [895.80, 343.60] with a bounding box of width 39.02 and height 99.78.
 At frame 18, person 2 is located at coordinates [694.30, 322.69] with a bounding box of width 47.25 and height 123.05.
 At frame 18, person 3 is located at coordinates [1217.69, 324.70] with a bounding box of width 47.63 and height 139.30.
 At frame 18, person 4 is located at coordinates [1237.29, 343.08] with a bounding box of width 54.09 and height 144.32.
 At frame 19, person 1 is located at coordinates [896.06, 343.62] with a bounding box of width 38.89 and height 99.67.
 At frame 19, person 2 is located at coordinates [693.36, 322.65] with a bounding box of width 46.60 and height 122.36.
 At frame 19, person 3 is located at coordinates [1211.55, 325.07] with a bounding box of width 48.33 and height 136.66.
 At frame 19, person 4 is located at coordinates [1235.13, 341.14] with a bounding box of width 54.76 and height 146.15.
 At frame 20, person 1 is located at coordinates [896.17, 343.44] with a bounding box of width 38.78 and height 99.62.
 At frame 20, person 2 is located at coordinates [692.64, 322.84] with a bounding box of width 46.39 and height 122.50.
 At frame 20, person 3 is located at coordinates [1207.09, 325.04] with a bounding box of width 50.43 and height 136.98.
 At frame 20, person 4 is located at coordinates [1233.00, 341.85] with a bounding box of width 54.48 and height 145.41.
 At frame 21, person 1 is located at coordinates [896.22, 343.38] with a bounding box of width 38.69 and height 99.59.
 At frame 21, person 2 is located at coordinates [690.50, 322.71] with a bounding box of width 46.18 and height 122.94.
 At frame 21, person 3 is located at coordinates [1201.88, 324.65] with a bounding box of width 51.80 and height 136.76.
 At frame 21, person 4 is located at coordinates [1231.68, 342.75] with a bounding box of width 54.09 and height 144.29.
 At frame 22, person 1 is located at coordinates [896.25, 343.36] with a bounding box of width 38.62 and height 99.57.
 At frame 22, person 2 is located at coordinates [688.25, 322.28] with a bounding box of width 45.94 and height 123.89.
 At frame 22, person 3 is located at coordinates [1197.49, 324.73] with a bounding box of width 53.07 and height 136.73.
 At frame 22, person 4 is located at coordinates [1231.45, 343.27] with a bounding box of width 53.71 and height 143.49.
 At frame 23, person 1 is located at coordinates [896.27, 343.36] with a bounding box of width 38.55 and height 99.56.
 At frame 23, person 2 is located at coordinates [687.16, 322.31] with a bounding box of width 45.62 and height 123.85.
 At frame 23, person 3 is located at coordinates [1196.29, 326.17] with a bounding box of width 53.70 and height 134.80.
 At frame 23, person 4 is located at coordinates [1231.54, 342.83] with a bounding box of width 53.38 and height 143.23.
 At frame 24, person 1 is located at coordinates [896.22, 343.36] with a bounding box of width 38.61 and height 99.94.
 At frame 24, person 2 is located at coordinates [685.97, 322.92] with a bounding box of width 45.57 and height 124.22.
 At frame 24, person 3 is located at coordinates [1191.71, 326.33] with a bounding box of width 54.51 and height 134.92.
 At frame 24, person 4 is located at coordinates [1230.82, 342.66] with a bounding box of width 53.25 and height 143.56.
 At frame 25, person 1 is located at coordinates [896.54, 343.37] with a bounding box of width 38.73 and height 100.47.
 At frame 25, person 2 is located at coordinates [684.96, 323.54] with a bounding box of width 45.21 and height 123.58.
 At frame 25, person 3 is located at coordinates [1189.46, 326.60] with a bounding box of width 55.35 and height 135.01.
 At frame 25, person 4 is located at coordinates [1230.41, 341.79] with a bounding box of width 53.62 and height 144.90.
 At frame 26, person 1 is located at coordinates [896.86, 343.76] with a bounding box of width 38.34 and height 99.88.
 At frame 26, person 2 is located at coordinates [683.04, 323.39] with a bounding box of width 45.11 and height 123.32.
 At frame 26, person 3 is located at coordinates [1187.36, 326.71] with a bounding box of width 56.44 and height 135.87.
 At frame 26, person 4 is located at coordinates [1231.20, 341.27] with a bounding box of width 53.54 and height 145.01.
 At frame 27, person 1 is located at coordinates [897.35, 343.92] with a bounding box of width 38.23 and height 99.65.
 At frame 27, person 2 is located at coordinates [680.63, 323.52] with a bounding box of width 45.41 and height 123.62.
 At frame 27, person 3 is located at coordinates [1185.72, 326.36] with a bounding box of width 57.18 and height 136.62.
 At frame 27, person 4 is located at coordinates [1231.86, 341.48] with a bounding box of width 52.87 and height 143.85.
 At frame 28, person 1 is located at coordinates [897.93, 343.98] with a bounding box of width 38.17 and height 99.56.
 At frame 28, person 2 is located at coordinates [678.87, 323.77] with a bounding box of width 45.75 and height 123.73.
 At frame 28, person 3 is located at coordinates [1185.17, 325.65] with a bounding box of width 57.92 and height 137.71.
 At frame 28, person 4 is located at coordinates [1231.41, 341.16] with a bounding box of width 52.48 and height 143.42.
 At frame 29, person 1 is located at coordinates [898.15, 344.00] with a bounding box of width 38.13 and height 99.52.
 

=====================================================

At frame 29, person 2 is located at coordinates [677.69, 323.86] with a bounding box of width 46.25 and height 123.77.
 At frame 29, person 3 is located at coordinates [1184.40, 325.38] with a bounding box of width 57.15 and height 136.97.
 At frame 29, person 4 is located at coordinates [1231.84, 341.84] with a bounding box of width 52.78 and height 144.46.
 At frame 30, person 1 is located at coordinates [898.22, 344.01] with a bounding box of width 38.10 and height 99.51.
 At frame 30, person 2 is located at coordinates [675.55, 324.68] with a bounding box of width 46.79 and height 123.00.
 At frame 30, person 3 is located at coordinates [1182.04, 325.10] with a bounding box of width 56.09 and height 136.31.
 At frame 30, person 4 is located at coordinates [1230.53, 341.51] with a bounding box of width 52.72 and height 144.46.
 At frame 31, person 1 is located at coordinates [898.57, 343.82] with a bounding box of width 38.21 and height 99.89.
 At frame 31, person 2 is located at coordinates [674.01, 324.59] with a bounding box of width 47.79 and height 123.49.
 At frame 31, person 3 is located at coordinates [1176.48, 324.41] with a bounding box of width 55.37 and height 138.04.
 At frame 31, person 4 is located at coordinates [1230.57, 341.38] with a bounding box of width 53.25 and height 145.64.
 At frame 32, person 1 is located at coordinates [898.65, 343.74] with a bounding box of width 38.34 and height 100.03.
 At frame 32, person 2 is located at coordinates [672.48, 324.94] with a bounding box of width 48.59 and height 123.67.
 At frame 32, person 3 is located at coordinates [1172.93, 324.55] with a bounding box of width 54.31 and height 138.31.
 At frame 32, person 4 is located at coordinates [1229.98, 341.53] with a bounding box of width 53.12 and height 144.90.
 At frame 33, person 1 is located at coordinates [899.16, 343.91] with a bounding box of width 38.19 and height 99.69.
 At frame 33, person 2 is located at coordinates [671.49, 325.07] with a bounding box of width 49.05 and height 123.35.
 At frame 33, person 3 is located at coordinates [1169.42, 324.22] with a bounding box of width 53.74 and height 138.42.
 At frame 33, person 4 is located at coordinates [1229.74, 341.59] with a bounding box of width 53.16 and height 144.62.
 At frame 34, person 1 is located at coordinates [899.23, 343.78] with a bounding box of width 38.36 and height 99.95.
 At frame 34, person 2 is located at coordinates [671.29, 325.12] with a bounding box of width 49.76 and height 123.62.
 At frame 34, person 3 is located at coordinates [1165.52, 324.31] with a bounding box of width 53.41 and height 138.08.
 At frame 34, person 4 is located at coordinates [1229.44, 341.03] with a bounding box of width 53.61 and height 145.69.
 At frame 35, person 1 is located at coordinates [899.62, 343.93] with a bounding box of width 38.46 and height 100.05.
 At frame 35, person 2 is located at coordinates [670.63, 326.10] with a bounding box of width 49.73 and height 122.54.
 At frame 35, person 3 is located at coordinates [1162.13, 323.56] with a bounding box of width 53.82 and height 138.34.
 At frame 35, person 4 is located at coordinates [1228.61, 341.01] with a bounding box of width 53.70 and height 145.71.
 At frame 36, person 1 is located at coordinates [900.13, 343.98] with a bounding box of width 38.53 and height 100.08.
 At frame 36, person 2 is located at coordinates [670.77, 325.88] with a bounding box of width 50.60 and height 122.14.
 At frame 36, person 3 is located at coordinates [1158.17, 324.66] with a bounding box of width 54.49 and height 137.27.
 At frame 36, person 4 is located at coordinates [1228.29, 340.82] with a bounding box of width 53.77 and height 145.71.
 At frame 37, person 1 is located at coordinates [900.37, 344.40] with a bounding box of width 38.46 and height 99.70.
 At frame 37, person 2 is located at coordinates [668.75, 324.81] with a bounding box of width 51.22 and height 123.16.
 At frame 37, person 3 is located at coordinates [1154.27, 325.09] with a bounding box of width 55.87 and height 136.88.
 At frame 37, person 4 is located at coordinates [1228.89, 340.55] with a bounding box of width 53.96 and height 146.09.
 At frame 38, person 1 is located at coordinates [900.88, 344.75] with a bounding box of width 38.34 and height 99.16.
 At frame 38, person 2 is located at coordinates [667.59, 324.41] with a bounding box of width 51.56 and height 123.55.
 At frame 38, person 3 is located at coordinates [1152.04, 326.23] with a bounding box of width 56.96 and height 135.56.
 At frame 38, person 4 is located at coordinates [1229.12, 340.45] with a bounding box of width 54.06 and height 146.24.
 At frame 39, person 1 is located at coordinates [900.92, 344.68] with a bounding box of width 38.59 and height 99.35.
 At frame 39, person 2 is located at coordinates [666.08, 324.45] with a bounding box of width 51.55 and height 123.70.
 At frame 39, person 3 is located at coordinates [1149.87, 327.64] with a bounding box of width 57.93 and height 133.89.
 At frame 39, person 4 is located at coordinates [1229.99, 340.42] with a bounding box of width 54.11 and height 146.29.
 At frame 40, person 1 is located at coordinates [901.26, 344.65] with a bounding box of width 38.77 and height 99.43.
 At frame 40, person 2 is located at coordinates [664.11, 324.46] with a bounding box of width 51.28 and height 123.75.
 At frame 40, person 3 is located at coordinates [1147.81, 326.79] with a bounding box of width 59.46 and height 134.07.
 At frame 40, person 4 is located at coordinates [1230.49, 340.41] with a bounding box of width 53.81 and height 145.91.
 At frame 41, person 1 is located at coordinates [902.51, 345.42] with a bounding box of width 38.16 and height 97.50.
 At frame 41, person 2 is located at coordinates [661.85, 323.88] with a bounding box of width 50.39 and height 122.60.
 At frame 41, person 3 is located at coordinates [1146.00, 327.06] with a bounding box of width 60.34 and height 133.37.
 

=====================================================

At frame 41, person 4 is located at coordinates [1231.39, 340.41] with a bounding box of width 53.85 and height 146.55.
 At frame 42, person 1 is located at coordinates [903.45, 346.11] with a bounding box of width 37.75 and height 96.37.
 At frame 42, person 2 is located at coordinates [658.73, 323.47] with a bounding box of width 49.97 and height 122.55.
 At frame 42, person 3 is located at coordinates [1143.96, 326.76] with a bounding box of width 61.64 and height 134.69.
 At frame 42, person 4 is located at coordinates [1230.76, 340.22] with a bounding box of width 54.23 and height 147.56.
 At frame 43, person 1 is located at coordinates [904.10, 346.16] with a bounding box of width 37.75 and height 96.36.
 At frame 43, person 2 is located at coordinates [655.47, 322.92] with a bounding box of width 49.40 and height 122.93.
 At frame 43, person 3 is located at coordinates [1141.69, 326.84] with a bounding box of width 62.16 and height 135.20.
 At frame 43, person 4 is located at coordinates [1231.41, 340.15] with a bounding box of width 54.15 and height 147.94.
 At frame 44, person 1 is located at coordinates [904.52, 345.78] with a bounding box of width 38.16 and height 97.54.
 At frame 44, person 2 is located at coordinates [652.77, 322.92] with a bounding box of width 48.34 and height 122.68.
 At frame 44, person 3 is located at coordinates [1140.00, 325.50] with a bounding box of width 62.64 and height 136.58.
 At frame 44, person 4 is located at coordinates [1232.50, 339.93] with a bounding box of width 54.01 and height 148.08.
 At frame 45, person 1 is located at coordinates [904.94, 345.43] with a bounding box of width 38.53 and height 98.39.
 At frame 45, person 2 is located at coordinates [650.43, 322.92] with a bounding box of width 47.58 and height 123.37.
 At frame 45, person 3 is located at coordinates [1137.21, 324.21] with a bounding box of width 61.85 and height 137.10.
 At frame 45, person 4 is located at coordinates [1233.03, 340.25] with a bounding box of width 53.72 and height 147.73.
 At frame 46, person 1 is located at coordinates [904.81, 344.13] with a bounding box of width 39.21 and height 100.27.
 At frame 46, person 2 is located at coordinates [648.34, 322.54] with a bounding box of width 46.73 and height 123.24.
 At frame 46, person 3 is located at coordinates [1133.76, 322.75] with a bounding box of width 61.04 and height 137.69.
 At frame 46, person 4 is located at coordinates [1234.03, 340.17] with a bounding box of width 53.55 and height 148.37.
 At frame 47, person 1 is located at coordinates [905.55, 344.02] with a bounding box of width 39.42 and height 100.59.
 At frame 47, person 2 is located at coordinates [647.14, 322.20] with a bounding box of width 45.83 and height 122.02.
 At frame 47, person 3 is located at coordinates [1128.46, 322.99] with a bounding box of width 59.53 and height 137.13.
 At frame 47, person 4 is located at coordinates [1234.40, 340.15] with a bounding box of width 53.49 and height 148.61.
 At frame 48, person 1 is located at coordinates [906.23, 343.79] with a bounding box of width 39.43 and height 100.71.
 At frame 48, person 2 is located at coordinates [645.33, 322.86] with a bounding box of width 46.00 and height 123.52.
 At frame 48, person 3 is located at coordinates [1123.44, 322.70] with a bounding box of width 58.91 and height 138.87.
 At frame 48, person 4 is located at coordinates [1235.23, 339.36] with a bounding box of width 53.63 and height 149.47.
 At frame 49, person 1 is located at coordinates [906.88, 343.71] with a bounding box of width 39.41 and height 100.74.
 At frame 49, person 2 is located at coordinates [643.03, 322.34] with a bounding box of width 46.33 and height 124.47.
 At frame 49, person 3 is located at coordinates [1117.78, 322.60] with a bounding box of width 58.65 and height 139.91.
 At frame 49, person 4 is located at coordinates [1236.42, 339.26] with a bounding box of width 53.47 and height 149.40.
 At frame 50, person 1 is located at coordinates [907.51, 344.07] with a bounding box of width 39.37 and height 100.36.
 At frame 50, person 2 is located at coordinates [641.21, 323.50] with a bounding box of width 46.15 and height 122.88.
 At frame 50, person 3 is located at coordinates [1114.33, 321.79] with a bounding box of width 59.04 and height 143.02.
 At frame 50, person 4 is located at coordinates [1237.61, 338.05] with a bounding box of width 53.46 and height 150.53.
 At frame 51, person 1 is located at coordinates [908.08, 344.21] with a bounding box of width 39.43 and height 100.60.
 At frame 51, person 2 is located at coordinates [638.00, 325.13] with a bounding box of width 46.60 and height 121.09.
 At frame 51, person 3 is located at coordinates [1111.81, 322.46] with a bounding box of width 60.30 and height 148.05.
 At frame 51, person 4 is located at coordinates [1238.76, 337.41] with a bounding box of width 53.59 and height 151.34.
 At frame 51, person 5 is located at coordinates [738.13, 342.89] with a bounding box of width 20.34 and height 45.47.
 At frame 52, person 1 is located at coordinates [909.08, 345.05] with a bounding box of width 39.41 and height 100.29.
 At frame 52, person 2 is located at coordinates [635.23, 326.73] with a bounding box of width 47.69 and height 120.42.
 At frame 52, person 3 is located at coordinates [1109.91, 322.54] with a bounding box of width 60.54 and height 149.95.
 At frame 52, person 4 is located at coordinates [1239.83, 337.95] with a bounding box of width 53.90 and height 152.80.
 At frame 52, person 5 is located at coordinates [739.98, 343.75] with a bounding box of width 19.56 and height 43.75.
 At frame 53, person 1 is located at coordinates [910.19, 345.56] with a bounding box of width 39.45 and height 100.17.
 At frame 53, person 2 is located at coordinates [633.60, 327.71] with a bounding box of width 48.66 and height 119.39.
 At frame 53, person 3 is located at coordinates [1107.33, 322.96] with a bounding box of width 62.28 and height 155.27.
 

=====================================================

At frame 53, person 4 is located at coordinates [1240.93, 337.59] with a bounding box of width 54.13 and height 154.12.
 At frame 53, person 5 is located at coordinates [741.07, 344.28] with a bounding box of width 19.29 and height 43.17.
 At frame 54, person 1 is located at coordinates [910.96, 346.34] with a bounding box of width 39.51 and height 100.12.
 At frame 54, person 2 is located at coordinates [633.02, 328.06] with a bounding box of width 49.91 and height 119.81.
 At frame 54, person 3 is located at coordinates [1107.20, 323.70] with a bounding box of width 62.16 and height 155.36.
 At frame 54, person 4 is located at coordinates [1241.38, 339.01] with a bounding box of width 54.10 and height 154.60.
 At frame 54, person 5 is located at coordinates [740.80, 345.08] with a bounding box of width 19.41 and height 43.49.
 At frame 55, person 1 is located at coordinates [911.85, 347.02] with a bounding box of width 39.84 and height 100.89.
 At frame 55, person 2 is located at coordinates [631.22, 328.57] with a bounding box of width 51.32 and height 120.37.
 At frame 55, person 3 is located at coordinates [1105.18, 324.38] with a bounding box of width 64.00 and height 161.11.
 At frame 55, person 4 is located at coordinates [1243.04, 346.56] with a bounding box of width 51.06 and height 146.59.
 At frame 55, person 5 is located at coordinates [742.12, 345.97] with a bounding box of width 18.31 and height 41.04.
 At frame 56, person 1 is located at coordinates [912.87, 347.85] with a bounding box of width 40.11 and height 101.56.
 At frame 56, person 2 is located at coordinates [630.30, 328.94] with a bounding box of width 52.49 and height 120.59.
 At frame 56, person 3 is located at coordinates [1106.61, 325.98] with a bounding box of width 62.71 and height 157.53.
 At frame 56, person 4 is located at coordinates [1243.62, 353.86] with a bounding box of width 48.35 and height 139.49.
 At frame 56, person 5 is located at coordinates [742.87, 347.31] with a bounding box of width 18.11 and height 40.66.
 At frame 57, person 1 is located at coordinates [913.89, 348.94] with a bounding box of width 40.46 and height 102.20.
 At frame 57, person 2 is located at coordinates [628.63, 330.04] with a bounding box of width 53.35 and height 120.28.
 At frame 57, person 3 is located at coordinates [1105.15, 327.00] with a bounding box of width 64.19 and height 161.47.
 At frame 57, person 4 is located at coordinates [1244.39, 360.51] with a bounding box of width 46.18 and height 134.09.
 At frame 57, person 5 is located at coordinates [743.31, 348.14] with a bounding box of width 19.32 and height 43.50.
 At frame 58, person 1 is located at coordinates [915.12, 350.50] with a bounding box of width 40.39 and height 102.05.
 At frame 58, person 2 is located at coordinates [626.34, 331.23] with a bounding box of width 54.76 and height 121.35.
 At frame 58, person 3 is located at coordinates [1100.38, 327.76] with a bounding box of width 62.53 and height 160.22.
 At frame 58, person 4 is located at coordinates [1246.20, 359.63] with a bounding box of width 47.11 and height 136.20.
 At frame 58, person 5 is located at coordinates [744.42, 349.01] with a bounding box of width 19.37 and height 43.68.
 At frame 59, person 1 is located at coordinates [916.80, 352.26] with a bounding box of width 40.23 and height 101.59.
 At frame 59, person 2 is located at coordinates [625.03, 333.60] with a bounding box of width 55.52 and height 121.37.
 At frame 59, person 3 is located at coordinates [1099.18, 330.18] with a bounding box of width 60.75 and height 158.50.
 At frame 59, person 4 is located at coordinates [1249.11, 364.80] with a bounding box of width 46.07 and height 132.65.
 At frame 59, person 5 is located at coordinates [746.74, 351.50] with a bounding box of width 17.93 and height 40.56.
 At frame 60, person 1 is located at coordinates [919.03, 354.66] with a bounding box of width 40.04 and height 101.02.
 At frame 60, person 2 is located at coordinates [622.96, 335.66] with a bounding box of width 55.95 and height 120.98.
 At frame 60, person 3 is located at coordinates [1100.48, 331.86] with a bounding box of width 59.11 and height 157.01.
 At frame 60, person 4 is located at coordinates [1251.60, 368.26] with a bounding box of width 46.02 and height 132.17.
 At frame 60, person 5 is located at coordinates [747.13, 352.79] with a bounding box of width 19.08 and height 43.08.
 At frame 61, person 1 is located at coordinates [921.20, 355.73] with a bounding box of width 40.37 and height 101.58.
 At frame 61, person 2 is located at coordinates [620.60, 337.38] with a bounding box of width 54.67 and height 118.09.
 At frame 61, person 3 is located at coordinates [1102.28, 333.66] with a bounding box of width 56.82 and height 154.07.
 At frame 61, person 4 is located at coordinates [1255.13, 376.78] with a bounding box of width 43.86 and height 126.09.
 At frame 61, person 5 is located at coordinates [748.93, 353.82] with a bounding box of width 19.25 and height 43.55.
 At frame 61, person 6 is located at coordinates [575.29, 360.12] with a bounding box of width 14.20 and height 28.42.
 At frame 62, person 1 is located at coordinates [924.03, 356.89] with a bounding box of width 40.30 and height 101.40.
 At frame 62, person 2 is located at coordinates [618.67, 337.40] with a bounding box of width 54.82 and height 119.38.
 At frame 62, person 3 is located at coordinates [1104.36, 334.70] with a bounding box of width 53.33 and height 146.63.
 At frame 62, person 4 is located at coordinates [1259.96, 377.83] with a bounding box of width 44.01 and height 126.31.
 At frame 62, person 6 is located at coordinates [576.50, 360.71] with a bounding box of width 14.44 and height 28.88.
 At frame 63, person 1 is located at coordinates [927.28, 357.68] with a bounding box of width 40.52 and height 101.72.
 At frame 63, person 2 is located at coordinates [615.97, 336.79] with a bounding box of width 54.25 and height 119.47.
 

=====================================================

At frame 63, person 3 is located at coordinates [1108.32, 336.45] with a bounding box of width 49.05 and height 137.02.
 At frame 63, person 6 is located at coordinates [578.62, 361.82] with a bounding box of width 14.29 and height 28.57.
 At frame 64, person 1 is located at coordinates [931.23, 358.54] with a bounding box of width 40.51 and height 101.44.
 At frame 64, person 2 is located at coordinates [614.65, 336.72] with a bounding box of width 52.43 and height 117.94.
 At frame 64, person 3 is located at coordinates [1116.21, 340.09] with a bounding box of width 39.65 and height 112.01.
 At frame 64, person 6 is located at coordinates [580.80, 362.38] with a bounding box of width 14.25 and height 28.46.
 At frame 65, person 1 is located at coordinates [935.44, 358.04] with a bounding box of width 41.21 and height 102.90.
 At frame 65, person 2 is located at coordinates [611.38, 335.68] with a bounding box of width 52.72 and height 121.70.
 At frame 65, person 3 is located at coordinates [1124.57, 342.43] with a bounding box of width 35.92 and height 102.48.
 At frame 65, person 6 is located at coordinates [583.82, 362.75] with a bounding box of width 13.80 and height 27.57.
 At frame 66, person 1 is located at coordinates [939.77, 359.00] with a bounding box of width 41.29 and height 103.06.
 At frame 66, person 2 is located at coordinates [610.74, 336.25] with a bounding box of width 52.54 and height 123.48.
 At frame 66, person 6 is located at coordinates [585.95, 361.14] with a bounding box of width 14.67 and height 29.39.
 At frame 67, person 1 is located at coordinates [944.52, 358.35] with a bounding box of width 41.98 and height 104.67.
 At frame 67, person 2 is located at coordinates [610.58, 334.90] with a bounding box of width 52.48 and height 124.94.
 At frame 67, person 6 is located at coordinates [589.03, 361.60] with a bounding box of width 14.19 and height 28.40.
 At frame 68, person 1 is located at coordinates [949.53, 359.25] with a bounding box of width 41.85 and height 104.10.
 At frame 68, person 2 is located at coordinates [610.15, 334.75] with a bounding box of width 52.53 and height 125.48.
 At frame 68, person 6 is located at coordinates [591.59, 361.36] with a bounding box of width 14.24 and height 28.41.
 At frame 69, person 1 is located at coordinates [954.62, 358.40] with a bounding box of width 42.26 and height 105.04.
 At frame 69, person 2 is located at coordinates [608.61, 335.47] with a bounding box of width 52.33 and height 123.73.
 At frame 69, person 6 is located at coordinates [594.24, 360.46] with a bounding box of width 14.64 and height 29.22.
 At frame 69, person 3 is located at coordinates [1114.37, 335.54] with a bounding box of width 48.37 and height 135.71.
 At frame 70, person 1 is located at coordinates [959.55, 358.25] with a bounding box of width 42.42 and height 105.39.
 At frame 70, person 2 is located at coordinates [608.59, 336.90] with a bounding box of width 52.83 and height 122.64.
 At frame 70, person 6 is located at coordinates [598.60, 361.51] with a bounding box of width 13.78 and height 27.54.
 At frame 70, person 3 is located at coordinates [1113.55, 333.31] with a bounding box of width 52.04 and height 142.29.
 At frame 71, person 1 is located at coordinates [965.07, 358.37] with a bounding box of width 42.73 and height 105.90.
 At frame 71, person 2 is located at coordinates [609.61, 339.20] with a bounding box of width 53.43 and height 121.05.
 At frame 71, person 6 is located at coordinates [601.01, 360.30] with a bounding box of width 16.34 and height 32.97.
 At frame 71, person 3 is located at coordinates [1114.48, 335.24] with a bounding box of width 54.07 and height 143.72.
