At frame 0, person 1 is located at coordinates [775.66, 222.93] with a bounding box of width 40.26 and height 108.65.
 At frame 15, person 2 is located at coordinates [733.85, 233.92] with a bounding box of width 22.16 and height 56.23.
 At frame 16, person 1 is located at coordinates [827.22, 228.82] with a bounding box of width 39.71 and height 108.28.
 At frame 16, person 4 is located at coordinates [545.34, 246.29] with a bounding box of width 10.52 and height 26.29.
 At frame 17, person 1 is located at coordinates [831.01, 230.49] with a bounding box of width 38.56 and height 104.86.
 At frame 17, person 4 is located at coordinates [546.04, 247.85] with a bounding box of width 10.63 and height 26.57.
 At frame 17, person 5 is located at coordinates [330.79, 231.13] with a bounding box of width 26.69 and height 69.60.
 At frame 18, person 1 is located at coordinates [834.81, 232.87] with a bounding box of width 37.83 and height 101.45.
 At frame 18, person 4 is located at coordinates [545.23, 249.95] with a bounding box of width 11.78 and height 29.46.
 At frame 18, person 5 is located at coordinates [327.87, 234.60] with a bounding box of width 27.65 and height 72.04.
 At frame 18, person 3 is located at coordinates [356.21, 236.52] with a bounding box of width 27.75 and height 65.50.
 At frame 19, person 1 is located at coordinates [837.09, 233.69] with a bounding box of width 40.32 and height 107.54.
 At frame 19, person 4 is located at coordinates [544.84, 251.76] with a bounding box of width 12.39 and height 30.99.
 At frame 19, person 5 is located at coordinates [325.02, 237.52] with a bounding box of width 29.07 and height 75.78.
 At frame 19, person 3 is located at coordinates [350.91, 237.83] with a bounding box of width 31.51 and height 74.87.
 At frame 20, person 1 is located at coordinates [839.19, 234.07] with a bounding box of width 41.66 and height 110.38.
 

=====================================================

At frame 20, person 4 is located at coordinates [544.61, 254.29] with a bounding box of width 11.95 and height 29.83.
 At frame 20, person 5 is located at coordinates [322.52, 240.21] with a bounding box of width 28.05 and height 73.14.
 At frame 20, person 3 is located at coordinates [345.99, 239.43] with a bounding box of width 31.80 and height 76.38.
 At frame 21, person 1 is located at coordinates [842.85, 235.05] with a bounding box of width 41.63 and height 110.03.
 At frame 21, person 4 is located at coordinates [545.03, 255.85] with a bounding box of width 11.18 and height 27.82.
 At frame 21, person 5 is located at coordinates [320.53, 241.95] with a bounding box of width 27.59 and height 71.93.
 At frame 21, person 3 is located at coordinates [343.12, 241.06] with a bounding box of width 31.90 and height 76.99.
 At frame 22, person 1 is located at coordinates [844.85, 234.79] with a bounding box of width 44.84 and height 117.94.
 At frame 22, person 4 is located at coordinates [545.49, 256.40] with a bounding box of width 11.13 and height 27.69.
 At frame 22, person 5 is located at coordinates [319.74, 243.16] with a bounding box of width 27.01 and height 70.54.
 At frame 22, person 3 is located at coordinates [340.53, 242.62] with a bounding box of width 29.76 and height 72.05.
 At frame 23, person 1 is located at coordinates [847.99, 234.21] with a bounding box of width 47.24 and height 124.18.
 At frame 23, person 4 is located at coordinates [546.01, 256.24] with a bounding box of width 11.20 and height 27.84.
 At frame 23, person 5 is located at coordinates [317.93, 243.16] with a bounding box of width 27.61 and height 72.02.
 At frame 23, person 3 is located at coordinates [338.35, 243.06] with a bounding box of width 29.58 and height 72.00.
 At frame 24, person 1 is located at coordinates [848.30, 231.96] with a bounding box of width 54.35 and height 144.16.
 At frame 24, person 4 is located at coordinates [545.23, 253.10] with a bounding box of width 12.36 and height 30.70.
 At frame 24, person 5 is located at coordinates [319.73, 242.70] with a bounding box of width 24.28 and height 63.36.
 At frame 24, person 3 is located at coordinates [335.28, 241.56] with a bounding box of width 28.77 and height 69.93.
 At frame 25, person 1 is located at coordinates [852.98, 229.01] with a bounding box of width 54.54 and height 145.88.
 At frame 25, person 4 is located at coordinates [545.12, 250.81] with a bounding box of width 12.42 and height 30.97.
 At frame 25, person 5 is located at coordinates [316.61, 240.77] with a bounding box of width 23.73 and height 61.94.
 At frame 25, person 3 is located at coordinates [331.76, 239.37] with a bounding box of width 26.75 and height 65.35.
 At frame 26, person 1 is located at coordinates [856.45, 227.53] with a bounding box of width 55.74 and height 150.17.
 At frame 26, person 4 is located at coordinates [545.36, 249.37] with a bounding box of width 11.88 and height 29.67.
 At frame 26, person 5 is located at coordinates [312.90, 236.08] with a bounding box of width 26.96 and height 71.10.
 At frame 26, person 3 is located at coordinates [328.09, 237.97] with a bounding box of width 25.37 and height 62.75.
 At frame 27, person 1 is located at coordinates [860.30, 225.91] with a bounding box of width 55.57 and height 150.16.
 At frame 27, person 4 is located at coordinates [545.43, 247.71] with a bounding box of width 11.70 and height 29.14.
 At frame 27, person 5 is located at coordinates [313.27, 236.32] with a bounding box of width 27.03 and height 71.23.
 At frame 27, person 3 is located at coordinates [322.83, 235.55] with a bounding box of width 25.76 and height 63.99.
 At frame 28, person 1 is located at coordinates [859.56, 222.22] with a bounding box of width 62.78 and height 171.94.
 At frame 28, person 4 is located at coordinates [545.02, 245.81] with a bounding box of width 11.71 and height 29.13.
 At frame 28, person 5 is located at coordinates [313.37, 233.00] with a bounding box of width 27.83 and height 73.70.
 At frame 29, person 1 is located at coordinates [863.18, 218.84] with a bounding box of width 67.23 and height 186.66.
 At frame 29, person 4 is located at coordinates [545.13, 245.70] with a bounding box of width 11.21 and height 27.94.
 At frame 29, person 5 is located at coordinates [312.88, 232.24] with a bounding box of width 26.18 and height 69.87.
 At frame 29, person 2 is located at coordinates [750.07, 233.43] with a bounding box of width 23.72 and height 60.91.
 At frame 30, person 1 is located at coordinates [871.54, 218.91] with a bounding box of width 60.99 and height 169.01.
 At frame 30, person 4 is located at coordinates [544.70, 244.39] with a bounding box of width 11.54 and height 28.87.
 At frame 30, person 5 is located at coordinates [304.58, 229.78] with a bounding box of width 30.75 and height 81.87.
 At frame 30, person 8 is located at coordinates [779.44, 241.85] with a bounding box of width 24.87 and height 69.07.
 At frame 30, person 2 is located at coordinates [748.87, 230.87] with a bounding box of width 27.03 and height 69.50.
 At frame 31, person 1 is located at coordinates [874.79, 215.88] with a bounding box of width 63.02 and height 175.56.
 At frame 31, person 4 is located at coordinates [544.27, 242.76] with a bounding box of width 11.83 and height 29.79.
 At frame 31, person 5 is located at coordinates [297.90, 227.34] with a bounding box of width 32.10 and height 85.76.
 At frame 31, person 8 is located at coordinates [781.32, 240.48] with a bounding box of width 25.38 and height 70.39.
 At frame 31, person 2 is located at coordinates [750.51, 229.26] with a bounding box of width 27.83 and height 71.97.
 At frame 32, person 1 is located at coordinates [876.12, 212.33] with a bounding box of width 71.01 and height 200.26.
 At frame 32, person 4 is located at coordinates [544.55, 241.67] with a bounding box of width 11.84 and height 29.94.
 

=====================================================

At frame 32, person 5 is located at coordinates [292.13, 224.39] with a bounding box of width 35.52 and height 94.74.
 At frame 32, person 8 is located at coordinates [783.38, 240.96] with a bounding box of width 25.39 and height 70.36.
 At frame 32, person 9 is located at coordinates [532.07, 242.29] with a bounding box of width 14.33 and height 36.12.
 At frame 33, person 1 is located at coordinates [879.38, 208.97] with a bounding box of width 74.40 and height 211.50.
 At frame 33, person 4 is located at coordinates [544.67, 240.88] with a bounding box of width 11.81 and height 29.99.
 At frame 33, person 8 is located at coordinates [786.08, 240.71] with a bounding box of width 23.83 and height 65.85.
 At frame 33, person 9 is located at coordinates [532.07, 242.31] with a bounding box of width 14.13 and height 35.66.
 At frame 34, person 1 is located at coordinates [883.78, 206.49] with a bounding box of width 77.54 and height 222.25.
 At frame 34, person 4 is located at coordinates [544.87, 240.32] with a bounding box of width 11.50 and height 29.22.
 At frame 34, person 8 is located at coordinates [787.09, 239.98] with a bounding box of width 24.63 and height 67.91.
 At frame 34, person 9 is located at coordinates [532.92, 242.44] with a bounding box of width 14.24 and height 35.97.
 At frame 35, person 1 is located at coordinates [890.90, 203.49] with a bounding box of width 80.49 and height 232.72.
 At frame 35, person 4 is located at coordinates [545.28, 240.73] with a bounding box of width 11.51 and height 29.31.
 At frame 35, person 8 is located at coordinates [789.40, 240.38] with a bounding box of width 24.16 and height 66.49.
 At frame 35, person 9 is located at coordinates [533.49, 243.25] with a bounding box of width 14.09 and height 35.64.
 At frame 36, person 1 is located at coordinates [902.38, 203.35] with a bounding box of width 70.88 and height 204.87.
 At frame 36, person 4 is located at coordinates [545.01, 241.69] with a bounding box of width 12.35 and height 31.69.
 At frame 36, person 8 is located at coordinates [791.85, 240.96] with a bounding box of width 23.89 and height 65.37.
 At frame 36, person 9 is located at coordinates [534.06, 243.84] with a bounding box of width 14.11 and height 35.74.
 At frame 37, person 1 is located at coordinates [912.45, 203.32] with a bounding box of width 65.07 and height 187.22.
 At frame 37, person 4 is located at coordinates [545.67, 242.80] with a bounding box of width 11.91 and height 30.67.
 At frame 37, person 8 is located at coordinates [794.03, 241.58] with a bounding box of width 23.49 and height 63.98.
 At frame 37, person 9 is located at coordinates [533.98, 244.34] with a bounding box of width 14.20 and height 35.99.
 At frame 38, person 1 is located at coordinates [920.49, 203.77] with a bounding box of width 64.22 and height 183.86.
 At frame 38, person 4 is located at coordinates [545.84, 244.16] with a bounding box of width 11.51 and height 29.65.
 At frame 38, person 8 is located at coordinates [795.43, 242.62] with a bounding box of width 24.38 and height 66.17.
 At frame 38, person 9 is located at coordinates [534.25, 245.93] with a bounding box of width 13.61 and height 34.44.
 At frame 39, person 1 is located at coordinates [925.84, 204.34] with a bounding box of width 66.60 and height 189.92.
 At frame 39, person 4 is located at coordinates [545.64, 244.19] with a bounding box of width 11.10 and height 28.66.
 At frame 39, person 8 is located at coordinates [797.07, 242.99] with a bounding box of width 24.69 and height 66.76.
 At frame 39, person 9 is located at coordinates [535.24, 247.83] with a bounding box of width 13.22 and height 33.46.
 At frame 40, person 1 is located at coordinates [932.51, 204.97] with a bounding box of width 67.14 and height 190.18.
 At frame 40, person 4 is located at coordinates [546.46, 245.60] with a bounding box of width 10.35 and height 26.70.
 At frame 40, person 8 is located at coordinates [798.36, 243.81] with a bounding box of width 25.68 and height 69.48.
 At frame 40, person 9 is located at coordinates [536.00, 248.16] with a bounding box of width 13.05 and height 32.93.
 At frame 40, person 2 is located at coordinates [765.79, 233.62] with a bounding box of width 25.33 and height 67.18.
 At frame 40, person 5 is located at coordinates [256.88, 226.62] with a bounding box of width 36.63 and height 97.67.
 At frame 41, person 1 is located at coordinates [941.31, 204.47] with a bounding box of width 66.90 and height 188.04.
 At frame 41, person 4 is located at coordinates [546.53, 246.22] with a bounding box of width 10.54 and height 27.19.
 At frame 41, person 8 is located at coordinates [799.60, 243.91] with a bounding box of width 25.98 and height 70.29.
 At frame 41, person 9 is located at coordinates [536.29, 247.43] with a bounding box of width 12.91 and height 32.55.
 At frame 41, person 2 is located at coordinates [766.37, 233.09] with a bounding box of width 26.06 and height 70.67.
 At frame 41, person 5 is located at coordinates [249.80, 228.04] with a bounding box of width 35.78 and height 95.46.
 At frame 42, person 1 is located at coordinates [948.63, 205.39] with a bounding box of width 69.39 and height 194.09.
 At frame 42, person 4 is located at coordinates [546.95, 246.44] with a bounding box of width 10.61 and height 27.36.
 At frame 42, person 8 is located at coordinates [801.62, 243.65] with a bounding box of width 25.97 and height 69.91.
 At frame 42, person 9 is located at coordinates [537.40, 248.15] with a bounding box of width 13.25 and height 33.24.
 At frame 42, person 2 is located at coordinates [767.33, 232.37] with a bounding box of width 25.60 and height 70.33.
 At frame 43, person 1 is located at coordinates [958.39, 205.46] with a bounding box of width 67.53 and height 186.95.
 At frame 43, person 4 is located at coordinates [547.36, 246.12] with a bounding box of width 10.90 and height 28.22.
 

=====================================================

At frame 43, person 8 is located at coordinates [802.89, 243.24] with a bounding box of width 27.17 and height 72.99.
 At frame 43, person 9 is located at coordinates [538.59, 248.39] with a bounding box of width 13.76 and height 34.49.
 At frame 43, person 2 is located at coordinates [768.78, 231.19] with a bounding box of width 26.27 and height 72.45.
 At frame 44, person 1 is located at coordinates [968.06, 204.33] with a bounding box of width 70.18 and height 192.91.
 At frame 44, person 4 is located at coordinates [545.92, 246.29] with a bounding box of width 11.85 and height 30.68.
 At frame 44, person 8 is located at coordinates [804.38, 242.60] with a bounding box of width 27.03 and height 72.50.
 At frame 44, person 9 is located at coordinates [540.61, 246.71] with a bounding box of width 14.64 and height 36.92.
 At frame 44, person 2 is located at coordinates [769.83, 229.59] with a bounding box of width 29.32 and height 81.39.
 At frame 45, person 1 is located at coordinates [976.37, 202.57] with a bounding box of width 76.05 and height 208.22.
 At frame 45, person 4 is located at coordinates [545.12, 245.69] with a bounding box of width 12.35 and height 32.18.
 At frame 45, person 8 is located at coordinates [805.76, 241.95] with a bounding box of width 27.55 and height 74.03.
 At frame 45, person 9 is located at coordinates [541.21, 246.25] with a bounding box of width 14.91 and height 37.64.
 At frame 45, person 2 is located at coordinates [772.29, 229.54] with a bounding box of width 29.29 and height 81.55.
 At frame 46, person 1 is located at coordinates [982.35, 200.31] with a bounding box of width 83.70 and height 228.06.
 At frame 46, person 4 is located at coordinates [543.73, 244.02] with a bounding box of width 13.54 and height 35.41.
 At frame 46, person 8 is located at coordinates [806.62, 241.22] with a bounding box of width 29.28 and height 78.17.
 At frame 46, person 9 is located at coordinates [540.58, 244.90] with a bounding box of width 15.50 and height 39.07.
 At frame 46, person 2 is located at coordinates [773.12, 228.10] with a bounding box of width 31.01 and height 86.25.
 At frame 47, person 1 is located at coordinates [993.42, 195.53] with a bounding box of width 87.57 and height 238.60.
 At frame 47, person 4 is located at coordinates [542.88, 242.82] with a bounding box of width 14.27 and height 37.41.
 At frame 47, person 8 is located at coordinates [807.91, 240.66] with a bounding box of width 30.21 and height 80.58.
 At frame 47, person 9 is located at coordinates [539.52, 245.05] with a bounding box of width 15.40 and height 38.46.
 At frame 47, person 2 is located at coordinates [774.11, 227.74] with a bounding box of width 32.53 and height 90.47.
 At frame 48, person 1 is located at coordinates [1007.72, 193.98] with a bounding box of width 87.67 and height 238.57.
 At frame 48, person 4 is located at coordinates [542.85, 242.89] with a bounding box of width 14.29 and height 37.63.
 At frame 48, person 8 is located at coordinates [810.46, 240.35] with a bounding box of width 30.18 and height 80.26.
 At frame 48, person 9 is located at coordinates [539.65, 244.92] with a bounding box of width 15.37 and height 38.20.
 At frame 48, person 2 is located at coordinates [775.78, 227.22] with a bounding box of width 31.96 and height 89.08.
 At frame 49, person 1 is located at coordinates [1020.37, 194.37] with a bounding box of width 86.92 and height 236.60.
 At frame 49, person 4 is located at coordinates [543.77, 243.50] with a bounding box of width 13.23 and height 34.84.
 At frame 49, person 8 is located at coordinates [812.94, 239.75] with a bounding box of width 29.37 and height 77.86.
 At frame 49, person 9 is located at coordinates [540.97, 243.89] with a bounding box of width 15.49 and height 38.67.
 At frame 49, person 2 is located at coordinates [779.37, 226.84] with a bounding box of width 28.82 and height 80.17.
 At frame 50, person 1 is located at coordinates [1032.61, 190.24] with a bounding box of width 88.99 and height 241.31.
 At frame 50, person 8 is located at coordinates [814.36, 239.82] with a bounding box of width 28.74 and height 75.82.
 At frame 50, person 9 is located at coordinates [541.02, 242.73] with a bounding box of width 15.62 and height 39.23.
 At frame 50, person 2 is located at coordinates [781.93, 227.21] with a bounding box of width 28.26 and height 78.45.
 At frame 51, person 1 is located at coordinates [1051.58, 194.43] with a bounding box of width 87.44 and height 236.51.
 At frame 51, person 8 is located at coordinates [816.10, 239.75] with a bounding box of width 29.10 and height 76.31.
 At frame 51, person 9 is located at coordinates [541.08, 242.58] with a bounding box of width 15.57 and height 39.43.
 At frame 51, person 2 is located at coordinates [782.81, 228.03] with a bounding box of width 28.85 and height 79.52.
 At frame 52, person 1 is located at coordinates [1062.40, 184.50] with a bounding box of width 97.81 and height 265.43.
 At frame 52, person 8 is located at coordinates [818.68, 240.61] with a bounding box of width 29.16 and height 75.99.
 At frame 52, person 9 is located at coordinates [540.99, 242.82] with a bounding box of width 15.34 and height 39.11.
 At frame 52, person 2 is located at coordinates [783.66, 229.71] with a bounding box of width 28.69 and height 78.73.
 At frame 53, person 1 is located at coordinates [1075.23, 177.06] with a bounding box of width 105.51 and height 285.96.
 At frame 53, person 8 is located at coordinates [820.65, 240.94] with a bounding box of width 29.40 and height 76.25.
 At frame 53, person 9 is located at coordinates [540.86, 242.53] with a bounding box of width 15.77 and height 40.54.
 At frame 53, person 2 is located at coordinates [783.73, 225.25] with a bounding box of width 32.93 and height 90.21.
 At frame 54, person 1 is located at coordinates [1092.14, 176.86] with a bounding box of width 106.07 and height 286.18.
 

=====================================================

At frame 54, person 8 is located at coordinates [822.62, 241.36] with a bounding box of width 28.46 and height 73.31.
 At frame 54, person 9 is located at coordinates [541.23, 242.43] with a bounding box of width 15.87 and height 41.06.
 At frame 54, person 2 is located at coordinates [787.53, 228.09] with a bounding box of width 29.91 and height 81.72.
 At frame 55, person 1 is located at coordinates [1112.23, 176.62] with a bounding box of width 108.09 and height 291.48.
 At frame 55, person 8 is located at coordinates [825.29, 241.72] with a bounding box of width 28.83 and height 73.76.
 At frame 55, person 9 is located at coordinates [541.77, 243.17] with a bounding box of width 15.84 and height 41.25.
 At frame 55, person 2 is located at coordinates [788.14, 224.98] with a bounding box of width 32.74 and height 90.06.
 At frame 56, person 1 is located at coordinates [1132.61, 176.86] with a bounding box of width 109.97 and height 295.34.
 At frame 56, person 8 is located at coordinates [828.02, 241.36] with a bounding box of width 30.06 and height 76.57.
 At frame 56, person 9 is located at coordinates [542.70, 244.52] with a bounding box of width 15.14 and height 39.57.
 At frame 56, person 2 is located at coordinates [789.01, 223.24] with a bounding box of width 35.47 and height 97.94.
 At frame 57, person 1 is located at coordinates [1149.64, 170.37] with a bounding box of width 117.63 and height 315.83.
 At frame 57, person 8 is located at coordinates [829.68, 241.32] with a bounding box of width 31.46 and height 79.84.
 At frame 57, person 9 is located at coordinates [543.31, 244.46] with a bounding box of width 14.71 and height 38.70.
 At frame 57, person 2 is located at coordinates [791.76, 222.75] with a bounding box of width 34.63 and height 96.20.
 At frame 58, person 1 is located at coordinates [1169.66, 170.05] with a bounding box of width 126.06 and height 337.52.
 At frame 58, person 8 is located at coordinates [830.80, 240.92] with a bounding box of width 33.19 and height 84.15.
 At frame 58, person 9 is located at coordinates [544.59, 244.93] with a bounding box of width 14.00 and height 37.19.
 At frame 58, person 2 is located at coordinates [795.03, 226.33] with a bounding box of width 34.41 and height 96.21.
 At frame 59, person 1 is located at coordinates [1190.44, 168.96] with a bounding box of width 134.33 and height 359.63.
 At frame 59, person 8 is located at coordinates [833.72, 241.34] with a bounding box of width 33.32 and height 84.47.
 At frame 59, person 9 is located at coordinates [545.04, 245.10] with a bounding box of width 13.34 and height 35.63.
 At frame 59, person 2 is located at coordinates [796.56, 225.79] with a bounding box of width 34.42 and height 96.55.
 At frame 60, person 8 is located at coordinates [838.45, 241.98] with a bounding box of width 31.41 and height 79.45.
 At frame 60, person 9 is located at coordinates [544.84, 243.95] with a bounding box of width 13.00 and height 34.86.
 At frame 60, person 2 is located at coordinates [798.18, 223.47] with a bounding box of width 37.61 and height 105.87.
 At frame 60, person 10 is located at coordinates [785.06, 246.02] with a bounding box of width 9.37 and height 21.37.
 At frame 61, person 8 is located at coordinates [839.85, 241.24] with a bounding box of width 32.89 and height 83.95.
 At frame 61, person 9 is located at coordinates [544.45, 244.73] with a bounding box of width 12.67 and height 33.99.
 At frame 61, person 2 is located at coordinates [800.82, 223.35] with a bounding box of width 37.72 and height 106.00.
 At frame 61, person 10 is located at coordinates [785.57, 246.02] with a bounding box of width 9.45 and height 21.56.
 At frame 62, person 8 is located at coordinates [840.19, 240.41] with a bounding box of width 35.25 and height 90.53.
 At frame 62, person 9 is located at coordinates [544.47, 244.72] with a bounding box of width 12.60 and height 33.69.
 At frame 62, person 2 is located at coordinates [802.53, 223.52] with a bounding box of width 38.56 and height 108.60.
 At frame 62, person 10 is located at coordinates [786.37, 246.36] with a bounding box of width 9.15 and height 20.93.
 At frame 63, person 8 is located at coordinates [841.00, 239.43] with a bounding box of width 36.97 and height 95.21.
 At frame 63, person 9 is located at coordinates [544.86, 245.01] with a bounding box of width 12.98 and height 34.79.
 At frame 63, person 2 is located at coordinates [803.67, 223.21] with a bounding box of width 39.34 and height 110.88.
 At frame 63, person 10 is located at coordinates [786.65, 246.59] with a bounding box of width 8.94 and height 20.50.
 At frame 64, person 8 is located at coordinates [843.63, 238.85] with a bounding box of width 37.41 and height 96.85.
 At frame 64, person 9 is located at coordinates [544.35, 244.83] with a bounding box of width 12.87 and height 34.42.
 At frame 64, person 2 is located at coordinates [804.84, 221.67] with a bounding box of width 39.57 and height 111.61.
 At frame 64, person 10 is located at coordinates [787.35, 245.12] with a bounding box of width 9.36 and height 21.47.
 At frame 65, person 8 is located at coordinates [845.83, 237.49] with a bounding box of width 38.14 and height 99.14.
 At frame 65, person 9 is located at coordinates [545.06, 245.14] with a bounding box of width 12.96 and height 34.69.
 At frame 65, person 2 is located at coordinates [805.73, 219.65] with a bounding box of width 40.17 and height 113.25.
 At frame 65, person 10 is located at coordinates [787.82, 243.71] with a bounding box of width 9.83 and height 22.61.
 At frame 65, person 11 is located at coordinates [517.12, 243.44] with a bounding box of width 13.20 and height 35.41.
 At frame 66, person 8 is located at coordinates [848.99, 238.58] with a bounding box of width 37.47 and height 97.42.
 At frame 66, person 9 is located at coordinates [545.00, 244.77] with a bounding box of width 13.61 and height 36.36.
 

=====================================================

At frame 66, person 2 is located at coordinates [808.46, 219.65] with a bounding box of width 40.10 and height 113.25.
 At frame 66, person 10 is located at coordinates [788.30, 243.11] with a bounding box of width 10.13 and height 23.42.
 At frame 66, person 11 is located at coordinates [517.33, 243.04] with a bounding box of width 13.23 and height 35.50.
 At frame 67, person 8 is located at coordinates [853.27, 238.92] with a bounding box of width 36.33 and height 94.43.
 At frame 67, person 9 is located at coordinates [544.24, 244.73] with a bounding box of width 13.02 and height 34.87.
 At frame 67, person 2 is located at coordinates [811.82, 220.44] with a bounding box of width 39.95 and height 112.60.
 At frame 67, person 10 is located at coordinates [788.48, 242.81] with a bounding box of width 10.21 and height 23.72.
 At frame 67, person 11 is located at coordinates [517.36, 243.47] with a bounding box of width 13.32 and height 35.76.
 At frame 68, person 8 is located at coordinates [855.30, 237.99] with a bounding box of width 36.49 and height 95.08.
 At frame 68, person 9 is located at coordinates [542.45, 246.99] with a bounding box of width 12.96 and height 34.67.
 At frame 68, person 2 is located at coordinates [814.61, 222.70] with a bounding box of width 39.85 and height 112.08.
 At frame 68, person 10 is located at coordinates [788.58, 242.52] with a bounding box of width 10.13 and height 23.62.
 At frame 68, person 11 is located at coordinates [517.90, 244.39] with a bounding box of width 12.28 and height 32.97.
 At frame 69, person 8 is located at coordinates [856.67, 237.26] with a bounding box of width 39.05 and height 102.07.
 At frame 69, person 9 is located at coordinates [542.83, 244.96] with a bounding box of width 13.63 and height 36.57.
 At frame 69, person 2 is located at coordinates [815.52, 218.15] with a bounding box of width 43.07 and height 121.34.
 At frame 69, person 10 is located at coordinates [788.97, 241.35] with a bounding box of width 10.14 and height 23.76.
 At frame 69, person 11 is located at coordinates [517.25, 244.02] with a bounding box of width 12.68 and height 34.04.
 At frame 70, person 8 is located at coordinates [858.25, 235.86] with a bounding box of width 40.85 and height 107.13.
 At frame 70, person 9 is located at coordinates [541.86, 244.40] with a bounding box of width 13.79 and height 36.89.
 At frame 70, person 2 is located at coordinates [816.72, 216.36] with a bounding box of width 44.02 and height 123.74.
 At frame 70, person 10 is located at coordinates [789.97, 240.43] with a bounding box of width 9.96 and height 23.41.
 At frame 70, person 11 is located at coordinates [517.80, 244.32] with a bounding box of width 12.13 and height 32.50.
 At frame 70, person 12 is located at coordinates [434.16, 232.13] with a bounding box of width 18.64 and height 48.08.
 At frame 70, person 13 is located at coordinates [452.38, 232.61] with a bounding box of width 17.97 and height 48.32.
 At frame 71, person 8 is located at coordinates [861.18, 234.55] with a bounding box of width 40.56 and height 106.63.
 At frame 71, person 9 is located at coordinates [542.13, 244.18] with a bounding box of width 13.32 and height 35.65.
 At frame 71, person 2 is located at coordinates [818.86, 215.95] with a bounding box of width 43.93 and height 122.60.
 At frame 71, person 10 is located at coordinates [791.13, 240.11] with a bounding box of width 9.87 and height 23.27.
 At frame 71, person 11 is located at coordinates [518.06, 243.16] with a bounding box of width 12.25 and height 32.81.
 At frame 71, person 12 is located at coordinates [433.36, 230.75] with a bounding box of width 19.34 and height 49.80.
 At frame 71, person 13 is located at coordinates [452.07, 231.21] with a bounding box of width 17.96 and height 48.27.
 At frame 72, person 8 is located at coordinates [863.59, 234.15] with a bounding box of width 40.80 and height 107.01.
