At frame 0.0, person 1.0 is located at coordinates [831.32, 311.15] with a bounding box of width 76.97 and height 151.58.
 At frame 9.0, person 2.0 is located at coordinates [833.54, 307.35] with a bounding box of width 29.04 and height 63.90.
 At frame 10.0, person 1.0 is located at coordinates [853.55, 305.72] with a bounding box of width 77.76 and height 156.58.
 At frame 10.0, person 2.0 is located at coordinates [840.14, 309.24] with a bounding box of width 24.50 and height 54.38.
 At frame 11.0, person 1.0 is located at coordinates [855.96, 305.39] with a bounding box of width 79.73 and height 161.62.
 At frame 11.0, person 2.0 is located at coordinates [842.91, 307.86] with a bounding box of width 26.88 and height 60.48.
 At frame 11.0, person 4.0 is located at coordinates [858.34, 315.24] with a bounding box of width 23.87 and height 56.13.
 At frame 12.0, person 1.0 is located at coordinates [861.22, 305.87] with a bounding box of width 76.33 and height 154.65.
 At frame 12.0, person 2.0 is located at coordinates [846.48, 308.41] with a bounding box of width 24.72 and height 56.12.
 At frame 12.0, person 4.0 is located at coordinates [860.57, 315.97] with a bounding box of width 22.33 and height 52.58.
 At frame 13.0, person 1.0 is located at coordinates [860.25, 304.70] with a bounding box of width 80.73 and height 165.37.
 At frame 13.0, person 2.0 is located at coordinates [850.47, 307.63] with a bounding box of width 23.90 and height 54.78.
 At frame 14.0, person 1.0 is located at coordinates [864.23, 305.44] with a bounding box of width 79.01 and height 163.46.
 At frame 14.0, person 2.0 is located at coordinates [853.74, 306.34] with a bounding box of width 23.70 and height 55.13.
 At frame 15.0, person 1.0 is located at coordinates [876.30, 305.95] with a bounding box of width 71.12 and height 147.78.
 At frame 15.0, person 2.0 is located at coordinates [856.16, 305.49] with a bounding box of width 25.74 and height 60.86.
 At frame 16.0, person 1.0 is located at coordinates [881.15, 306.59] with a bounding box of width 69.82 and height 146.49.
 At frame 16.0, person 2.0 is located at coordinates [858.81, 302.32] with a bounding box of width 28.21 and height 67.51.
 At frame 17.0, person 1.0 is located at coordinates [886.10, 306.61] with a bounding box of width 67.50 and height 141.68.
 At frame 17.0, person 2.0 is located at coordinates [861.23, 301.93] with a bounding box of width 28.53 and height 68.89.
 At frame 17.0, person 7.0 is located at coordinates [886.38, 123.57] with a bounding box of width 40.04 and height 99.47.
 At frame 18.0, person 1.0 is located at coordinates [889.85, 306.23] with a bounding box of width 68.91 and height 145.15.
 At frame 18.0, person 2.0 is located at coordinates [863.67, 302.19] with a bounding box of width 28.46 and height 68.64.
 At frame 18.0, person 7.0 is located at coordinates [887.60, 123.48] with a bounding box of width 39.61 and height 98.32.
 At frame 19.0, person 1.0 is located at coordinates [895.34, 305.51] with a bounding box of width 68.05 and height 143.67.
 At frame 19.0, person 2.0 is located at coordinates [867.43, 303.58] with a bounding box of width 28.73 and height 67.82.
 At frame 19.0, person 7.0 is located at coordinates [889.64, 124.15] with a bounding box of width 38.07 and height 94.22.
 At frame 20.0, person 1.0 is located at coordinates [903.00, 306.23] with a bounding box of width 65.75 and height 140.38.
 At frame 20.0, person 2.0 is located at coordinates [869.09, 302.48] with a bounding box of width 29.71 and height 68.74.
 At frame 20.0, person 7.0 is located at coordinates [890.28, 124.70] with a bounding box of width 38.39 and height 94.62.
 At frame 21.0, person 1.0 is located at coordinates [907.62, 306.31] with a bounding box of width 67.39 and height 145.16.
 At frame 21.0, person 2.0 is located at coordinates [871.50, 302.66] with a bounding box of width 30.19 and height 67.90.
 At frame 21.0, person 7.0 is located at coordinates [890.87, 122.04] with a bounding box of width 40.23 and height 98.71.
 At frame 21.0, person 8.0 is located at coordinates [899.32, 311.09] with a bounding box of width 53.70 and height 131.92.
 At frame 22.0, person 1.0 is located at coordinates [914.19, 305.76] with a bounding box of width 67.39 and height 146.52.
 At frame 22.0, person 2.0 is located at coordinates [872.31, 303.63] with a bounding box of width 30.34 and height 67.84.
 At frame 22.0, person 7.0 is located at coordinates [890.77, 120.06] with a bounding box of width 42.22 and height 103.16.
 At frame 22.0, person 8.0 is located at coordinates [902.79, 311.37] with a bounding box of width 53.91 and height 132.47.
 At frame 23.0, person 1.0 is located at coordinates [922.13, 305.75] with a bounding box of width 64.78 and height 141.59.
 At frame 23.0, person 2.0 is located at coordinates [876.78, 309.45] with a bounding box of width 28.87 and height 61.96.
 At frame 23.0, person 7.0 is located at coordinates [891.27, 118.40] with a bounding box of width 44.21 and height 108.02.
 At frame 23.0, person 8.0 is located at coordinates [908.97, 311.69] with a bounding box of width 54.97 and height 134.96.
 At frame 24.0, person 1.0 is located at coordinates [921.57, 304.76] with a bounding box of width 66.55 and height 144.08.
 At frame 24.0, person 2.0 is located at coordinates [876.93, 303.87] with a bounding box of width 31.90 and height 66.90.
 At frame 24.0, person 7.0 is located at coordinates [893.15, 117.81] with a bounding box of width 43.05 and height 104.89.
 At frame 25.0, person 1.0 is located at coordinates [929.77, 305.58] with a bounding box of width 66.57 and height 144.22.
 At frame 25.0, person 2.0 is located at coordinates [881.23, 305.02] with a bounding box of width 29.85 and height 62.08.
 At frame 25.0, person 7.0 is located at coordinates [894.76, 118.24] with a bounding box of width 41.51 and height 100.75.
 At frame 26.0, person 1.0 is located at coordinates [935.76, 306.68] with a bounding box of width 65.17 and height 140.76.
 At frame 26.0, person 2.0 is located at coordinates [882.67, 301.40] with a bounding box of width 32.38 and height 66.41.
 At frame 26.0, person 7.0 is located at coordinates [894.05, 116.63] with a bounding box of width 45.06 and height 109.44.
 At frame 27.0, person 1.0 is located at coordinates [940.68, 306.11] with a bounding box of width 65.25 and height 139.86.
 At frame 27.0, person 2.0 is located at coordinates [886.37, 301.19] with a bounding box of width 32.27 and height 66.48.
 At frame 27.0, person 7.0 is located at coordinates [896.45, 117.89] with a bounding box of width 42.53 and height 102.92.
 At frame 28.0, person 1.0 is located at coordinates [946.20, 308.47] with a bounding box of width 64.63 and height 136.40.
 At frame 28.0, person 2.0 is located at coordinates [892.19, 304.44] with a bounding box of width 30.21 and height 63.77.
 At frame 28.0, person 7.0 is located at coordinates [898.11, 115.57] with a bounding box of width 43.97 and height 106.54.
 At frame 29.0, person 1.0 is located at coordinates [952.30, 309.55] with a bounding box of width 64.64 and height 135.53.
 At frame 29.0, person 2.0 is located at coordinates [897.12, 308.90] with a bounding box of width 27.70 and height 59.14.
 At frame 29.0, person 7.0 is located at coordinates [899.37, 115.52] with a bounding box of width 43.90 and height 106.08.
 At frame 30.0, person 1.0 is located at coordinates [958.57, 308.95] with a bounding box of width 66.52 and height 137.62.
 At frame 30.0, person 2.0 is located at coordinates [898.63, 302.16] with a bounding box of width 30.29 and height 66.42.
 At frame 30.0, person 7.0 is located at coordinates [900.27, 115.25] with a bounding box of width 44.50 and height 107.43.
 At frame 31.0, person 1.0 is located at coordinates [965.53, 307.93] with a bounding box of width 67.81 and height 139.20.
 At frame 31.0, person 2.0 is located at coordinates [901.30, 299.69] with a bounding box of width 30.79 and height 69.26.
 At frame 31.0, person 7.0 is located at coordinates [901.21, 115.65] with a bounding box of width 44.20 and height 106.75.
 At frame 32.0, person 1.0 is located at coordinates [972.45, 308.33] with a bounding box of width 67.14 and height 139.04.
 At frame 32.0, person 2.0 is located at coordinates [903.60, 299.39] with a bounding box of width 30.52 and height 70.29.
 At frame 32.0, person 7.0 is located at coordinates [903.18, 115.10] with a bounding box of width 42.34 and height 101.61.
 At frame 33.0, person 1.0 is located at coordinates [978.30, 306.12] with a bounding box of width 69.39 and height 142.52.
 At frame 33.0, person 2.0 is located at coordinates [906.80, 298.63] with a bounding box of width 30.18 and height 70.76.
 At frame 33.0, person 7.0 is located at coordinates [903.48, 113.63] with a bounding box of width 43.99 and height 105.49.
 At frame 34.0, person 1.0 is located at coordinates [986.41, 306.26] with a bounding box of width 70.46 and height 145.77.
 At frame 34.0, person 2.0 is located at coordinates [909.66, 298.36] with a bounding box of width 29.67 and height 70.72.
 At frame 34.0, person 7.0 is located at coordinates [904.09, 112.28] with a bounding box of width 44.32 and height 106.16.
 At frame 35.0, person 1.0 is located at coordinates [996.16, 306.52] with a bounding box of width 71.07 and height 145.46.
 At frame 35.0, person 2.0 is located at coordinates [912.40, 298.28] with a bounding box of width 29.83 and height 71.45.
 At frame 35.0, person 7.0 is located at coordinates [905.55, 112.28] with a bounding box of width 44.24 and height 105.42.
 At frame 36.0, person 1.0 is located at coordinates [1007.67, 307.01] with a bounding box of width 69.31 and height 142.59.
 At frame 36.0, person 2.0 is located at coordinates [916.18, 298.17] with a bounding box of width 30.40 and height 71.80.
 At frame 36.0, person 7.0 is located at coordinates [906.58, 111.82] with a bounding box of width 44.74 and height 106.30.
 At frame 37.0, person 1.0 is located at coordinates [1013.37, 306.61] with a bounding box of width 69.35 and height 142.27.
 At frame 37.0, person 2.0 is located at coordinates [917.39, 298.35] with a bounding box of width 30.10 and height 71.14.
 At frame 37.0, person 7.0 is located at coordinates [907.37, 110.89] with a bounding box of width 44.82 and height 105.83.
 At frame 38.0, person 1.0 is located at coordinates [1019.16, 306.26] with a bounding box of width 71.75 and height 146.85.
 At frame 38.0, person 2.0 is located at coordinates [920.78, 297.95] with a bounding box of width 30.11 and height 70.96.
 At frame 38.0, person 7.0 is located at coordinates [908.42, 110.17] with a bounding box of width 44.82 and height 105.45.
 At frame 38.0, person 10.0 is located at coordinates [939.52, 304.87] with a bounding box of width 22.33 and height 62.64.
 At frame 39.0, person 1.0 is located at coordinates [1028.99, 305.95] with a bounding box of width 73.95 and height 150.10.
 At frame 39.0, person 2.0 is located at coordinates [923.27, 297.52] with a bounding box of width 30.62 and height 71.55.
 At frame 39.0, person 7.0 is located at coordinates [912.03, 109.82] with a bounding box of width 42.21 and height 98.83.
 At frame 39.0, person 10.0 is located at coordinates [940.59, 304.92] with a bounding box of width 22.34 and height 62.73.
 At frame 40.0, person 1.0 is located at coordinates [1042.98, 306.02] with a bounding box of width 71.64 and height 146.32.
 At frame 40.0, person 2.0 is located at coordinates [927.26, 296.99] with a bounding box of width 30.72 and height 71.76.
 At frame 40.0, person 7.0 is located at coordinates [913.37, 109.23] with a bounding box of width 42.78 and height 99.09.
 At frame 40.0, person 10.0 is located at coordinates [943.49, 303.22] with a bounding box of width 20.96 and height 59.00.
 At frame 41.0, person 1.0 is located at coordinates [1053.25, 305.86] with a bounding box of width 72.11 and height 148.34.
 At frame 41.0, person 2.0 is located at coordinates [931.08, 296.32] with a bounding box of width 30.61 and height 71.73.
 At frame 41.0, person 7.0 is located at coordinates [914.85, 109.23] with a bounding box of width 41.70 and height 95.64.
 At frame 41.0, person 10.0 is located at coordinates [946.02, 303.48] with a bounding box of width 19.95 and height 56.10.
 At frame 42.0, person 1.0 is located at coordinates [1064.19, 305.02] with a bounding box of width 72.35 and height 151.02.
 At frame 42.0, person 2.0 is located at coordinates [934.81, 295.39] with a bounding box of width 30.47 and height 72.19.
 At frame 42.0, person 7.0 is located at coordinates [915.64, 108.26] with a bounding box of width 42.30 and height 96.17.
 At frame 43.0, person 1.0 is located at coordinates [1072.41, 304.71] with a bounding box of width 74.59 and height 158.60.
 At frame 43.0, person 2.0 is located at coordinates [938.33, 295.26] with a bounding box of width 29.86 and height 71.96.
 At frame 43.0, person 7.0 is located at coordinates [916.91, 107.14] with a bounding box of width 43.63 and height 98.75.
 At frame 44.0, person 1.0 is located at coordinates [1084.08, 303.64] with a bounding box of width 73.22 and height 157.64.
 At frame 44.0, person 2.0 is located at coordinates [941.54, 294.54] with a bounding box of width 29.54 and height 71.76.
 At frame 44.0, person 7.0 is located at coordinates [918.33, 106.40] with a bounding box of width 45.29 and height 102.21.
 At frame 45.0, person 1.0 is located at coordinates [1096.61, 302.84] with a bounding box of width 74.59 and height 160.67.
 At frame 45.0, person 2.0 is located at coordinates [943.92, 294.10] with a bounding box of width 29.18 and height 71.67.
 At frame 45.0, person 7.0 is located at coordinates [918.72, 105.70] with a bounding box of width 46.88 and height 105.90.
 At frame 46.0, person 1.0 is located at coordinates [1108.13, 303.89] with a bounding box of width 76.44 and height 165.25.
 At frame 46.0, person 2.0 is located at coordinates [946.78, 294.63] with a bounding box of width 28.80 and height 71.73.
 At frame 46.0, person 7.0 is located at coordinates [920.04, 104.79] with a bounding box of width 47.36 and height 107.31.
 At frame 46.0, person 10.0 is located at coordinates [943.75, 295.71] with a bounding box of width 24.46 and height 68.77.
 At frame 47.0, person 1.0 is located at coordinates [1115.03, 303.16] with a bounding box of width 76.99 and height 168.12.
 At frame 47.0, person 2.0 is located at coordinates [949.83, 293.58] with a bounding box of width 29.19 and height 73.60.
 At frame 47.0, person 7.0 is located at coordinates [921.19, 103.97] with a bounding box of width 47.72 and height 108.22.
 At frame 47.0, person 10.0 is located at coordinates [942.25, 297.53] with a bounding box of width 23.58 and height 66.68.
 At frame 48.0, person 1.0 is located at coordinates [1125.81, 308.06] with a bounding box of width 74.13 and height 163.02.
 At frame 48.0, person 2.0 is located at coordinates [952.72, 293.78] with a bounding box of width 28.75 and height 73.52.
 At frame 48.0, person 7.0 is located at coordinates [921.61, 103.69] with a bounding box of width 48.56 and height 109.90.
 At frame 48.0, person 10.0 is located at coordinates [942.98, 299.94] with a bounding box of width 22.81 and height 64.73.
 At frame 49.0, person 1.0 is located at coordinates [1135.32, 307.26] with a bounding box of width 74.76 and height 165.63.
 At frame 49.0, person 2.0 is located at coordinates [956.06, 296.31] with a bounding box of width 26.98 and height 69.67.
 At frame 49.0, person 7.0 is located at coordinates [922.48, 103.70] with a bounding box of width 48.92 and height 110.51.
 At frame 49.0, person 10.0 is located at coordinates [943.42, 301.00] with a bounding box of width 22.18 and height 63.04.
 At frame 50.0, person 1.0 is located at coordinates [1144.71, 309.08] with a bounding box of width 72.86 and height 161.54.
 At frame 50.0, person 2.0 is located at coordinates [959.39, 299.40] with a bounding box of width 25.85 and height 66.88.
 At frame 50.0, person 7.0 is located at coordinates [924.09, 104.89] with a bounding box of width 46.39 and height 104.14.
 At frame 50.0, person 10.0 is located at coordinates [944.00, 302.62] with a bounding box of width 21.90 and height 61.96.
 At frame 51.0, person 1.0 is located at coordinates [1159.57, 311.54] with a bounding box of width 72.69 and height 159.90.
 At frame 51.0, person 7.0 is located at coordinates [924.05, 102.51] with a bounding box of width 49.78 and height 112.15.
 At frame 51.0, person 10.0 is located at coordinates [944.02, 304.23] with a bounding box of width 21.36 and height 60.35.
 At frame 52.0, person 1.0 is located at coordinates [1174.23, 311.08] with a bounding box of width 75.31 and height 161.22.
 At frame 52.0, person 7.0 is located at coordinates [924.16, 101.95] with a bounding box of width 52.25 and height 118.60.
 At frame 52.0, person 10.0 is located at coordinates [944.25, 305.84] with a bounding box of width 21.51 and height 60.11.
 At frame 53.0, person 1.0 is located at coordinates [1186.65, 306.99] with a bounding box of width 78.53 and height 166.76.
 At frame 53.0, person 7.0 is located at coordinates [925.84, 102.60] with a bounding box of width 51.37 and height 117.13.
 At frame 53.0, person 10.0 is located at coordinates [944.33, 307.23] with a bounding box of width 21.56 and height 59.61.
 At frame 54.0, person 1.0 is located at coordinates [1195.83, 306.79] with a bounding box of width 79.79 and height 167.68.
 At frame 54.0, person 7.0 is located at coordinates [928.27, 103.77] with a bounding box of width 48.93 and height 111.23.
 At frame 54.0, person 10.0 is located at coordinates [944.16, 307.94] with a bounding box of width 21.95 and height 60.60.
 At frame 55.0, person 1.0 is located at coordinates [1208.94, 305.55] with a bounding box of width 80.40 and height 168.37.
 At frame 55.0, person 7.0 is located at coordinates [932.37, 104.99] with a bounding box of width 45.48 and height 102.71.
 At frame 55.0, person 10.0 is located at coordinates [945.30, 307.23] with a bounding box of width 22.80 and height 61.74.
 At frame 55.0, person 2.0 is located at coordinates [978.62, 297.60] with a bounding box of width 27.70 and height 71.90.
 At frame 56.0, person 1.0 is located at coordinates [1219.49, 302.36] with a bounding box of width 82.72 and height 172.87.
 At frame 56.0, person 7.0 is located at coordinates [934.31, 105.41] with a bounding box of width 44.03 and height 98.75.
 At frame 56.0, person 10.0 is located at coordinates [945.91, 307.33] with a bounding box of width 22.77 and height 60.99.
 At frame 56.0, person 2.0 is located at coordinates [983.09, 296.71] with a bounding box of width 27.24 and height 71.50.
 At frame 57.0, person 1.0 is located at coordinates [1229.32, 298.47] with a bounding box of width 82.06 and height 172.22.
 At frame 57.0, person 7.0 is located at coordinates [934.05, 101.30] with a bounding box of width 48.55 and height 108.86.
 At frame 57.0, person 10.0 is located at coordinates [945.85, 307.76] with a bounding box of width 22.52 and height 60.30.
 At frame 57.0, person 2.0 is located at coordinates [986.74, 295.61] with a bounding box of width 27.56 and height 72.91.
 At frame 58.0, person 7.0 is located at coordinates [933.63, 99.05] with a bounding box of width 51.56 and height 116.15.
 At frame 58.0, person 10.0 is located at coordinates [946.75, 307.52] with a bounding box of width 22.91 and height 60.81.
 At frame 58.0, person 2.0 is located at coordinates [989.81, 294.44] with a bounding box of width 27.93 and height 74.59.
 At frame 59.0, person 7.0 is located at coordinates [935.47, 99.27] with a bounding box of width 50.91 and height 114.80.
 At frame 59.0, person 10.0 is located at coordinates [946.81, 307.42] with a bounding box of width 22.81 and height 60.60.
 At frame 59.0, person 2.0 is located at coordinates [993.39, 294.10] with a bounding box of width 27.65 and height 74.73.
 At frame 60.0, person 7.0 is located at coordinates [936.59, 98.05] with a bounding box of width 51.28 and height 115.73.
 At frame 60.0, person 10.0 is located at coordinates [946.37, 307.38] with a bounding box of width 22.90 and height 61.30.
 At frame 60.0, person 2.0 is located at coordinates [996.24, 294.27] with a bounding box of width 27.42 and height 74.47.
 At frame 61.0, person 7.0 is located at coordinates [937.96, 97.42] with a bounding box of width 51.76 and height 117.01.
 At frame 61.0, person 10.0 is located at coordinates [946.51, 307.36] with a bounding box of width 23.07 and height 61.95.
 At frame 61.0, person 2.0 is located at coordinates [999.57, 294.35] with a bounding box of width 27.25 and height 73.95.
 At frame 62.0, person 7.0 is located at coordinates [939.23, 96.28] with a bounding box of width 51.89 and height 117.52.
 At frame 62.0, person 10.0 is located at coordinates [946.51, 307.35] with a bounding box of width 23.22 and height 62.57.
 At frame 62.0, person 2.0 is located at coordinates [1003.04, 294.79] with a bounding box of width 27.19 and height 74.13.
 At frame 63.0, person 7.0 is located at coordinates [943.11, 99.85] with a bounding box of width 45.06 and height 99.96.
 At frame 63.0, person 10.0 is located at coordinates [945.65, 305.99] with a bounding box of width 24.19 and height 65.13.
 At frame 63.0, person 2.0 is located at coordinates [1005.46, 295.15] with a bounding box of width 27.82 and height 76.13.
 At frame 64.0, person 7.0 is located at coordinates [942.67, 97.00] with a bounding box of width 48.49 and height 107.11.
 At frame 64.0, person 10.0 is located at coordinates [945.97, 305.85] with a bounding box of width 24.81 and height 66.47.
 At frame 64.0, person 2.0 is located at coordinates [1008.74, 296.26] with a bounding box of width 27.77 and height 76.10.
 At frame 65.0, person 7.0 is located at coordinates [943.88, 97.33] with a bounding box of width 48.53 and height 106.59.
 At frame 65.0, person 10.0 is located at coordinates [945.06, 304.84] with a bounding box of width 25.56 and height 67.74.
 At frame 65.0, person 2.0 is located at coordinates [1011.02, 295.44] with a bounding box of width 28.52 and height 78.30.
 At frame 66.0, person 7.0 is located at coordinates [943.79, 95.73] with a bounding box of width 49.51 and height 108.25.
 At frame 66.0, person 10.0 is located at coordinates [943.57, 304.26] with a bounding box of width 26.57 and height 68.60.
 At frame 66.0, person 2.0 is located at coordinates [1013.40, 295.61] with a bounding box of width 28.68 and height 78.06.
 At frame 67.0, person 7.0 is located at coordinates [947.19, 96.66] with a bounding box of width 46.84 and height 101.31.
 At frame 67.0, person 10.0 is located at coordinates [942.26, 303.66] with a bounding box of width 27.66 and height 69.29.
 At frame 67.0, person 2.0 is located at coordinates [1016.84, 296.45] with a bounding box of width 28.86 and height 77.93.
 At frame 68.0, person 7.0 is located at coordinates [947.80, 94.00] with a bounding box of width 50.26 and height 108.41.
 At frame 68.0, person 10.0 is located at coordinates [941.53, 303.24] with a bounding box of width 28.53 and height 69.91.
 At frame 68.0, person 2.0 is located at coordinates [1020.25, 294.93] with a bounding box of width 29.93 and height 80.68.
 At frame 69.0, person 7.0 is located at coordinates [950.38, 95.09] with a bounding box of width 45.96 and height 97.22.
 At frame 69.0, person 10.0 is located at coordinates [942.18, 303.67] with a bounding box of width 28.54 and height 68.97.
 At frame 69.0, person 2.0 is located at coordinates [1022.21, 294.84] with a bounding box of width 29.59 and height 79.31.
 At frame 70.0, person 7.0 is located at coordinates [950.51, 93.51] with a bounding box of width 49.06 and height 103.72.
 At frame 70.0, person 10.0 is located at coordinates [942.59, 303.46] with a bounding box of width 29.02 and height 69.35.
 At frame 70.0, person 2.0 is located at coordinates [1025.68, 295.59] with a bounding box of width 29.18 and height 78.34.
 At frame 71.0, person 7.0 is located at coordinates [951.58, 94.67] with a bounding box of width 46.52 and height 97.53.
 At frame 71.0, person 10.0 is located at coordinates [941.91, 303.39] with a bounding box of width 29.31 and height 68.71.
 At frame 71.0, person 2.0 is located at coordinates [1028.18, 295.29] with a bounding box of width 28.75 and height 77.56.
 At frame 72.0, person 7.0 is located at coordinates [951.49, 94.72] with a bounding box of width 47.13 and height 98.04.
 At frame 72.0, person 10.0 is located at coordinates [940.78, 302.68] with a bounding box of width 30.38 and height 69.71.
 At frame 72.0, person 2.0 is located at coordinates [1031.07, 293.81] with a bounding box of width 29.14 and height 79.21.
 At frame 73.0, person 7.0 is located at coordinates [950.60, 90.26] with a bounding box of width 51.39 and height 106.98.
 At frame 73.0, person 10.0 is located at coordinates [939.78, 302.52] with a bounding box of width 31.15 and height 70.75.
 At frame 73.0, person 2.0 is located at coordinates [1032.89, 292.58] with a bounding box of width 29.19 and height 80.31.
 At frame 74.0, person 7.0 is located at coordinates [950.09, 87.21] with a bounding box of width 54.05 and height 113.00.
 At frame 74.0, person 10.0 is located at coordinates [937.42, 302.47] with a bounding box of width 31.53 and height 71.51.
 At frame 74.0, person 2.0 is located at coordinates [1036.20, 291.25] with a bounding box of width 28.40 and height 79.06.
 At frame 75.0, person 7.0 is located at coordinates [952.40, 87.65] with a bounding box of width 49.25 and height 101.78.
 At frame 75.0, person 10.0 is located at coordinates [934.61, 302.36] with a bounding box of width 32.42 and height 74.01.
 At frame 75.0, person 2.0 is located at coordinates [1040.34, 291.24] with a bounding box of width 27.58 and height 77.49.
 At frame 76.0, person 7.0 is located at coordinates [952.55, 87.38] with a bounding box of width 51.09 and height 105.56.
 At frame 76.0, person 10.0 is located at coordinates [933.62, 302.04] with a bounding box of width 31.84 and height 73.13.
 At frame 76.0, person 2.0 is located at coordinates [1043.81, 291.06] with a bounding box of width 26.35 and height 74.32.
 At frame 77.0, person 7.0 is located at coordinates [952.61, 86.85] with a bounding box of width 52.48 and height 108.66.
 At frame 77.0, person 10.0 is located at coordinates [932.55, 302.02] with a bounding box of width 31.49 and height 73.04.
 At frame 77.0, person 2.0 is located at coordinates [1046.61, 290.81] with a bounding box of width 25.00 and height 70.34.
 At frame 78.0, person 7.0 is located at coordinates [953.52, 85.43] with a bounding box of width 53.49 and height 110.90.
 At frame 78.0, person 10.0 is located at coordinates [932.86, 301.73] with a bounding box of width 31.51 and height 73.85.
 At frame 78.0, person 2.0 is located at coordinates [1051.08, 291.24] with a bounding box of width 22.98 and height 64.55.
 At frame 79.0, person 7.0 is located at coordinates [953.66, 84.33] with a bounding box of width 54.24 and height 112.99.
 At frame 79.0, person 10.0 is located at coordinates [933.01, 302.30] with a bounding box of width 31.51 and height 74.63.
 At frame 80.0, person 7.0 is located at coordinates [952.81, 83.17] with a bounding box of width 55.48 and height 116.17.
 At frame 80.0, person 10.0 is located at coordinates [933.91, 302.82] with a bounding box of width 28.31 and height 67.85.
 At frame 80.0, person 2.0 is located at coordinates [1055.42, 290.00] with a bounding box of width 26.57 and height 75.12.
 At frame 81.0, person 7.0 is located at coordinates [953.39, 82.27] with a bounding box of width 55.64 and height 117.27.
 At frame 81.0, person 10.0 is located at coordinates [935.21, 303.43] with a bounding box of width 26.04 and height 63.11.
 At frame 81.0, person 2.0 is located at coordinates [1056.81, 289.37] with a bounding box of width 27.52 and height 78.37.
 At frame 82.0, person 7.0 is located at coordinates [954.39, 81.34] with a bounding box of width 54.84 and height 116.35.
 At frame 82.0, person 10.0 is located at coordinates [937.01, 303.86] with a bounding box of width 23.41 and height 57.36.
 At frame 82.0, person 2.0 is located at coordinates [1058.77, 289.91] with a bounding box of width 27.88 and height 79.99.
 At frame 83.0, person 7.0 is located at coordinates [955.49, 81.06] with a bounding box of width 53.84 and height 114.73.
 At frame 83.0, person 2.0 is located at coordinates [1060.90, 290.36] with a bounding box of width 28.14 and height 80.56.
 At frame 84.0, person 7.0 is located at coordinates [957.62, 82.17] with a bounding box of width 51.51 and height 109.59.
 At frame 84.0, person 2.0 is located at coordinates [1065.39, 292.38] with a bounding box of width 26.85 and height 76.79.
 At frame 85.0, person 7.0 is located at coordinates [959.00, 82.34] with a bounding box of width 50.22 and height 106.51.
 At frame 85.0, person 2.0 is located at coordinates [1068.55, 293.41] with a bounding box of width 26.38 and height 75.02.
 At frame 86.0, person 7.0 is located at coordinates [958.97, 82.87] with a bounding box of width 49.96 and height 105.72.
 At frame 86.0, person 2.0 is located at coordinates [1071.10, 294.40] with a bounding box of width 26.38 and height 74.71.
 At frame 87.0, person 7.0 is located at coordinates [958.94, 82.74] with a bounding box of width 50.63 and height 107.17.
 At frame 87.0, person 2.0 is located at coordinates [1073.60, 294.09] with a bounding box of width 27.81 and height 78.39.
 At frame 88.0, person 7.0 is located at coordinates [957.91, 81.72] with a bounding box of width 52.10 and height 110.46.
 At frame 88.0, person 2.0 is located at coordinates [1075.19, 293.30] with a bounding box of width 28.44 and height 79.84.
 At frame 89.0, person 7.0 is located at coordinates [957.94, 82.62] with a bounding box of width 51.01 and height 108.01.
 At frame 89.0, person 2.0 is located at coordinates [1076.35, 292.42] with a bounding box of width 28.91 and height 80.94.
